time,ax,ay,az,aT
0.004000,-0.1436,0.1116,-0.7217,0.744
0.004000,-0.1337,0.1877,-0.4973,0.548
0.004000,0.2426,0.2335,-0.3140,0.460
0.004000,0.3653,0.2629,-0.1835,0.486
0.025000,0.4281,0.2876,-0.0843,0.523
0.025000,0.4428,0.3071,-0.0138,0.539
0.026000,0.3993,0.3115,0.0423,0.508
0.026000,0.2829,0.2862,0.0816,0.411
0.035000,0.2895,0.2166,0.1042,0.376
0.035000,-0.0116,0.1241,0.1052,0.163
0.039000,-0.1059,0.0350,0.0847,0.140
0.048000,-0.1371,-0.0194,0.0356,0.143
0.048000,-0.1482,-0.0748,-0.0327,0.169
0.054000,-0.1891,-0.1261,-0.0915,0.245
0.068000,-0.2452,-0.1803,-0.1287,0.330
0.068000,-0.3355,-0.2565,-0.1180,0.438
0.068000,-0.3374,-0.3191,-0.0259,0.465
0.074000,-0.4237,-0.3062,-0.1729,0.551
0.084000,-0.3392,-0.3129,-0.2649,0.532
0.084000,-0.2872,-0.3103,-0.2328,0.483
0.089000,-0.2218,-0.2699,-0.1052,0.365
0.099000,-0.1425,-0.1968,0.0224,0.244
0.099000,-0.0848,-0.1196,0.1309,0.197
0.104000,-0.0247,-0.0385,0.1846,0.190
0.109000,0.0693,0.0517,0.1668,0.188
0.114000,0.1710,0.1178,0.0918,0.227
0.118000,0.2402,0.1676,0.0027,0.293
0.142000,0.2648,0.1967,-0.0982,0.344
0.143000,0.2376,0.2005,-0.1680,0.353
0.143000,0.1776,0.1981,-0.2021,0.334
0.143000,0.1059,0.1820,-0.1932,0.286
0.152000,0.0202,0.1258,-0.1558,0.201
0.153000,-0.0463,0.0556,-0.1017,0.125
0.153000,-0.0915,0.0117,-0.0621,0.111
0.167000,-0.1178,-0.0275,-0.0059,0.121
0.167000,-0.1636,-0.0648,0.0670,0.188
0.169000,-0.2098,-0.0931,0.1902,0.298
0.184000,-0.2422,-0.1273,0.3373,0.434
0.185000,-0.2296,-0.1438,0.4081,0.490
0.185000,-0.1720,-0.1518,0.3643,0.431
0.189000,-0.1362,-0.1557,0.2323,0.311
0.201000,-0.1006,-0.1358,0.1028,0.198
0.201000,-0.0775,-0.0823,0.0259,0.116
0.205000,-0.0429,-0.0287,-0.0009,0.052
0.217000,-0.0256,0.0201,-0.0014,0.033
0.218000,-0.0157,0.0570,-0.0021,0.059
0.219000,0.0084,0.0916,-0.0244,0.095
0.274000,0.0710,0.1290,-0.0755,0.166
0.275000,0.1459,0.1647,-0.1457,0.264
0.275000,0.1472,0.1726,-0.1705,0.284
0.275000,0.1995,0.2008,-0.2529,0.380
0.275000,0.2807,0.2228,-0.2948,0.464
0.275000,0.3093,0.2194,-0.2485,0.453
0.276000,0.2973,0.1903,-0.1618,0.388
0.276000,0.2711,0.1494,-0.1015,0.326
0.276000,0.2047,0.0848,-0.0627,0.230
0.276000,0.0836,-0.0015,-0.0764,0.113
0.277000,-0.0209,-0.0642,-0.1641,0.177
0.284000,-0.1098,-0.1200,-0.2113,0.267
0.285000,-0.2121,-0.1837,-0.2802,0.397
0.289000,-0.2970,-0.2506,-0.3253,0.507
0.299000,-0.3382,-0.3228,-0.3825,0.604
0.300000,-0.3165,-0.3526,-0.4446,0.650
0.304000,-0.2438,-0.3374,-0.4903,0.643
0.317000,-0.1560,-0.3104,-0.5242,0.629
0.319000,-0.1104,-0.3004,-0.5679,0.652
0.319000,-0.0826,-0.3072,-0.6261,0.702
0.362000,-0.0679,-0.2997,-0.6989,0.763
0.363000,-0.0018,-0.2610,-0.8102,0.851
0.364000,0.0436,-0.2486,-0.8858,0.921
0.364000,0.1068,-0.2167,-0.9904,1.019
0.365000,0.1894,-0.1822,-1.1217,1.152
0.365000,0.2775,-0.1350,-1.2846,1.321
0.365000,0.3804,-0.0920,-1.4383,1.491
0.366000,0.4671,-0.0937,-1.5661,1.637
0.366000,0.5759,-0.1470,-1.6561,1.760
0.370000,0.7116,-0.2355,-1.7082,1.865
0.374000,0.8770,-0.3282,-1.7056,1.946
0.379000,1.0695,-0.4040,-1.6482,2.006
0.385000,1.2751,-0.4439,-1.5598,2.063
0.390000,1.4440,-0.4271,-1.5072,2.130
0.393000,1.5754,-0.4017,-1.4830,2.201
0.399000,1.6616,-0.3685,-1.5207,2.282
0.404000,1.6165,-0.3422,-1.6847,2.360
0.410000,1.8412,-0.3371,-1.9867,2.730
0.414000,1.8686,-0.3481,-2.4150,3.073
0.419000,1.8372,-0.3795,-2.9216,3.472
0.443000,1.7480,-0.4400,-3.4447,3.888
0.444000,1.6275,-0.5408,-3.9319,4.290
0.444000,1.5176,-0.6814,-4.3189,4.628
0.444000,1.4492,-0.8761,-4.5819,4.885
0.445000,1.4155,-1.0983,-4.7374,5.065
0.449000,1.4051,-1.3336,-4.8022,5.178
0.454000,1.4343,-1.5318,-4.8193,5.256
0.459000,1.5431,-1.6572,-4.8147,5.321
0.464000,1.7647,-1.6931,-4.8169,5.402
0.469000,2.1183,-1.5822,-4.8545,5.528
0.476000,2.5176,-1.3629,-4.9584,5.726
0.479000,2.8842,-1.0829,-5.1047,5.962
0.486000,3.2112,-0.7924,-5.2142,6.175
0.489000,3.4571,-0.5177,-5.2843,6.336
0.494000,3.6100,-0.2998,-5.3554,6.465
0.500000,3.6288,-0.1909,-5.4128,6.519
0.504000,3.3782,-0.2888,-5.6739,6.610
0.509000,2.9918,-0.5514,-5.9424,6.676
0.515000,2.2538,-0.9076,-6.1704,6.632
0.520000,1.3501,-1.2729,-6.2069,6.478
0.535000,0.6156,-1.6783,-6.0232,6.283
0.536000,0.1591,-2.2379,-6.2240,6.616
0.537000,0.0701,-2.5100,-5.7902,6.311
0.540000,0.0907,-2.6835,-5.0297,5.702
0.545000,0.2352,-2.8447,-4.4024,5.247
0.549000,0.5371,-2.9129,-3.9678,4.951
0.554000,1.0542,-2.7197,-3.1996,4.330
0.575000,1.5404,-2.3633,-2.5115,3.777
0.576000,1.9767,-1.9640,-2.2239,3.565
0.576000,2.5175,-1.6542,-2.2094,3.736
0.577000,3.0430,-1.4324,-2.2572,4.051
0.579000,3.4895,-1.2900,-2.3575,4.404
0.584000,3.7245,-1.2016,-2.6094,4.704
0.589000,3.6504,-1.1720,-2.9083,4.812
0.594000,3.2853,-1.1968,-3.0763,4.657
0.599000,2.7811,-1.1967,-3.1790,4.390
0.604000,2.2956,-1.2454,-3.2243,4.149
0.610000,1.9064,-1.4166,-3.1609,3.954
0.614000,1.6030,-1.7119,-2.8297,3.675
0.620000,1.4155,-2.0838,-2.0978,3.278
0.633000,1.4483,-2.5350,-1.1448,3.136
0.635000,1.4590,-3.0153,-0.1063,3.351
0.635000,1.3184,-3.5002,0.7737,3.819
0.640000,1.0316,-3.9020,1.4504,4.289
0.645000,0.6782,-4.1571,1.8124,4.585
0.649000,0.3613,-4.2422,1.9017,4.663
0.654000,0.0532,-4.2034,1.7285,4.545
0.678000,-0.2366,-4.0774,1.2729,4.278
0.679000,-0.5256,-3.9176,0.6733,4.010
0.679000,-0.6304,-3.7351,0.0821,3.789
0.680000,-0.4982,-3.4998,-0.2951,3.547
0.680000,-0.1603,-3.2127,-0.5789,3.268
0.687000,0.0144,-2.8992,-0.7879,3.004
0.690000,0.1454,-2.6455,-0.9840,2.826
0.695000,0.4557,-2.5143,-1.2177,2.831
0.700000,0.9427,-2.3606,-1.3426,2.875
0.706000,1.5931,-2.0906,-1.2323,2.903
0.710000,2.1543,-1.7922,-0.9958,2.974
0.714000,2.5323,-1.5733,-0.6876,3.059
0.720000,2.5772,-1.4351,-0.1438,2.953
0.726000,2.4619,-1.4398,0.4233,2.883
0.729000,2.2489,-1.6021,1.0316,2.948
0.735000,1.9435,-1.9257,1.6292,3.184
0.740000,1.5176,-2.4114,2.1885,3.593
0.745000,0.8957,-3.1166,2.5744,4.140
0.750000,0.4860,-3.6626,2.9986,4.758
0.755000,0.1709,-4.1186,3.0998,5.158
0.760000,-0.0402,-4.2128,3.0388,5.195
0.765000,-0.1562,-4.0636,2.8238,4.951
0.770000,-0.0860,-3.7438,2.5779,4.546
0.792000,0.1603,-3.3444,2.2324,4.024
0.793000,0.5390,-3.0033,1.6514,3.469
0.793000,1.0498,-2.8035,0.7582,3.088
0.794000,1.1852,-2.4129,0.7766,2.798
0.802000,1.5342,-1.8665,0.8242,2.553
0.803000,2.1322,-1.2993,0.7245,2.600
0.809000,2.7371,-0.8791,0.5348,2.924
0.810000,3.0949,-0.6636,0.5235,3.208
0.815000,3.2371,-0.6524,0.7114,3.378
0.820000,3.1759,-0.8352,1.0864,3.459
0.825000,2.8757,-1.1702,1.5614,3.475
0.830000,2.4017,-1.5547,2.0241,3.505
0.835000,1.9790,-2.0198,2.3905,3.703
0.840000,1.6717,-2.4375,2.6711,3.984
0.847000,1.3123,-2.6256,2.9793,4.182
0.850000,1.1562,-2.6991,3.1704,4.321
0.855000,1.1784,-2.7755,3.2730,4.450
0.866000,1.3374,-2.8171,3.2973,4.538
0.867000,1.5633,-2.7601,3.2506,4.542
0.870000,1.6678,-2.6122,3.1626,4.428
0.876000,1.7312,-2.4101,3.0451,4.252
0.880000,1.9009,-2.1726,2.8572,4.062
0.885000,2.0675,-1.9477,2.5041,3.787
0.909000,2.1012,-1.8013,2.1250,3.489
0.910000,2.1048,-1.7168,1.8235,3.272
0.910000,2.2368,-1.5167,1.5481,3.115
0.911000,2.1449,-1.2191,1.3020,2.790
0.913000,2.2882,-1.0314,1.0397,2.717
0.915000,2.5213,-0.9520,0.8151,2.816
0.920000,2.6997,-0.8763,0.6209,2.905
0.925000,2.8586,-0.8170,0.6809,3.050
0.931000,2.8901,-0.7728,0.9875,3.150
0.935000,2.8134,-0.7601,1.5357,3.294
0.940000,2.7386,-0.7679,2.2094,3.602
0.945000,2.7233,-0.8198,2.9673,4.110
0.950000,2.6409,-0.8967,3.6431,4.588
0.955000,2.4919,-0.9025,4.1352,4.912
0.960000,2.1766,-0.8627,4.2589,4.860
0.965000,1.9806,-0.8616,4.2658,4.781
0.970000,1.7295,-0.9905,4.0030,4.472
0.982000,1.4957,-1.0758,3.6456,4.085
0.984000,1.4494,-1.0427,3.3585,3.804
0.986000,1.6193,-0.8079,3.2001,3.676
0.990000,2.0215,-0.4297,3.0600,3.692
0.995000,2.5492,-0.0181,2.9896,3.929
1.000000,2.9674,0.3258,2.9410,4.191
1.006000,3.3187,0.6637,2.9183,4.469
1.010000,3.6287,0.9755,3.0085,4.814
1.015000,3.8516,1.2780,3.2262,5.184
1.020000,4.0271,1.6033,3.5153,5.581
1.026000,4.1619,1.9077,3.6929,5.882
1.030000,4.1165,2.1258,3.6085,5.872
1.035000,3.8694,2.2318,3.2900,5.548
1.040000,3.5050,2.2224,2.8134,5.014
1.045000,3.0985,2.1520,2.2976,4.417
1.050000,2.7721,2.0594,1.8199,3.904
1.056000,2.5642,1.9718,1.4338,3.538
1.065000,2.4222,1.8532,1.1872,3.273
1.066000,1.8374,1.0856,0.8029,2.280
1.071000,1.6632,0.8988,0.5741,1.976
1.107000,1.7506,1.0880,0.5687,2.138
1.108000,1.9410,1.4419,0.6948,2.516
1.108000,2.0880,1.7468,0.7870,2.834
1.108000,2.0524,1.8586,0.9794,2.937
1.109000,1.9806,1.7899,1.3360,2.985
1.109000,2.1501,1.6939,1.7379,3.242
1.109000,2.5247,1.7068,2.1226,3.714
1.110000,2.9433,1.8589,2.4008,4.229
1.116000,3.2712,2.0943,2.5339,4.638
1.120000,3.4604,2.3764,2.4858,4.879
1.125000,3.5564,2.6432,2.2597,4.974
1.131000,3.5851,2.8321,1.8995,4.948
1.136000,3.5541,2.9413,1.5094,4.854
1.142000,3.4539,2.9855,1.1547,4.709
1.147000,3.3278,2.9624,0.7974,4.526
1.151000,3.1330,2.8917,0.4524,4.287
1.159000,2.8866,2.7786,0.1825,4.011
1.161000,2.6416,2.6715,-0.0170,3.757
1.166000,2.4198,2.5994,-0.1146,3.553
1.171000,2.2333,2.5455,-0.1273,3.389
1.175000,2.0630,2.5317,-0.0717,3.267
1.181000,1.9352,2.4549,0.2498,3.136
1.186000,1.9436,2.3490,0.7750,3.146
1.196000,2.0784,2.3311,1.1625,3.332
1.197000,2.0738,2.4055,1.0975,3.360
1.201000,1.9323,2.5461,0.8291,3.302
1.206000,1.8622,2.7099,0.6781,3.357
1.241000,1.9281,2.8275,0.5666,3.469
1.242000,1.9865,2.8678,0.3409,3.505
1.243000,2.0013,2.8358,0.0666,3.472
1.243000,2.0088,2.7749,-0.1697,3.430
1.244000,2.0351,2.7209,-0.3342,3.414
1.244000,2.0778,2.6785,-0.3837,3.412
1.245000,2.0886,2.6330,-0.3514,3.379
1.246000,2.0795,2.5604,-0.2395,3.307
1.251000,2.0647,2.4608,-0.0530,3.213
1.256000,2.0491,2.3268,0.1462,3.104
1.261000,2.0159,2.1586,0.3246,2.971
1.266000,1.9724,1.9684,0.4682,2.826
1.271000,1.9067,1.8016,0.5463,2.680
1.278000,1.8095,1.6466,0.5829,2.515
1.280000,1.7431,1.5226,0.5690,2.383
1.286000,1.7313,1.4272,0.5026,2.299
1.305000,1.7576,1.3653,0.4149,2.264
1.307000,1.8219,1.3035,0.3444,2.266
1.307000,1.8789,1.2277,0.3197,2.267
1.308000,1.9123,1.1501,0.3448,2.258
1.311000,1.9630,1.0758,0.3858,2.271
1.316000,2.0291,1.0171,0.4321,2.311
1.321000,2.1391,1.0172,0.5123,2.423
1.326000,2.2883,1.1020,0.6399,2.619
1.331000,2.4502,1.2570,0.7784,2.862
1.336000,2.6317,1.4458,0.9104,3.138
1.342000,2.8564,1.6539,1.0448,3.462
1.346000,3.0953,1.8567,1.1787,3.797
1.351000,3.3358,2.0538,1.3046,4.129
1.356000,3.5347,2.2591,1.4102,4.426
1.361000,3.6868,2.4673,1.4546,4.669
1.366000,3.7799,2.6876,1.4283,4.853
1.371000,3.8187,2.8864,1.3415,4.971
1.376000,3.8270,3.0562,1.1969,5.042
1.381000,3.8096,3.1900,1.0456,5.078
1.386000,3.7449,3.2757,0.9025,5.057
1.396000,3.5971,3.3277,0.7726,4.961
1.397000,3.4360,3.3536,0.6443,4.844
1.407000,3.2855,3.3414,0.5342,4.716
1.407000,3.1242,3.2793,0.4353,4.550
1.440000,2.9356,3.1917,0.3530,4.351
1.442000,2.7462,3.0954,0.2942,4.148
1.442000,2.5680,3.0096,0.2425,3.964
1.443000,2.4182,2.9109,0.1764,3.788
1.443000,2.3205,2.8280,0.0909,3.659
1.444000,2.2773,2.7416,-0.0111,3.564
1.444000,2.2668,2.6706,-0.1054,3.505
1.446000,2.2339,2.5932,-0.1708,3.427
1.451000,2.1764,2.5243,-0.2476,3.342
1.456000,2.1373,2.4588,-0.3360,3.275
1.461000,2.1333,2.3774,-0.4330,3.223
1.467000,2.1307,2.2898,-0.5218,3.171
1.471000,2.1153,2.1717,-0.5930,3.089
1.476000,2.0920,2.0308,-0.6419,2.985
1.481000,2.0728,1.9077,-0.6973,2.902
1.489000,2.0530,1.7594,-0.7666,2.810
1.492000,2.0041,1.6242,-0.8281,2.709
1.496000,1.9163,1.4996,-0.8891,2.591
1.501000,1.8166,1.3791,-0.9661,2.477
1.507000,1.7455,1.2817,-1.0568,2.410
1.512000,1.6815,1.1860,-1.1441,2.354
1.521000,1.6079,1.0943,-1.2138,2.293
1.523000,1.5200,0.9923,-1.2584,2.209
1.549000,1.4127,0.8725,-1.2757,2.094
1.550000,1.2939,0.7406,-1.2775,1.963
1.550000,1.1659,0.5990,-1.2568,1.816
1.551000,1.0622,0.4763,-1.2399,1.701
1.551000,0.9828,0.3846,-1.1959,1.595
1.554000,0.9132,0.3068,-1.1415,1.494
1.556000,0.8610,0.2244,-1.0530,1.379
1.565000,0.7972,0.1157,-0.9810,1.269
1.566000,0.7171,-0.0052,-0.8970,1.148
1.571000,0.6138,-0.1450,-0.8181,1.033
1.577000,0.4919,-0.2896,-0.7325,0.929
1.582000,0.3759,-0.4021,-0.6499,0.852
1.587000,0.3015,-0.4854,-0.5798,0.814
1.592000,0.2493,-0.5466,-0.5342,0.804
1.597000,0.1860,-0.5858,-0.5060,0.796
1.601000,0.0995,-0.6319,-0.5072,0.816
1.606000,0.0016,-0.6947,-0.5114,0.863
1.612000,-0.0811,-0.7711,-0.5181,0.933
1.617000,-0.2204,-0.8612,-0.5250,1.032
1.622000,-0.3900,-0.9601,-0.5485,1.173
1.632000,-0.5681,-1.0245,-0.6004,1.316
1.633000,-0.7071,-1.0617,-0.6973,1.454
1.640000,-0.8259,-1.0783,-0.7764,1.565
1.673000,-0.9415,-1.1083,-0.8427,1.681
1.674000,-1.0611,-1.1612,-0.9032,1.814
1.675000,-1.1632,-1.2346,-0.9530,1.946
1.675000,-1.2527,-1.3214,-0.9681,2.062
1.675000,-1.3270,-1.3850,-0.9870,2.157
1.676000,-1.3766,-1.4209,-1.0144,2.223
1.676000,-1.4017,-1.4437,-1.0526,2.271
1.678000,-1.4214,-1.4631,-1.1041,2.319
1.683000,-1.4477,-1.5221,-1.1642,2.402
1.688000,-1.4856,-1.6232,-1.2208,2.516
1.693000,-1.5323,-1.7373,-1.2623,2.638
1.697000,-1.6047,-1.8428,-1.3078,2.771
1.705000,-1.6883,-1.9443,-1.3694,2.917
1.711000,-1.7854,-2.0391,-1.4470,3.072
1.713000,-1.8746,-2.1273,-1.5261,3.220
1.721000,-1.9221,-2.2106,-1.5973,3.336
1.722000,-1.9566,-2.2890,-1.6702,3.443
1.738000,-1.9639,-2.3840,-1.7645,3.557
1.739000,-2.0013,-2.4691,-1.8778,3.692
1.739000,-1.9971,-2.5492,-2.0058,3.809
1.741000,-1.9800,-2.6457,-2.1390,3.936
1.746000,-1.9667,-2.7514,-2.2155,4.043
1.751000,-1.9883,-2.8734,-2.2351,4.148
1.758000,-2.0138,-2.9901,-2.2002,4.223
1.761000,-2.0573,-3.1157,-2.1156,4.291
1.767000,-2.0806,-3.2238,-2.0074,4.330
1.771000,-2.0575,-3.3286,-1.8659,4.335
1.777000,-1.9976,-3.4186,-1.6957,4.307
1.782000,-1.9106,-3.5009,-1.5207,4.268
1.787000,-1.8110,-3.5974,-1.3502,4.248
1.791000,-1.7155,-3.7106,-1.2156,4.265
1.797000,-1.6193,-3.8094,-1.1405,4.294
1.801000,-1.5250,-3.9252,-1.1320,4.361
1.808000,-1.4540,-4.0652,-1.1441,4.466
1.811000,-1.4445,-4.2051,-1.1577,4.595
1.817000,-1.5035,-4.2922,-1.1387,4.688
1.821000,-1.6141,-4.3068,-1.0727,4.723
1.829000,-1.7569,-4.2350,-0.9549,4.683
1.832000,-1.9152,-4.0670,-0.7852,4.563
1.837000,-2.0505,-3.8220,-0.5760,4.375
1.868000,-2.1439,-3.4885,-0.3252,4.108
1.870000,-2.2051,-3.1004,-0.0383,3.805
1.870000,-2.2723,-2.6965,0.2868,3.538
1.871000,-2.3244,-2.2992,0.6347,3.331
1.871000,-2.3711,-1.9111,0.9951,3.204
1.871000,-2.4100,-1.5277,1.3507,3.157
1.878000,-2.4269,-1.1544,1.6531,3.155
1.879000,-2.4077,-0.8150,1.8925,3.169
1.889000,-2.3266,-0.5133,2.0636,3.152
1.890000,-2.2244,-0.2660,2.1376,3.096
1.900000,-2.0941,-0.1094,2.1022,2.969
1.901000,-1.9576,-0.0342,1.9504,2.764
1.902000,-1.8698,-0.0524,1.6777,2.513
1.907000,-1.8522,-0.1541,1.2751,2.254
1.918000,-1.8833,-0.3225,0.7672,2.059
1.919000,-1.9627,-0.5331,0.2126,2.045
1.922000,-2.0448,-0.8020,-0.3495,2.224
1.934000,-2.1271,-1.0977,-0.8751,2.549
1.935000,-2.1949,-1.4028,-1.3465,2.932
1.938000,-2.2554,-1.7098,-1.7627,3.334
1.951000,-2.2987,-2.0301,-2.1136,3.725
1.952000,-2.3367,-2.3631,-2.3797,4.087
1.953000,-2.3810,-2.6942,-2.5606,4.414
1.958000,-2.4123,-3.0202,-2.6730,4.700
1.962000,-2.4234,-3.2838,-2.7046,4.896
1.967000,-2.4044,-3.4680,-2.6462,4.981
1.972000,-2.3434,-3.5773,-2.4905,4.949
2.020000,-2.2476,-3.5836,-2.2213,4.778
2.021000,-2.1170,-3.4845,-1.8270,4.468
2.022000,-1.9711,-3.3339,-1.3785,4.111
2.024000,-1.8388,-3.1654,-0.9387,3.779
2.025000,-1.7440,-3.0057,-0.5347,3.516
2.026000,-1.6364,-2.8330,-0.1573,3.275
2.027000,-1.5352,-2.6359,0.1809,3.056
2.027000,-1.4525,-2.4026,0.5010,2.852
2.028000,-1.3982,-2.1625,0.7926,2.694
2.029000,-1.3556,-1.9419,1.0574,2.594
2.030000,-1.3652,-1.7358,1.2883,2.557
2.032000,-1.3935,-1.5659,1.4993,2.577
2.037000,-1.4450,-1.3934,1.6764,2.615
2.045000,-1.4746,-1.2306,1.8147,2.642
2.048000,-1.4654,-1.0440,1.9118,2.625
2.052000,-1.4510,-0.8671,1.9631,2.591
2.078000,-1.4531,-0.6929,1.9351,2.517
2.078000,-1.4621,-0.5408,1.8090,2.388
2.079000,-1.5161,-0.4104,1.5951,2.239
2.080000,-1.5987,-0.3236,1.3374,2.109
2.080000,-1.6615,-0.2560,1.0801,1.998
2.083000,-1.6927,-0.1931,0.8404,1.900
2.087000,-1.6945,-0.1252,0.6307,1.812
2.092000,-1.6479,-0.0403,0.4657,1.713
2.097000,-1.5771,0.0393,0.3214,1.610
2.102000,-1.5206,0.1043,0.1981,1.537
2.108000,-1.4757,0.1594,0.0864,1.487
2.113000,-1.4498,0.2166,-0.0278,1.466
2.117000,-1.4305,0.2739,-0.1277,1.462
2.122000,-1.3990,0.3020,-0.2228,1.449
2.127000,-1.3456,0.3206,-0.3083,1.417
2.133000,-1.2918,0.3296,-0.3603,1.381
2.138000,-1.2468,0.3197,-0.3768,1.341
2.146000,-1.1891,0.2959,-0.3506,1.275
2.149000,-1.1136,0.2753,-0.2701,1.178
2.152000,-1.0014,0.2503,-0.1359,1.041
2.157000,-0.8978,0.2356,0.0374,0.929
2.180000,-0.7858,0.2384,0.2443,0.857
2.180000,-0.6488,0.2587,0.4487,0.830
2.181000,-0.4482,0.3208,0.6477,0.851
2.181000,-0.1776,0.4213,0.8338,0.951
2.183000,0.1197,0.5745,0.9897,1.151
2.187000,0.4172,0.7344,1.0886,1.378
2.193000,0.6763,0.9056,1.1330,1.600
2.198000,0.8900,1.1002,1.1422,1.819
2.203000,1.0457,1.2792,1.1210,1.997
2.207000,1.1436,1.4284,1.0696,2.120
2.213000,1.2126,1.5624,1.0071,2.219
2.217000,1.2648,1.6764,0.9437,2.302
2.222000,1.3098,1.7897,0.8675,2.381
2.227000,1.3671,1.8931,0.8004,2.468
2.232000,1.4337,1.9979,0.7450,2.569
2.237000,1.5220,2.1022,0.7064,2.690
2.243000,1.6628,2.2178,0.6919,2.857
2.248000,1.8347,2.3638,0.6749,3.067
2.252000,2.0183,2.5402,0.6390,3.307
2.260000,2.2034,2.7222,0.5721,3.549
2.264000,2.3948,2.8981,0.5320,3.797
2.268000,2.5587,3.0459,0.5041,4.010
2.273000,2.7093,3.1659,0.4739,4.194
2.280000,2.8470,3.2437,0.4560,4.340
2.283000,2.9783,3.2959,0.4311,4.463
2.288000,3.1084,3.3251,0.4232,4.571
2.326000,3.2517,3.3268,0.4204,4.671
2.328000,3.4394,3.3249,0.4006,4.801
2.328000,3.6665,3.3314,0.3662,4.967
2.329000,3.8947,3.3535,0.3147,5.149
2.329000,3.9247,3.3643,0.2435,5.175
2.330000,4.2473,3.3592,0.1500,5.417
2.330000,4.3696,3.3120,0.0465,5.483
2.331000,4.4615,3.2397,-0.0595,5.514
2.333000,4.5309,3.1616,-0.1463,5.527
2.338000,4.5750,3.0682,-0.2090,5.513
2.343000,4.6111,2.9740,-0.2691,5.494
2.348000,4.6656,2.8697,-0.3408,5.488
2.353000,4.7531,2.7888,-0.4022,5.525
2.358000,4.8640,2.7100,-0.4482,5.586
2.367000,5.0123,2.6543,-0.4499,5.690
2.367000,5.1859,2.6195,-0.4310,5.826
2.373000,5.4014,2.6027,-0.4227,6.011
2.386000,5.6297,2.5681,-0.4299,6.203
2.387000,5.8898,2.5202,-0.4448,6.422
2.388000,6.1769,2.4423,-0.4002,6.654
2.400000,6.4688,2.3555,-0.2776,6.890
2.401000,6.7296,2.2813,-0.1107,7.107
2.403000,6.9831,2.1959,0.0662,7.320
2.410000,7.2267,2.0943,0.2695,7.529
2.413000,7.4317,1.9716,0.4557,7.702
2.418000,7.5740,1.8519,0.6100,7.821
2.423000,7.6513,1.7039,0.7250,7.872
2.428000,7.6685,1.5255,0.8199,7.862
2.433000,7.5948,1.3503,0.9041,7.767
2.438000,7.4259,1.2288,1.0490,7.600
2.443000,7.1310,1.1994,1.2512,7.339
2.448000,6.7178,1.2554,1.4932,6.995
2.453000,6.2636,1.3994,1.7024,6.640
2.458000,5.8284,1.6842,1.8712,6.349
2.464000,5.4601,2.0691,1.9880,6.168
2.468000,5.1943,2.5299,2.0361,6.126
2.473000,5.0520,2.9991,1.9826,6.201
2.478000,5.0061,3.4234,1.8254,6.333
2.484000,5.0198,3.7880,1.5749,6.483
2.488000,5.0277,4.0753,1.2751,6.596
2.493000,5.0436,4.2848,0.9743,6.689
2.498000,5.0194,4.3924,0.7051,6.707
2.503000,4.9502,4.3596,0.4819,6.614
2.524000,4.8433,4.1840,0.3125,6.408
2.525000,4.6990,3.8898,0.2281,6.104
2.526000,4.5200,3.4989,0.2047,5.720
2.526000,4.3066,3.0426,0.2252,5.278
2.529000,4.0746,2.5076,0.2587,4.791
2.533000,3.8864,1.9253,0.3075,4.348
2.538000,3.7282,1.3226,0.3670,3.973
2.544000,3.5885,0.7405,0.4325,3.690
2.548000,3.4365,0.2031,0.4992,3.479
2.553000,3.2661,-0.2408,0.5528,3.321
2.561000,3.0920,-0.5959,0.5768,3.201
2.564000,2.9407,-0.8596,0.5714,3.117
2.569000,2.8795,-1.0053,0.5395,3.097
2.575000,2.9125,-1.0791,0.4931,3.145
2.580000,3.0138,-1.0878,0.4728,3.239
2.584000,3.1060,-1.0538,0.5024,3.318
2.588000,3.1842,-0.9486,0.5717,3.371
2.599000,3.2457,-0.7749,0.6684,3.403
2.605000,3.2902,-0.5570,0.7825,3.427
2.606000,3.3172,-0.3100,0.9208,3.457
2.636000,3.3461,-0.0718,1.0564,3.510
2.638000,3.3692,0.1354,1.1982,3.578
2.638000,3.3934,0.3232,1.3242,3.657
2.639000,3.3968,0.4698,1.4460,3.722
2.639000,3.3907,0.5718,1.5486,3.771
2.639000,3.3687,0.6157,1.6389,3.796
2.645000,3.3350,0.5960,1.7234,3.801
2.646000,3.2753,0.5006,1.7923,3.767
2.649000,3.1802,0.3345,1.8310,3.685
2.655000,3.0233,0.1235,1.8346,3.539
2.660000,2.7865,-0.1240,1.7817,3.310
2.665000,2.4510,-0.3960,1.6726,2.994
2.670000,2.0628,-0.6800,1.5030,2.641
2.676000,1.6489,-0.9803,1.3263,2.332
2.680000,1.2285,-1.2658,1.1478,2.105
2.687000,0.8293,-1.5059,0.9876,1.983
2.690000,0.4822,-1.6914,0.8415,1.950
2.697000,0.1826,-1.8316,0.7269,1.979
2.700000,-0.0505,-1.9431,0.6610,2.053
2.706000,-0.2242,-2.0212,0.6273,2.128
2.741000,-0.3463,-2.0619,0.6308,2.184
2.745000,-0.4545,-2.0977,0.6504,2.243
2.745000,-0.5158,-2.1341,0.6960,2.303
2.746000,-0.5542,-2.1641,0.7317,2.351
2.746000,-0.5389,-2.2000,0.7647,2.391
2.747000,-0.5230,-2.2380,0.8000,2.434
2.747000,-0.5131,-2.2795,0.8330,2.481
2.747000,-0.5312,-2.3397,0.8609,2.549
2.750000,-0.5987,-2.4473,0.8862,2.671
