time,ax,ay,az,aT
11.282000,1.4628,-2.3995,2.2970,3.629
11.283000,1.3955,-2.3068,2.5596,3.718
11.284000,1.3160,-2.1428,2.7865,3.753
11.284000,1.2126,-1.8860,3.0854,3.814
11.284000,1.0660,-1.6974,3.4321,3.974
11.285000,0.8615,-1.5033,3.7763,4.155
11.285000,0.6760,-1.3307,4.0821,4.346
11.285000,0.4157,-1.1328,4.2825,4.449
11.286000,0.0777,-1.0251,4.5067,4.622
11.286000,-0.2091,-0.8934,4.6255,4.716
11.286000,-0.4309,-0.7430,4.6535,4.732
11.287000,-0.6336,-0.7030,4.6196,4.716
11.290000,-0.7866,-0.7640,4.6290,4.757
11.296000,-0.8014,-0.9881,4.6244,4.796
11.300000,-0.7167,-1.3321,4.7039,4.941
11.307000,-0.5252,-1.7118,4.6808,5.012
11.316000,-0.1628,-2.0861,4.4980,4.961
11.317000,0.3278,-2.3612,4.2180,4.845
11.321000,0.8993,-2.4758,3.8217,4.642
11.326000,1.4463,-2.5515,3.3646,4.463
11.369000,2.0462,-2.4961,2.9853,4.397
11.370000,2.6015,-2.3689,2.6861,4.427
11.370000,3.1131,-2.1452,2.4860,4.525
11.370000,3.6465,-1.8749,2.3918,4.747
11.371000,4.1214,-1.5002,2.3434,4.973
11.371000,4.5141,-1.0623,2.3334,5.191
11.371000,4.7456,-0.6073,2.4264,5.364
11.372000,4.7303,-0.1605,2.5955,5.398
11.372000,4.5046,0.2097,2.8211,5.319
11.375000,4.0828,0.5495,3.0768,5.142
11.380000,3.5516,0.7398,3.2232,4.853
11.385000,2.9992,0.8515,3.1193,4.410
11.391000,2.3243,0.8866,2.8637,3.793
11.394000,1.5782,0.8667,2.5216,3.098
11.400000,0.8703,0.7968,2.1745,2.474
11.411000,0.3055,0.6728,1.7655,1.914
11.412000,-0.2027,0.5498,1.4452,1.559
11.415000,-0.6355,0.3808,1.1253,1.347
11.421000,-1.0358,0.1807,0.7604,1.298
11.426000,-1.3748,-0.0046,0.4344,1.442
11.430000,-1.6311,-0.2170,0.0780,1.647
11.435000,-1.7879,-0.3892,-0.2919,1.853
11.439000,-1.8903,-0.5105,-0.5773,2.041
11.450000,-1.9429,-0.6566,-0.8642,2.226
11.452000,-1.9409,-0.7435,-1.0116,2.312
11.455000,-1.9410,-0.7924,-1.1393,2.386
11.508000,-1.9499,-0.8770,-1.2213,2.462
11.509000,-1.9506,-0.9209,-1.2529,2.495
11.509000,-1.9593,-1.0124,-1.2319,2.526
11.510000,-1.9942,-1.0013,-1.2065,2.537
11.510000,-1.9790,-0.9904,-1.1960,2.515
11.510000,-1.9567,-0.9776,-1.1691,2.480
11.511000,-1.9419,-0.9584,-1.1331,2.444
11.511000,-1.8891,-0.9330,-1.0808,2.368
11.511000,-1.8371,-0.8875,-1.0098,2.277
11.511000,-1.7912,-0.7932,-0.9990,2.199
11.512000,-1.7853,-0.7320,-0.9930,2.170
11.513000,-1.7770,-0.6255,-0.9871,2.127
11.519000,-1.7979,-0.5601,-1.0982,2.180
11.524000,-1.8125,-0.4784,-1.2257,2.240
11.529000,-1.8479,-0.4189,-1.4268,2.372
11.534000,-1.8565,-0.3742,-1.6174,2.491
11.538000,-1.8409,-0.3226,-1.7236,2.542
11.547000,-1.7171,-0.2401,-1.8816,2.559
11.549000,-1.5768,-0.1815,-2.0531,2.595
11.553000,-1.3430,-0.0989,-2.2189,2.596
11.558000,-1.1161,0.0103,-2.3600,2.611
11.608000,-0.9462,0.0982,-2.5051,2.680
11.609000,-0.7328,0.1481,-2.6829,2.785
11.609000,-0.5140,0.2249,-2.7881,2.844
11.609000,-0.3451,0.2949,-2.8592,2.895
11.610000,-0.1896,0.4302,-2.8746,2.913
11.610000,-0.0561,0.5060,-2.8754,2.920
11.610000,0.0417,0.5677,-2.8643,2.920
11.610000,0.1115,0.6058,-2.8869,2.952
11.611000,0.2128,0.6677,-2.9286,3.011
11.611000,0.3171,0.6483,-3.0136,3.099
11.613000,0.3979,0.6984,-3.0891,3.192
11.618000,0.4077,0.6647,-3.0380,3.136
11.623000,0.4238,0.6333,-2.9731,3.069
11.628000,0.4297,0.6089,-2.9256,3.019
11.633000,0.3350,0.5314,-2.8717,2.940
11.637000,0.2497,0.4250,-2.8905,2.932
11.646000,0.1428,0.3256,-2.9363,2.958
11.647000,0.0022,0.1593,-2.9922,2.996
11.653000,-0.1288,0.0579,-3.0680,3.071
11.658000,-0.2071,-0.0643,-3.1085,3.116
11.705000,-0.3075,-0.1519,-3.2115,3.230
11.706000,-0.4706,-0.2093,-3.2311,3.272
11.706000,-0.6277,-0.2648,-3.2724,3.343
11.707000,-0.7551,-0.3327,-3.2801,3.382
11.707000,-0.8606,-0.3124,-3.2541,3.380
11.707000,-0.9948,-0.2827,-3.1871,3.351
11.708000,-1.0524,-0.2556,-3.0864,3.271
11.708000,-1.1293,-0.1287,-2.9975,3.206
11.708000,-1.2517,-0.0142,-2.8628,3.125
11.709000,-1.3432,0.1040,-2.6371,2.961
11.717000,-1.4398,0.2589,-2.3660,2.782
11.717000,-1.4913,0.3329,-2.1308,2.622
11.723000,-1.5959,0.4141,-1.9148,2.527
11.728000,-1.6603,0.5095,-1.7275,2.450
11.732000,-1.6967,0.5969,-1.5833,2.396
11.737000,-1.7315,0.6642,-1.4440,2.350
11.741000,-1.7404,0.7377,-1.3167,2.304
11.747000,-1.7521,0.8173,-1.2159,2.284
11.752000,-1.7213,0.8718,-1.1319,2.237
11.758000,-1.6386,0.9177,-1.0336,2.144
11.764000,-1.6332,0.9141,-0.9427,2.096
11.768000,-1.5945,0.8849,-0.8593,2.016
11.772000,-1.5319,0.8513,-0.7762,1.917
11.777000,-1.3997,0.7992,-0.7463,1.776
11.837000,-1.2148,0.7119,-0.7646,1.602
11.838000,-1.0967,0.6876,-0.7809,1.512
11.839000,-0.9663,0.6357,-0.8310,1.424
11.844000,-0.8617,0.6117,-0.9675,1.433
11.845000,-0.7805,0.5848,-1.0251,1.415
11.846000,-0.7277,0.5648,-1.0494,1.396
11.847000,-0.7154,0.5591,-1.0164,1.363
11.847000,-0.6887,0.5099,-0.9045,1.246
11.848000,-0.7073,0.4842,-0.7093,1.113
11.849000,-0.7256,0.4579,-0.4523,0.970
11.849000,-0.7218,0.3467,-0.2127,0.828
11.850000,-0.7463,0.1624,-0.0048,0.764
11.850000,-0.8233,-0.0566,0.1499,0.839
11.851000,-0.8640,-0.2648,0.2420,0.935
11.851000,-0.8589,-0.5167,0.3337,1.056
11.856000,-0.7845,-0.8002,0.4516,1.208
11.867000,-0.6794,-1.1000,0.5766,1.416
11.870000,-0.5172,-1.4064,0.7469,1.674
11.871000,-0.3624,-1.7331,0.8479,1.963
11.923000,-0.1075,-2.0124,0.9322,2.220
11.924000,0.0875,-2.2485,1.0454,2.481
11.924000,0.2705,-2.4745,1.2019,2.764
11.926000,0.4227,-2.6299,1.3729,2.997
11.927000,0.5753,-2.7024,1.6133,3.200
11.927000,0.7287,-2.7183,1.8370,3.361
11.927000,0.9452,-2.5891,2.1037,3.467
11.928000,1.0836,-2.3799,2.4349,3.573
11.928000,1.2301,-2.1246,2.7060,3.654
11.929000,1.3795,-1.8122,3.0584,3.813
11.929000,1.4907,-1.4988,3.4177,4.019
11.932000,1.4035,-1.2999,3.7719,4.229
11.935000,1.3381,-1.0849,4.1520,4.495
11.940000,1.2466,-1.1081,4.5672,4.862
11.946000,1.1723,-1.3029,5.0987,5.392
11.951000,1.0959,-1.6674,5.5551,5.903
11.956000,1.0818,-2.1176,5.8455,6.311
11.961000,1.2033,-2.4359,5.9871,6.575
11.965000,1.3641,-2.5051,5.8224,6.484
11.970000,1.4988,-2.4422,5.4430,6.151
11.977000,1.7664,-2.3617,4.9786,5.787
11.982000,2.0251,-2.1457,4.4895,5.372
11.986000,2.2316,-1.9182,4.0236,4.985
11.991000,2.4127,-1.7147,3.6287,4.683
12.002000,2.5622,-1.4921,3.2997,4.436
12.003000,2.6568,-1.2603,3.0482,4.235
12.006000,2.7399,-1.0745,2.8429,4.092
12.063000,2.7954,-0.9089,2.6429,3.953
12.064000,2.8262,-0.7734,2.4647,3.829
12.064000,2.7464,-0.7949,2.2125,3.615
12.065000,2.6355,-0.7939,1.9796,3.390
12.065000,2.5317,-0.8514,1.7397,3.188
12.065000,2.4182,-0.9456,1.5717,3.035
12.066000,2.3285,-1.0593,1.3753,2.904
12.066000,2.2626,-1.2090,1.2725,2.864
12.066000,2.2707,-1.3107,1.1675,2.870
12.067000,2.2955,-1.4168,1.0459,2.893
12.067000,2.3510,-1.5246,0.8554,2.930
12.067000,2.3919,-1.5646,0.6343,2.928
12.071000,2.3536,-1.5844,0.4257,2.869
12.074000,2.2607,-1.6101,0.2199,2.784
12.080000,2.1542,-1.6054,-0.0382,2.687
12.084000,2.0512,-1.5652,-0.2934,2.597
12.091000,1.8967,-1.4654,-0.4860,2.446
12.097000,1.7890,-1.3106,-0.5754,2.291
12.101000,1.6113,-1.1395,-0.5931,2.061
12.106000,1.3707,-0.9401,-0.5342,1.746
12.110000,1.1150,-0.6748,-0.5832,1.428
12.157000,0.8559,-0.4565,-0.5795,1.130
12.158000,0.5832,-0.2950,-0.5615,0.862
12.158000,0.3518,-0.1459,-0.5627,0.679
12.159000,0.1112,0.0220,-0.6022,0.613
12.159000,-0.0216,0.1558,-0.6631,0.682
12.160000,-0.1665,0.2768,-0.7384,0.806
12.160000,-0.3332,0.3852,-0.8326,0.976
12.160000,-0.4095,0.4380,-0.9240,1.102
12.160000,-0.5009,0.5021,-0.9746,1.205
12.161000,-0.6384,0.5967,-1.0703,1.382
12.169000,-0.6904,0.5592,-1.1466,1.451
12.170000,-0.8222,0.5477,-1.1651,1.528
12.174000,-0.9708,0.6292,-1.2098,1.674
12.179000,-1.0590,0.6052,-1.3145,1.793
12.183000,-1.1492,0.5549,-1.3688,1.871
12.189000,-1.1669,0.5309,-1.4042,1.901
12.195000,-1.1006,0.5359,-1.4037,1.862
12.198000,-1.1221,0.5314,-1.3674,1.847
12.204000,-1.1332,0.6060,-1.4128,1.910
12.209000,-1.1767,0.6162,-1.4321,1.953
12.257000,-1.2476,0.6480,-1.4470,2.017
12.258000,-1.3003,0.6847,-1.4120,2.038
12.258000,-1.3918,0.6665,-1.3777,2.069
12.259000,-1.4768,0.7130,-1.3893,2.149
12.259000,-1.5192,0.7595,-1.3920,2.196
12.259000,-1.5838,0.7818,-1.3738,2.238
12.260000,-1.6446,0.8042,-1.3464,2.273
12.260000,-1.6681,0.8406,-1.3124,2.283
12.260000,-1.7098,0.8887,-1.3075,2.329
12.261000,-1.7864,0.9220,-1.2409,2.362
12.264000,-1.7760,0.9644,-1.1722,2.336
12.268000,-1.8148,0.9919,-1.0563,2.322
12.273000,-1.8861,0.9735,-0.9457,2.324
12.280000,-1.8919,0.9852,-0.8621,2.301
12.283000,-1.9039,1.0056,-0.8197,2.304
12.288000,-1.9463,0.9750,-0.7753,2.311
12.293000,-1.9833,0.9079,-0.7481,2.306
12.298000,-1.9911,0.8783,-0.7739,2.310
12.303000,-1.9866,0.7668,-0.8022,2.276
12.308000,-2.0463,0.6932,-0.8020,2.305
12.313000,-2.0529,0.6433,-0.8738,2.322
12.318000,-2.0282,0.5838,-0.9479,2.314
12.322000,-1.9482,0.5177,-0.9381,2.223
12.329000,-1.8537,0.4855,-0.8853,2.111
12.333000,-1.7135,0.4513,-0.7585,1.927
12.337000,-1.6089,0.4556,-0.6366,1.789
12.342000,-1.4732,0.4336,-0.5675,1.637
12.397000,-1.3444,0.4712,-0.4915,1.507
12.397000,-1.2706,0.4893,-0.4372,1.430
12.398000,-1.1677,0.4474,-0.4022,1.314
12.398000,-1.0886,0.4291,-0.4583,1.257
12.399000,-0.9854,0.4582,-0.4451,1.174
12.399000,-0.9081,0.4609,-0.4679,1.121
12.399000,-0.8235,0.4727,-0.5052,1.076
12.400000,-0.7242,0.5058,-0.4757,1.003
12.400000,-0.6294,0.5577,-0.4678,0.962
12.401000,-0.4677,0.5541,-0.4552,0.856
12.401000,-0.3563,0.5905,-0.4500,0.824
12.402000,-0.2309,0.6069,-0.4569,0.794
12.412000,-0.1154,0.5865,-0.4423,0.744
12.414000,0.0118,0.6008,-0.4256,0.736
12.420000,0.1264,0.5924,-0.4450,0.752
12.422000,0.2523,0.6068,-0.5194,0.838
12.437000,0.3582,0.6177,-0.5961,0.930
12.439000,0.4749,0.5722,-0.6679,1.000
12.439000,0.5523,0.5303,-0.7087,1.043
12.441000,0.6668,0.4899,-0.7612,1.124
12.489000,0.8328,0.4630,-0.8806,1.297
12.491000,0.9374,0.4591,-0.9685,1.424
12.491000,1.0119,0.4402,-1.0323,1.511
12.491000,1.1690,0.4566,-1.1436,1.698
12.492000,1.3196,0.5060,-1.2329,1.876
12.492000,1.4470,0.5550,-1.2788,2.009
12.493000,1.6233,0.6441,-1.3148,2.186
12.493000,1.7452,0.7494,-1.3720,2.343
12.493000,1.8654,0.8325,-1.4169,2.486
12.494000,1.9364,0.9413,-1.4232,2.581
12.502000,1.9726,1.0349,-1.3815,2.621
12.503000,1.9933,1.0987,-1.3230,2.633
12.509000,1.9581,1.0945,-1.2168,2.552
12.513000,1.8768,1.0745,-1.0917,2.423
12.516000,1.6946,0.9673,-0.9453,2.168
12.521000,1.4645,0.8491,-0.8065,1.875
12.527000,1.2511,0.7228,-0.7277,1.618
12.531000,1.1119,0.6390,-0.6276,1.428
12.536000,0.9540,0.4922,-0.4848,1.178
12.542000,0.7968,0.2185,-0.2228,0.856
12.550000,0.6958,-0.0265,0.0195,0.697
12.554000,0.6299,-0.2905,0.3018,0.756
12.556000,0.5775,-0.5758,0.4661,0.939
12.610000,0.5171,-0.8943,0.6084,1.199
12.611000,0.4772,-1.1833,0.7120,1.461
12.611000,0.4914,-1.4976,0.7627,1.751
12.611000,0.5598,-1.7072,0.7870,1.961
12.612000,0.7345,-1.8499,0.8257,2.155
12.612000,1.0029,-1.8873,0.9675,2.346
12.612000,1.2806,-1.8760,1.0356,2.496
12.613000,1.4689,-1.8067,1.2096,2.624
12.613000,1.5224,-1.6814,1.4441,2.689
12.613000,1.4842,-1.5103,1.6623,2.692
12.614000,1.3642,-1.3606,2.0148,2.788
12.616000,1.2107,-1.1879,2.4437,2.975
12.620000,1.0625,-0.9911,2.9295,3.270
12.625000,0.8648,-0.7859,3.3212,3.521
12.630000,0.6435,-0.6209,3.4680,3.581
12.635000,0.3360,-0.5593,3.5163,3.576
12.641000,0.0282,-0.5508,3.5546,3.597
12.652000,-0.1873,-0.6030,3.4681,3.525
12.653000,-0.3799,-0.7589,3.4365,3.540
12.655000,-0.5046,-1.0420,3.4885,3.676
12.714000,-0.4802,-1.5119,3.5069,3.849
