time,ax,ay,az,aT
0.003000,0.2224,0.2902,-0.2659,0.452
0.004000,0.1122,0.4036,-0.3421,0.541
0.005000,0.0903,0.5142,-0.4159,0.668
0.008000,0.0299,0.5675,-0.3320,0.658
0.011000,0.0259,0.5945,-0.1649,0.617
0.017000,-0.0795,0.6166,-0.0438,0.623
0.023000,-0.2290,0.6457,-0.1146,0.695
0.026000,-0.3052,0.5261,-0.1330,0.623
0.031000,-0.2816,0.4755,-0.0705,0.557
0.041000,-0.2612,0.4391,0.0491,0.513
0.042000,-0.2629,0.4216,0.0082,0.497
0.050000,-0.2791,0.4183,-0.1476,0.524
0.052000,-0.3818,0.3575,-0.3798,0.646
0.061000,-0.3946,0.3044,-0.3897,0.633
0.062000,-0.1855,0.2879,-0.1967,0.395
0.066000,-0.0736,0.2651,-0.1422,0.310
0.071000,-0.0007,0.2551,-0.2305,0.344
0.076000,0.0877,0.3419,-0.2944,0.460
0.081000,0.1171,0.3676,-0.3125,0.496
0.087000,0.0466,0.3875,-0.3209,0.505
0.091000,-0.0139,0.3465,-0.4033,0.532
0.096000,-0.1172,0.3208,-0.4856,0.594
0.100000,-0.1225,0.3557,-0.4602,0.594
0.105000,-0.1589,0.4580,-0.3441,0.594
0.111000,-0.1044,0.5485,-0.2855,0.627
0.116000,-0.0308,0.5932,-0.2699,0.652
0.129000,-0.0436,0.6370,-0.2808,0.697
0.130000,-0.0854,0.6582,-0.3921,0.771
0.131000,-0.0964,0.7212,-0.5392,0.906
0.138000,-0.1128,0.7230,-0.6577,0.984
0.145000,-0.1370,0.7167,-0.7498,1.046
0.146000,-0.1425,0.6496,-0.8803,1.103
0.150000,-0.1678,0.6175,-0.9319,1.130
0.164000,-0.1199,0.5584,-0.9359,1.096
0.165000,-0.1487,0.5419,-0.9949,1.143
0.166000,-0.1800,0.5086,-1.0228,1.156
0.173000,-0.1562,0.5281,-1.0698,1.203
0.175000,-0.1281,0.4738,-1.0954,1.200
0.180000,-0.1173,0.3963,-1.0303,1.110
0.186000,-0.1475,0.3718,-0.9152,0.999
0.190000,-0.1446,0.3454,-0.8147,0.897
0.195000,-0.1993,0.3289,-0.7120,0.809
0.200000,-0.2712,0.2573,-0.6169,0.721
0.206000,-0.2909,0.2143,-0.4431,0.572
0.210000,-0.2920,0.1757,-0.3127,0.463
0.215000,-0.3300,0.0692,-0.1661,0.376
0.221000,-0.2567,0.0141,0.1115,0.280
0.225000,-0.1845,0.0291,0.2474,0.310
0.231000,-0.1585,0.0494,0.3878,0.422
0.235000,-0.1257,0.1082,0.4563,0.485
0.240000,-0.1105,0.1649,0.5412,0.576
0.246000,-0.0886,0.2005,0.5997,0.639
0.250000,-0.0840,0.2580,0.6508,0.705
0.263000,-0.0555,0.2373,0.6805,0.723
0.265000,-0.0700,0.2444,0.5812,0.634
0.265000,-0.1276,0.1959,0.4605,0.516
0.272000,-0.1903,0.1044,0.3973,0.453
0.275000,-0.2004,0.0040,0.4107,0.457
0.280000,-0.1963,-0.1269,0.5077,0.559
0.285000,-0.2874,-0.2354,0.5235,0.642
0.295000,-0.3967,-0.2594,0.4200,0.633
0.296000,-0.4092,-0.2393,0.3050,0.564
0.299000,-0.1290,-0.1415,0.3028,0.358
0.304000,0.0873,-0.0833,0.2699,0.296
0.309000,0.0893,-0.1219,0.1847,0.239
0.315000,0.0543,-0.1045,0.1454,0.187
0.320000,-0.0011,-0.1269,0.1041,0.164
0.324000,-0.0576,-0.2229,-0.0109,0.230
0.329000,-0.0752,-0.3351,-0.1352,0.369
0.334000,-0.0994,-0.4754,-0.2376,0.541
0.339000,-0.1382,-0.6273,-0.3663,0.739
0.344000,-0.1917,-0.6616,-0.3706,0.782
0.349000,-0.1069,-0.7122,-0.3464,0.799
0.365000,0.0106,-0.7386,-0.3009,0.798
0.366000,0.0146,-0.7385,-0.2223,0.771
0.367000,0.0318,-0.7553,-0.0986,0.762
0.371000,0.0286,-0.7698,0.0101,0.770
0.375000,-0.0236,-0.7392,0.1925,0.764
0.379000,-0.0910,-0.7282,0.3386,0.808
0.384000,-0.1371,-0.7058,0.4151,0.830
0.390000,-0.1670,-0.6792,0.5201,0.872
0.394000,-0.1661,-0.6316,0.5986,0.886
0.399000,-0.1746,-0.5435,0.6771,0.886
0.404000,-0.2360,-0.4822,0.7436,0.917
0.409000,-0.3210,-0.4738,0.7575,0.949
0.414000,-0.4336,-0.5013,0.6688,0.942
0.419000,-0.5405,-0.5336,0.5901,0.962
0.424000,-0.6508,-0.6039,0.4808,1.010
0.429000,-0.7192,-0.7217,0.3624,1.081
0.433000,-0.8175,-0.9465,0.2635,1.278
0.439000,-1.0561,-1.1275,0.2247,1.561
0.443000,-1.3272,-1.2579,0.1528,1.835
0.448000,-0.8201,-1.3187,0.2174,1.568
0.455000,-0.3689,-1.3391,0.4397,1.457
0.459000,-0.0691,-1.3286,0.5899,1.455
0.463000,0.1104,-1.2996,0.6132,1.441
0.468000,0.1428,-1.3003,0.6626,1.466
0.474000,0.2267,-1.4502,0.5825,1.579
0.479000,0.3826,-1.6826,0.5786,1.820
0.484000,0.0004,-1.5530,0.6341,1.677
0.488000,-0.4809,-1.4255,0.4644,1.574
0.493000,-0.8009,-1.4677,0.3329,1.705
0.498000,-1.0312,-1.5575,0.3425,1.899
0.504000,-1.1047,-1.6661,0.3424,2.028
0.508000,-1.0503,-1.7620,0.3111,2.075
0.513000,-0.9013,-1.7611,0.3347,2.006
0.518000,-0.7346,-1.7234,0.2961,1.897
0.523000,-0.5783,-1.6679,0.1907,1.776
0.527000,-0.5944,-1.7044,0.0999,1.808
0.533000,-0.4982,-1.7301,-0.0001,1.800
0.538000,-0.2969,-1.6489,-0.0614,1.677
0.542000,-0.1680,-1.6355,-0.1943,1.656
0.547000,-0.2045,-1.6919,-0.3054,1.731
0.554000,-0.3585,-1.7487,-0.4640,1.844
0.558000,-0.5066,-1.8446,-0.6393,2.017
0.563000,-0.6894,-1.9983,-0.8192,2.267
0.569000,-0.9954,-2.1023,-0.8675,2.483
0.573000,-1.2305,-2.1569,-0.9180,2.647
0.578000,-1.3372,-2.1164,-1.1071,2.737
0.584000,-1.3598,-2.1105,-1.3463,2.849
0.597000,-1.3078,-2.1048,-1.5686,2.933
0.604000,-1.2323,-2.1088,-1.5853,2.912
0.604000,-1.2083,-2.1363,-1.4250,2.838
0.605000,-1.1750,-2.0818,-1.7454,2.960
0.607000,-0.9527,-1.9244,-1.8264,2.819
0.613000,-0.7183,-1.7213,-1.7067,2.528
0.617000,-0.5591,-1.6133,-1.6850,2.399
0.625000,-0.4567,-1.6056,-1.6634,2.357
0.627000,-0.3940,-1.6288,-1.5580,2.288
0.633000,-0.3666,-1.6213,-1.4742,2.222
0.638000,-0.3599,-1.5977,-1.3400,2.116
0.642000,-0.4120,-1.5891,-1.3205,2.107
0.647000,-0.4464,-1.6199,-1.3819,2.176
0.655000,-0.4912,-1.5892,-1.4643,2.216
0.657000,-0.5294,-1.5612,-1.5605,2.270
0.662000,-0.5832,-1.5190,-1.6420,2.312
0.667000,-0.6087,-1.4570,-1.7470,2.355
0.672000,-0.6112,-1.3441,-1.7894,2.320
0.679000,-0.5997,-1.2393,-1.8173,2.280
0.682000,-0.6034,-1.1408,-1.7756,2.195
0.699000,-0.6073,-1.0050,-1.7195,2.082
0.700000,-0.5581,-0.8842,-1.6584,1.961
0.700000,-0.4810,-0.7935,-1.5351,1.794
0.702000,-0.4732,-0.7470,-1.4452,1.694
0.708000,-0.5134,-0.7166,-1.3814,1.639
0.712000,-0.5606,-0.7021,-1.3723,1.640
0.717000,-0.5576,-0.7180,-1.3271,1.609
0.728000,-0.5968,-0.6878,-1.2387,1.537
0.729000,-0.6773,-0.6668,-1.1405,1.485
0.732000,-0.7594,-0.6453,-1.1353,1.511
0.738000,-0.8744,-0.6927,-1.1847,1.627
0.742000,-0.9331,-0.7080,-1.2959,1.747
0.747000,-0.8600,-0.7175,-1.2895,1.708
0.752000,-0.7053,-0.6443,-1.1778,1.517
0.756000,-0.5940,-0.5432,-0.9251,1.226
0.761000,-0.5310,-0.4790,-1.1222,1.331
0.766000,-0.5073,-0.3247,-1.2688,1.405
0.772000,-0.4388,-0.1902,-1.2145,1.305
0.776000,-0.4192,-0.1282,-1.1365,1.218
0.781000,-0.3329,-0.0766,-1.0227,1.078
0.786000,-0.2261,-0.0621,-0.8949,0.925
0.792000,-0.2131,-0.0846,-0.8772,0.907
0.797000,-0.1528,-0.0631,-0.9098,0.925
0.801000,-0.0931,0.0314,-0.8708,0.876
0.814000,-0.0343,0.1003,-0.8079,0.815
0.815000,-0.0479,0.1846,-0.8458,0.867
0.816000,-0.0221,0.2579,-0.8191,0.859
0.822000,-0.0099,0.2700,-0.7998,0.844
0.830000,-0.0501,0.2762,-0.7543,0.805
0.830000,-0.1330,0.2570,-0.6756,0.735
0.837000,-0.1851,0.2772,-0.6257,0.709
0.847000,-0.3047,0.3199,-0.5974,0.743
0.848000,-0.3632,0.2919,-0.5931,0.754
0.851000,-0.3228,0.3366,-0.5290,0.705
0.857000,-0.2668,0.4203,-0.4266,0.656
0.864000,-0.2264,0.5308,-0.3768,0.689
0.867000,-0.2297,0.5727,-0.3294,0.699
0.871000,-0.1615,0.6128,-0.2365,0.676
