time,ax,ay,az,aT
6.289000,2.0006,-1.1536,-1.4545,2.729
6.291000,2.0990,-1.2055,-1.6318,2.919
6.291000,2.1167,-1.2775,-1.9245,3.133
6.292000,2.1067,-1.3452,-2.1437,3.293
6.293000,2.0622,-1.3964,-2.4070,3.464
6.294000,2.0217,-1.4022,-2.5660,3.555
6.295000,2.0567,-1.5205,-2.5827,3.635
6.295000,2.1935,-1.7086,-2.5406,3.766
6.296000,2.9860,-2.0815,-2.5569,4.448
6.297000,3.7855,-2.2755,-2.5907,5.121
6.297000,3.3372,-1.9201,-2.8286,4.778
6.298000,2.3462,-1.6780,-2.9215,4.106
6.303000,1.3232,-1.5277,-2.4630,3.186
6.310000,0.6960,-1.6117,-1.8451,2.547
6.317000,0.3312,-1.7998,-1.4399,2.329
6.318000,0.2196,-1.9137,-1.4138,2.389
6.322000,0.3659,-2.0141,-1.5987,2.597
6.329000,0.5380,-1.9930,-1.9489,2.839
6.333000,0.7771,-1.9195,-2.3784,3.154
6.337000,0.8948,-1.8596,-2.7681,3.453
6.352000,0.9564,-1.8435,-3.0276,3.672
6.353000,0.9835,-1.8756,-3.1695,3.812
6.355000,0.9716,-1.9004,-3.2489,3.887
6.358000,0.9680,-1.8464,-3.2037,3.822
6.409000,0.9341,-1.7972,-3.2445,3.825
6.411000,0.7933,-1.7389,-3.2397,3.761
6.411000,0.5573,-1.6878,-3.1726,3.637
6.412000,0.3840,-1.6654,-3.0768,3.520
6.412000,0.2203,-1.6215,-3.0122,3.428
6.413000,-0.0207,-1.6348,-2.9981,3.415
6.413000,-0.2656,-1.6263,-2.8910,3.328
6.413000,-0.3599,-1.5769,-2.6457,3.101
6.414000,-0.3140,-1.5113,-2.3982,2.852
6.414000,-0.2792,-1.4156,-2.1363,2.578
6.417000,-0.3298,-1.3068,-1.9079,2.336
6.418000,-0.3188,-1.2257,-1.5788,2.024
6.421000,-0.2983,-1.1414,-1.3258,1.775
6.428000,-0.3109,-1.0591,-1.0100,1.496
6.433000,-0.2699,-0.9886,-0.7818,1.289
6.437000,-0.1846,-0.8538,-0.6145,1.068
6.456000,-0.1551,-0.7935,-0.5248,0.964
6.458000,-0.1522,-0.7261,-0.4384,0.862
6.458000,-0.1062,-0.6613,-0.3672,0.764
6.459000,-0.0119,-0.5937,-0.4191,0.727
6.466000,0.0828,-0.4303,-0.4886,0.656
6.466000,0.2068,-0.3162,-0.6694,0.769
6.472000,0.3453,-0.1933,-0.9689,1.047
6.492000,0.5367,-0.1161,-1.1483,1.273
6.494000,0.6734,0.0145,-1.2610,1.430
6.494000,0.8035,0.1323,-1.3887,1.610
6.495000,1.0271,0.1922,-1.4266,1.768
6.497000,1.1998,0.2665,-1.3490,1.825
6.501000,1.2569,0.3717,-1.2418,1.806
6.505000,1.2131,0.4794,-1.0289,1.661
6.510000,1.0999,0.5898,-0.6818,1.422
6.516000,1.0110,0.6617,-0.3079,1.247
6.521000,0.9463,0.7502,0.0352,1.208
6.527000,0.8362,0.8550,0.4627,1.282
6.531000,0.7810,0.8729,0.8094,1.424
6.536000,0.6611,0.9259,1.1523,1.619
6.543000,0.6173,0.9011,1.4365,1.805
6.546000,0.5746,0.8053,1.9349,2.173
6.551000,0.4404,0.9154,3.2141,3.371
6.557000,0.8823,1.0849,3.2700,3.556
6.562000,0.8210,1.2957,2.3524,2.808
6.566000,0.3637,1.4286,2.0761,2.546
6.571000,0.1196,1.4375,2.3545,2.761
6.615000,0.0589,1.2768,2.6468,2.939
6.617000,0.0580,1.1170,2.7589,2.977
6.617000,0.0870,1.1618,2.6477,2.893
6.618000,0.0579,1.2583,2.6744,2.956
6.618000,-0.0170,1.3561,2.6906,3.013
6.619000,-0.0953,1.3068,2.6486,2.955
6.619000,-0.1134,1.1871,2.7302,2.979
6.619000,-0.1551,1.1256,2.8375,3.057
6.620000,-0.2655,1.0840,2.9252,3.131
6.621000,-0.3725,1.0598,3.0697,3.269
6.625000,-0.5234,1.0169,3.1135,3.317
6.630000,-0.6369,0.9957,3.1284,3.344
6.635000,-0.6320,0.9793,3.1292,3.339
6.639000,-0.6955,0.9339,3.0440,3.259
6.645000,-0.7579,0.9147,2.8420,3.080
6.650000,-0.8315,0.8261,2.5231,2.782
6.654000,-0.9112,0.7503,2.2163,2.511
6.663000,-0.9613,0.6707,1.9522,2.277
6.665000,-1.0346,0.6211,1.7332,2.112
6.670000,-1.1168,0.5898,1.5734,2.018
6.696000,-1.3467,0.4812,1.5228,2.089
6.697000,-1.6739,0.3193,1.4594,2.244
6.697000,-1.9860,0.1881,1.4237,2.451
6.697000,-2.1352,0.0967,1.4566,2.587
6.698000,-2.2034,0.0453,1.4143,2.619
6.701000,-2.2648,-0.0740,1.4143,2.671
6.704000,-2.1831,-0.2177,1.4182,2.612
6.711000,-2.0210,-0.3600,1.5218,2.555
6.715000,-1.7859,-0.4722,1.6366,2.468
6.719000,-1.4922,-0.5646,1.7294,2.353
6.726000,-1.2260,-0.6469,1.8627,2.322
6.730000,-1.0400,-0.7597,2.0481,2.419
6.734000,-0.8981,-0.8747,2.2335,2.561
6.740000,-0.8484,-1.0049,2.3356,2.680
6.744000,-0.7833,-1.1478,2.4023,2.775
6.749000,-0.7553,-1.2396,2.4533,2.851
6.754000,-0.7333,-1.2993,2.4381,2.858
6.759000,-0.7575,-1.3417,2.4242,2.872
6.764000,-0.7918,-1.3792,2.4044,2.883
6.769000,-0.8147,-1.3978,2.2835,2.799
6.783000,-0.8642,-1.3693,2.0784,2.635
6.786000,-0.9784,-1.2796,1.8348,2.442
6.787000,-1.1063,-1.2124,1.5097,2.230
6.789000,-1.1925,-1.1507,1.0312,1.952
6.822000,-1.3537,-1.0796,0.4831,1.798
6.823000,-1.4221,-1.1013,-0.0250,1.799
6.823000,-1.4955,-1.0836,-0.5339,1.922
6.824000,-1.5263,-1.1051,-0.9939,2.130
6.824000,-1.5360,-1.0791,-1.5080,2.408
6.825000,-1.6518,-1.0746,-1.9377,2.764
6.825000,-1.8235,-1.1052,-2.4126,3.220
6.828000,-1.9775,-1.1057,-2.7777,3.584
6.834000,-2.0691,-1.1286,-3.0571,3.860
6.838000,-2.0539,-1.2237,-3.3706,4.132
6.845000,-1.9976,-1.2834,-3.5893,4.304
6.848000,-1.8672,-1.2766,-3.6797,4.319
6.853000,-1.6796,-1.3328,-3.6992,4.276
6.860000,-1.4252,-1.3591,-3.7601,4.245
6.864000,-1.1849,-1.3890,-3.7643,4.184
6.869000,-0.9752,-1.4415,-3.7333,4.119
6.879000,-0.7430,-1.4907,-3.6431,4.006
6.880000,-0.4931,-1.5657,-3.4911,3.858
6.883000,-0.2898,-1.6215,-3.2652,3.657
6.888000,-0.1398,-1.6278,-3.0295,3.442
6.919000,0.0313,-1.5825,-2.7649,3.186
6.920000,0.1594,-1.5129,-2.5618,2.979
6.921000,0.1733,-1.5198,-2.4555,2.893
6.921000,0.0899,-1.4935,-2.2691,2.718
6.922000,-0.0590,-1.4799,-2.1697,2.627
6.922000,-0.1724,-1.4239,-1.9873,2.451
6.922000,-0.2622,-1.3379,-1.9707,2.396
6.929000,-0.3133,-1.2289,-1.9881,2.358
6.932000,-0.3832,-1.0728,-2.0731,2.365
6.938000,-0.4000,-0.9957,-2.2068,2.454
6.943000,-0.3903,-0.9207,-2.4204,2.619
6.949000,-0.3575,-0.8253,-2.6139,2.764
6.953000,-0.2858,-0.7114,-2.6514,2.760
6.959000,-0.1212,-0.5905,-2.7247,2.791
6.963000,0.0541,-0.5027,-2.7479,2.794
6.967000,0.1271,-0.4408,-2.6902,2.729
6.973000,0.3438,-0.2132,-2.4751,2.508
6.977000,0.5412,0.0174,-2.2992,2.362
6.983000,0.5688,0.0905,-2.0211,2.102
6.987000,0.5012,0.1782,-1.7055,1.786
6.998000,0.4966,0.2421,-1.3760,1.483
7.000000,0.4192,0.3586,-1.1618,1.286
7.006000,0.3719,0.5010,-1.0148,1.191
7.007000,0.3026,0.6786,-0.7552,1.059
7.048000,0.2216,0.8150,-0.4886,0.976
7.049000,0.1389,0.8859,-0.2529,0.932
7.050000,0.0577,1.0467,-0.0766,1.051
7.050000,-0.0508,1.2182,0.0475,1.220
7.050000,-0.0863,1.3501,0.1389,1.360
7.050000,-0.1924,1.4283,0.1470,1.449
7.050000,-0.2303,1.4793,0.2179,1.513
7.051000,-0.1717,1.5701,0.2726,1.603
7.051000,-0.1004,1.6581,0.3179,1.691
7.059000,-0.0596,1.8197,0.3205,1.849
7.062000,-0.1230,1.9186,0.3209,1.949
7.067000,-0.2047,1.9959,0.3216,2.032
7.072000,-0.2834,2.0854,0.2025,2.114
7.078000,-0.3620,2.1757,0.0162,2.206
7.082000,-0.4529,2.2911,-0.2305,2.347
7.086000,-0.5637,2.3416,-0.5092,2.462
7.092000,-0.5731,2.3902,-0.6723,2.548
7.097000,-0.6176,2.4251,-0.6412,2.583
7.102000,-0.5968,2.4304,-0.5314,2.558
7.106000,-0.5443,2.4467,-0.3333,2.529
7.116000,-0.5201,2.4069,-0.0566,2.463
7.117000,-0.4519,2.3442,0.4184,2.424
7.122000,-0.3230,2.2822,0.9649,2.499
7.167000,-0.1786,2.2126,1.5310,2.697
7.169000,-0.0308,2.1922,2.1243,3.053
7.169000,0.0781,2.1506,2.6784,3.436
7.170000,0.1507,2.0964,3.0577,3.710
7.171000,0.3022,2.1295,3.5376,4.140
7.171000,0.4031,2.1869,3.9777,4.557
7.172000,0.5253,2.1791,4.3974,4.936
7.172000,0.6115,2.1416,4.7088,5.209
7.173000,0.7338,2.1575,4.8884,5.393
7.173000,0.8260,2.1858,4.9055,5.434
7.180000,0.9297,2.2075,4.7460,5.316
7.186000,1.0479,2.2636,4.4840,5.131
7.186000,1.0664,2.2638,4.1097,4.812
7.191000,1.0837,2.2309,3.7805,4.521
7.197000,1.1077,2.2516,3.4410,4.259
7.201000,1.1317,2.2049,3.2340,4.074
7.206000,1.1727,2.1749,3.1759,4.024
7.215000,1.2544,2.1625,3.1657,4.034
7.216000,1.3027,2.1108,3.1193,3.985
7.221000,1.1901,2.0176,3.1058,3.890
7.265000,0.9725,1.8379,3.2445,3.854
7.266000,0.7753,1.5809,3.4374,3.862
7.266000,0.6396,1.3468,3.7371,4.024
7.267000,0.6145,1.1300,4.1630,4.357
7.267000,0.6878,1.0082,4.4790,4.642
7.267000,0.7775,0.9161,4.6545,4.807
7.268000,0.8904,0.7050,4.6467,4.784
7.268000,0.9401,0.4462,4.4086,4.530
7.269000,1.0265,0.2022,4.0740,4.206
7.270000,1.1330,-0.0078,3.6047,3.779
7.276000,1.2863,-0.1522,3.2016,3.454
7.281000,1.3890,-0.2833,2.8475,3.181
7.286000,1.4756,-0.3942,2.4828,2.915
7.290000,1.5684,-0.5081,2.1504,2.710
7.295000,1.6252,-0.5607,1.9675,2.613
7.300000,1.6806,-0.6188,1.7235,2.486
7.305000,1.7400,-0.6777,1.4090,2.339
7.310000,1.7226,-0.8140,1.0124,2.157
7.315000,1.7311,-0.8955,0.5740,2.032
7.320000,1.7800,-0.9894,0.2327,2.050
7.331000,1.8189,-1.0520,-0.1483,2.106
7.332000,1.8955,-1.1094,-0.6052,2.278
7.335000,1.8874,-1.1949,-1.0304,2.460
7.340000,1.9017,-1.2359,-1.5202,2.730
7.375000,1.9088,-1.2802,-2.0629,3.088
7.377000,1.8647,-1.3172,-2.6759,3.517
7.377000,1.8331,-1.4466,-3.2405,3.994
7.377000,1.7752,-1.5556,-3.6591,4.354
7.378000,1.6284,-1.6624,-4.0618,4.681
7.379000,1.4999,-1.7622,-4.2838,4.869
7.379000,1.4062,-1.8428,-4.4117,4.984
7.381000,1.3207,-1.9283,-4.4265,5.006
7.384000,1.2340,-2.0957,-4.3279,4.964
7.389000,1.1918,-2.2088,-4.0871,4.796
7.395000,1.1302,-2.3666,-3.7991,4.616
7.399000,1.1092,-2.5221,-3.4825,4.441
7.404000,1.1078,-2.6306,-3.1890,4.280
7.410000,1.0833,-2.7574,-2.8631,4.120
7.414000,1.1110,-2.8725,-2.5709,4.012
7.419000,1.1431,-2.9261,-2.3907,3.948
7.431000,1.1944,-2.9980,-2.2572,3.938
7.432000,1.2394,-3.0767,-2.2081,3.985
7.434000,1.2904,-3.0810,-2.2433,4.024
7.439000,1.2883,-3.1690,-2.2786,4.110
7.475000,1.1598,-3.1777,-2.3574,4.123
7.477000,0.9651,-3.1646,-2.4293,4.105
7.477000,0.7976,-3.1606,-2.4131,4.056
7.477000,0.7713,-3.1156,-2.3712,3.991
7.478000,0.7996,-3.1109,-2.3706,3.992
7.478000,0.8081,-3.0940,-2.2532,3.912
7.479000,0.7916,-3.0936,-2.2657,3.915
7.479000,0.7928,-3.0879,-2.4797,4.039
7.484000,0.7699,-3.0791,-2.7568,4.204
7.488000,0.6503,-3.0352,-2.9109,4.255
7.495000,0.5776,-3.0207,-3.0022,4.298
7.503000,0.5037,-2.9803,-3.0980,4.328
7.504000,0.3997,-2.8513,-3.1389,4.259
7.509000,0.2708,-2.7439,-3.0388,4.103
7.513000,0.0212,-2.5764,-2.9584,3.923
7.519000,-0.1199,-2.4517,-2.9432,3.832
7.523000,-0.1314,-2.3148,-2.9669,3.765
7.528000,-0.0090,-2.1532,-2.9676,3.666
7.533000,0.2161,-2.0315,-2.8904,3.539
7.538000,0.4631,-1.8368,-2.8505,3.422
7.549000,0.6995,-1.6790,-2.7164,3.269
7.551000,0.7586,-1.5605,-2.4641,3.014
7.553000,0.8019,-1.3710,-2.0510,2.594
7.559000,0.8249,-1.1422,-1.6177,2.145
7.563000,0.8279,-0.9391,-1.2191,1.747
7.568000,0.9308,-0.7450,-0.8476,1.463
7.572000,1.0589,-0.5054,-0.4385,1.253
7.588000,1.2576,-0.3856,-0.1804,1.328
7.589000,1.3021,-0.2374,0.1612,1.333
7.589000,1.3457,-0.0488,0.4359,1.415
7.597000,1.3044,0.1130,0.6746,1.473
7.598000,1.2763,0.2956,0.8921,1.585
7.603000,1.1488,0.4729,1.0882,1.651
7.611000,1.0197,0.6374,1.2248,1.717
7.612000,0.9032,0.7987,1.2758,1.755
7.619000,0.8275,1.0407,1.2961,1.857
7.623000,0.7831,1.2749,1.2018,1.919
7.627000,0.6794,1.4637,0.9927,1.895
7.633000,0.5357,1.6243,0.7330,1.861
7.638000,0.2587,1.7122,0.5799,1.826
7.643000,-0.1323,1.7950,0.5471,1.881
7.648000,-0.5296,1.8994,0.5338,2.043
7.653000,-0.9434,2.0564,0.5827,2.336
7.669000,-1.3936,2.1491,0.6648,2.646
7.672000,-1.8109,2.2875,1.0432,3.098
7.674000,-2.1667,2.3805,1.3590,3.494
7.676000,-2.4490,2.4376,1.6912,3.847
7.677000,-2.6514,2.5351,2.0376,4.196
7.720000,-2.7648,2.4982,2.3267,4.393
7.723000,-2.7422,2.3913,2.6257,4.487
7.724000,-2.5632,2.2117,2.8151,4.403
7.725000,-2.2639,2.1272,3.0051,4.322
7.725000,-1.8753,2.0945,3.2340,4.285
7.726000,-1.3658,2.0844,3.4590,4.263
7.726000,-0.8790,2.0206,3.7855,4.380
7.727000,-0.5289,1.9713,4.1712,4.644
7.727000,-0.2215,1.9219,4.5183,4.915
7.728000,-0.0344,1.8525,4.8326,5.176
7.734000,0.0459,1.7408,5.1578,5.444
7.737000,-0.0206,1.6629,5.3531,5.605
7.746000,-0.2207,1.5414,5.4339,5.653
7.747000,-0.4823,1.4265,5.4409,5.645
7.751000,-0.7524,1.3680,5.3243,5.548
7.758000,-1.0093,1.3010,5.0366,5.299
7.763000,-1.2677,1.2401,4.6495,4.976
7.767000,-1.4563,1.1857,4.0361,4.452
7.772000,-1.6643,1.1026,3.3249,3.878
7.777000,-1.8950,0.9682,2.6230,3.378
7.781000,-2.0557,0.8671,1.9413,2.957
7.786000,-2.0279,0.7835,1.4082,2.590
7.832000,-1.9631,0.7251,0.9823,2.312
7.833000,-1.7852,0.6831,0.6630,2.023
7.834000,-1.6046,0.5643,0.5287,1.781
7.834000,-1.4043,0.4170,0.5169,1.553
7.835000,-1.1292,0.3010,0.5461,1.290
7.835000,-0.8418,0.2111,0.6334,1.074
7.835000,-0.6134,0.1157,0.8054,1.019
7.835000,-0.4387,0.0600,1.0240,1.116
7.836000,-0.3030,-0.0619,1.1294,1.171
7.836000,-0.2604,-0.2790,1.2011,1.260
7.842000,-0.2221,-0.3763,1.3588,1.427
7.846000,-0.1712,-0.4859,1.4667,1.555
7.851000,-0.1885,-0.6030,1.5318,1.657
7.857000,-0.2740,-0.7210,1.5858,1.763
7.862000,-0.3866,-0.8234,1.6097,1.849
7.866000,-0.5428,-0.9725,1.6683,2.006
7.870000,-0.6995,-1.1184,1.6566,2.118
7.881000,-0.8183,-1.2420,1.6080,2.190
7.883000,-0.8563,-1.2620,1.5012,2.140
7.886000,-0.9168,-1.3436,1.3434,2.110
7.927000,-1.0766,-1.5060,1.1276,2.168
7.928000,-1.1853,-1.5937,0.8156,2.147
7.929000,-1.2765,-1.6377,0.5748,2.154
7.929000,-1.3336,-1.6546,0.2924,2.145
7.930000,-1.2970,-1.6489,-0.0793,2.099
7.930000,-1.2721,-1.7091,-0.4903,2.186
7.930000,-1.2952,-1.8082,-1.0459,2.458
7.931000,-1.3062,-1.8716,-1.6461,2.814
7.931000,-1.2983,-1.9270,-2.2008,3.200
7.935000,-1.2956,-1.9952,-2.7510,3.637
7.941000,-1.2578,-1.9943,-3.3596,4.104
7.945000,-1.1760,-2.0313,-3.7974,4.464
7.951000,-1.1725,-2.1394,-4.1726,4.833
7.955000,-1.1825,-2.2199,-4.4592,5.120
7.960000,-1.1700,-2.3108,-4.6385,5.313
7.966000,-1.1116,-2.3544,-4.7420,5.410
7.970000,-1.0694,-2.4252,-4.8172,5.498
7.979000,-1.0441,-2.5185,-4.7518,5.478
7.982000,-0.9978,-2.5847,-4.6506,5.413
7.984000,-0.9259,-2.6219,-4.4989,5.289
8.013000,-0.8830,-2.6567,-4.3539,5.176
8.014000,-0.8091,-2.6589,-4.2125,5.047
8.015000,-0.7185,-2.6669,-3.9646,4.832
8.016000,-0.5676,-2.6220,-3.7361,4.600
8.017000,-0.3946,-2.5891,-3.4862,4.360
8.017000,-0.2710,-2.5522,-3.3937,4.255
8.019000,-0.0815,-2.5355,-3.2788,4.146
8.025000,0.0763,-2.4580,-3.1819,4.021
8.029000,0.1747,-2.3558,-3.0264,3.839
8.034000,0.2820,-2.2174,-2.7931,3.577
8.040000,0.4081,-2.0738,-2.5489,3.311
8.044000,0.5372,-1.9760,-2.4298,3.178
8.050000,0.6097,-1.8356,-2.3137,3.016
8.056000,0.7026,-1.6765,-2.3057,2.936
8.061000,0.7039,-1.5827,-2.3219,2.897
8.065000,0.6566,-1.4554,-2.3413,2.834
8.069000,0.5823,-1.3233,-2.4046,2.806
8.077000,0.5379,-1.1738,-2.4022,2.727
8.080000,0.5943,-0.9923,-2.4085,2.672
8.085000,0.6170,-0.8073,-2.2705,2.487
8.089000,0.5814,-0.6403,-2.1727,2.338
8.095000,0.5543,-0.4624,-2.0624,2.185
8.099000,0.5213,-0.2424,-1.9805,2.062
8.103000,0.5039,-0.0973,-1.9366,2.003
8.115000,0.3581,0.0375,-1.8517,1.886
8.116000,0.1390,0.1626,-1.6545,1.668
8.120000,-0.1456,0.3688,-1.3858,1.441
8.160000,-0.4481,0.5319,-1.0912,1.294
8.162000,-0.7113,0.7142,-0.7446,1.253
8.162000,-0.8765,0.8292,-0.4532,1.289
8.162000,-0.8424,1.0059,-0.3246,1.352
8.163000,-0.7761,1.1146,-0.1646,1.368
8.163000,-0.6904,1.1337,0.0125,1.327
8.163000,-0.5760,1.1684,0.1711,1.314
8.164000,-0.4342,1.2641,0.2464,1.359
8.164000,-0.2117,1.4424,0.2720,1.483
8.169000,-0.0652,1.5909,0.1691,1.601
8.177000,-0.0056,1.7340,0.0403,1.735
8.179000,-0.0511,1.8721,-0.1361,1.878
8.183000,-0.1793,1.9963,-0.3127,2.029
8.190000,-0.4115,2.1163,-0.3819,2.190
8.194000,-0.5987,2.1900,-0.3039,2.291
8.199000,-0.6263,2.3179,-0.1053,2.403
8.206000,-0.5399,2.3997,0.1972,2.468
8.210000,-0.4647,2.4113,0.4286,2.493
8.217000,-0.4343,2.3504,0.6611,2.480
8.217000,-0.3537,2.4009,0.9354,2.601
8.223000,-0.2096,2.5241,1.1967,2.801
8.240000,-0.1047,2.5978,1.5287,3.016
8.243000,-0.2229,2.6102,1.8597,3.213
8.244000,-0.2479,2.6450,2.2614,3.489
8.244000,-0.2728,2.6111,2.5928,3.690
8.248000,-0.4055,2.6780,2.7632,3.869
8.252000,-0.5628,2.6498,2.8016,3.897
8.260000,-0.6376,2.5505,2.8013,3.842
8.264000,-0.7530,2.4377,2.9248,3.881
8.268000,-0.7754,2.3282,3.0572,3.920
8.273000,-0.5859,2.3530,3.2921,4.089
8.279000,-0.3596,2.4088,3.6272,4.369
8.282000,-0.1008,2.4205,3.9268,4.614
8.287000,0.0567,2.4402,4.1291,4.797
8.302000,0.1788,2.4078,4.1651,4.814
8.303000,0.2861,2.3351,4.1572,4.777
8.304000,0.3201,2.3322,4.0479,4.683
8.331000,0.2608,2.3251,3.9997,4.634
8.333000,0.1832,2.3091,3.9958,4.619
8.333000,0.2438,2.3873,4.0623,4.718
8.333000,0.4140,2.3706,4.0890,4.745
8.334000,0.6344,2.3404,4.0735,4.741
8.335000,0.9030,2.3426,4.0229,4.742
8.337000,1.0834,2.2816,3.8581,4.611
8.343000,1.2682,2.2036,3.7343,4.518
8.347000,1.4738,2.1784,3.6344,4.486
8.352000,1.5301,2.0628,3.5391,4.373
8.356000,1.4793,1.9820,3.3737,4.183
8.362000,1.3400,1.8144,3.2339,3.943
8.366000,1.1633,1.6418,3.1311,3.722
8.371000,0.9333,1.4882,3.1611,3.616
8.376000,0.6609,1.2791,3.2640,3.567
8.382000,0.3561,1.0719,3.3179,3.505
8.386000,0.1087,0.8373,3.4691,3.570
