time,ax,ay,az,aT
6.698000,-2.2034,0.0453,1.4143,2.619
6.701000,-2.2648,-0.0740,1.4143,2.671
6.704000,-2.1831,-0.2177,1.4182,2.612
6.711000,-2.0210,-0.3600,1.5218,2.555
6.715000,-1.7859,-0.4722,1.6366,2.468
6.719000,-1.4922,-0.5646,1.7294,2.353
6.726000,-1.2260,-0.6469,1.8627,2.322
6.730000,-1.0400,-0.7597,2.0481,2.419
6.734000,-0.8981,-0.8747,2.2335,2.561
6.740000,-0.8484,-1.0049,2.3356,2.680
6.744000,-0.7833,-1.1478,2.4023,2.775
6.749000,-0.7553,-1.2396,2.4533,2.851
6.754000,-0.7333,-1.2993,2.4381,2.858
6.759000,-0.7575,-1.3417,2.4242,2.872
6.764000,-0.7918,-1.3792,2.4044,2.883
6.769000,-0.8147,-1.3978,2.2835,2.799
6.783000,-0.8642,-1.3693,2.0784,2.635
6.786000,-0.9784,-1.2796,1.8348,2.442
6.787000,-1.1063,-1.2124,1.5097,2.230
6.789000,-1.1925,-1.1507,1.0312,1.952
6.822000,-1.3537,-1.0796,0.4831,1.798
6.823000,-1.4221,-1.1013,-0.0250,1.799
6.823000,-1.4955,-1.0836,-0.5339,1.922
6.824000,-1.5263,-1.1051,-0.9939,2.130
6.824000,-1.5360,-1.0791,-1.5080,2.408
6.825000,-1.6518,-1.0746,-1.9377,2.764
6.825000,-1.8235,-1.1052,-2.4126,3.220
6.828000,-1.9775,-1.1057,-2.7777,3.584
6.834000,-2.0691,-1.1286,-3.0571,3.860
6.838000,-2.0539,-1.2237,-3.3706,4.132
6.845000,-1.9976,-1.2834,-3.5893,4.304
6.848000,-1.8672,-1.2766,-3.6797,4.319
6.853000,-1.6796,-1.3328,-3.6992,4.276
6.860000,-1.4252,-1.3591,-3.7601,4.245
6.864000,-1.1849,-1.3890,-3.7643,4.184
6.869000,-0.9752,-1.4415,-3.7333,4.119
6.879000,-0.7430,-1.4907,-3.6431,4.006
6.880000,-0.4931,-1.5657,-3.4911,3.858
6.883000,-0.2898,-1.6215,-3.2652,3.657
6.888000,-0.1398,-1.6278,-3.0295,3.442
6.919000,0.0313,-1.5825,-2.7649,3.186
6.920000,0.1594,-1.5129,-2.5618,2.979
6.921000,0.1733,-1.5198,-2.4555,2.893
6.921000,0.0899,-1.4935,-2.2691,2.718
6.922000,-0.0590,-1.4799,-2.1697,2.627
6.922000,-0.1724,-1.4239,-1.9873,2.451
6.922000,-0.2622,-1.3379,-1.9707,2.396
6.929000,-0.3133,-1.2289,-1.9881,2.358
6.932000,-0.3832,-1.0728,-2.0731,2.365
6.938000,-0.4000,-0.9957,-2.2068,2.454
6.943000,-0.3903,-0.9207,-2.4204,2.619
6.949000,-0.3575,-0.8253,-2.6139,2.764
6.953000,-0.2858,-0.7114,-2.6514,2.760
6.959000,-0.1212,-0.5905,-2.7247,2.791
6.963000,0.0541,-0.5027,-2.7479,2.794
6.967000,0.1271,-0.4408,-2.6902,2.729
6.973000,0.3438,-0.2132,-2.4751,2.508
6.977000,0.5412,0.0174,-2.2992,2.362
6.983000,0.5688,0.0905,-2.0211,2.102
6.987000,0.5012,0.1782,-1.7055,1.786
6.998000,0.4966,0.2421,-1.3760,1.483
7.000000,0.4192,0.3586,-1.1618,1.286
7.006000,0.3719,0.5010,-1.0148,1.191
7.007000,0.3026,0.6786,-0.7552,1.059
7.048000,0.2216,0.8150,-0.4886,0.976
7.049000,0.1389,0.8859,-0.2529,0.932
7.050000,0.0577,1.0467,-0.0766,1.051
7.050000,-0.0508,1.2182,0.0475,1.220
7.050000,-0.0863,1.3501,0.1389,1.360
7.050000,-0.1924,1.4283,0.1470,1.449
7.050000,-0.2303,1.4793,0.2179,1.513
7.051000,-0.1717,1.5701,0.2726,1.603
7.051000,-0.1004,1.6581,0.3179,1.691
7.059000,-0.0596,1.8197,0.3205,1.849
7.062000,-0.1230,1.9186,0.3209,1.949
7.067000,-0.2047,1.9959,0.3216,2.032
7.072000,-0.2834,2.0854,0.2025,2.114
7.078000,-0.3620,2.1757,0.0162,2.206
7.082000,-0.4529,2.2911,-0.2305,2.347
7.086000,-0.5637,2.3416,-0.5092,2.462
7.092000,-0.5731,2.3902,-0.6723,2.548
7.097000,-0.6176,2.4251,-0.6412,2.583
7.102000,-0.5968,2.4304,-0.5314,2.558
7.106000,-0.5443,2.4467,-0.3333,2.529
7.116000,-0.5201,2.4069,-0.0566,2.463
7.117000,-0.4519,2.3442,0.4184,2.424
7.122000,-0.3230,2.2822,0.9649,2.499
7.167000,-0.1786,2.2126,1.5310,2.697
7.169000,-0.0308,2.1922,2.1243,3.053
7.169000,0.0781,2.1506,2.6784,3.436
7.170000,0.1507,2.0964,3.0577,3.710
7.171000,0.3022,2.1295,3.5376,4.140
7.171000,0.4031,2.1869,3.9777,4.557
7.172000,0.5253,2.1791,4.3974,4.936
7.172000,0.6115,2.1416,4.7088,5.209
7.173000,0.7338,2.1575,4.8884,5.393
7.173000,0.8260,2.1858,4.9055,5.434
7.180000,0.9297,2.2075,4.7460,5.316
7.186000,1.0479,2.2636,4.4840,5.131
7.186000,1.0664,2.2638,4.1097,4.812
7.191000,1.0837,2.2309,3.7805,4.521
7.197000,1.1077,2.2516,3.4410,4.259
7.201000,1.1317,2.2049,3.2340,4.074
7.206000,1.1727,2.1749,3.1759,4.024
7.215000,1.2544,2.1625,3.1657,4.034
7.216000,1.3027,2.1108,3.1193,3.985
7.221000,1.1901,2.0176,3.1058,3.890
7.265000,0.9725,1.8379,3.2445,3.854
7.266000,0.7753,1.5809,3.4374,3.862
7.266000,0.6396,1.3468,3.7371,4.024
7.267000,0.6145,1.1300,4.1630,4.357
7.267000,0.6878,1.0082,4.4790,4.642
7.267000,0.7775,0.9161,4.6545,4.807
7.268000,0.8904,0.7050,4.6467,4.784
7.268000,0.9401,0.4462,4.4086,4.530
7.269000,1.0265,0.2022,4.0740,4.206
7.270000,1.1330,-0.0078,3.6047,3.779
7.276000,1.2863,-0.1522,3.2016,3.454
7.281000,1.3890,-0.2833,2.8475,3.181
7.286000,1.4756,-0.3942,2.4828,2.915
7.290000,1.5684,-0.5081,2.1504,2.710
7.295000,1.6252,-0.5607,1.9675,2.613
7.300000,1.6806,-0.6188,1.7235,2.486
7.305000,1.7400,-0.6777,1.4090,2.339
7.310000,1.7226,-0.8140,1.0124,2.157
7.315000,1.7311,-0.8955,0.5740,2.032
7.320000,1.7800,-0.9894,0.2327,2.050
7.331000,1.8189,-1.0520,-0.1483,2.106
7.332000,1.8955,-1.1094,-0.6052,2.278
7.335000,1.8874,-1.1949,-1.0304,2.460
7.340000,1.9017,-1.2359,-1.5202,2.730
7.375000,1.9088,-1.2802,-2.0629,3.088
7.377000,1.8647,-1.3172,-2.6759,3.517
7.377000,1.8331,-1.4466,-3.2405,3.994
7.377000,1.7752,-1.5556,-3.6591,4.354
7.378000,1.6284,-1.6624,-4.0618,4.681
7.379000,1.4999,-1.7622,-4.2838,4.869
7.379000,1.4062,-1.8428,-4.4117,4.984
7.381000,1.3207,-1.9283,-4.4265,5.006
7.384000,1.2340,-2.0957,-4.3279,4.964
7.389000,1.1918,-2.2088,-4.0871,4.796
7.395000,1.1302,-2.3666,-3.7991,4.616
7.399000,1.1092,-2.5221,-3.4825,4.441
7.404000,1.1078,-2.6306,-3.1890,4.280
7.410000,1.0833,-2.7574,-2.8631,4.120
7.414000,1.1110,-2.8725,-2.5709,4.012
7.419000,1.1431,-2.9261,-2.3907,3.948
7.431000,1.1944,-2.9980,-2.2572,3.938
7.432000,1.2394,-3.0767,-2.2081,3.985
7.434000,1.2904,-3.0810,-2.2433,4.024
7.439000,1.2883,-3.1690,-2.2786,4.110
7.475000,1.1598,-3.1777,-2.3574,4.123
7.477000,0.9651,-3.1646,-2.4293,4.105
7.477000,0.7976,-3.1606,-2.4131,4.056
7.477000,0.7713,-3.1156,-2.3712,3.991
7.478000,0.7996,-3.1109,-2.3706,3.992
7.478000,0.8081,-3.0940,-2.2532,3.912
7.479000,0.7916,-3.0936,-2.2657,3.915
7.479000,0.7928,-3.0879,-2.4797,4.039
7.484000,0.7699,-3.0791,-2.7568,4.204
7.488000,0.6503,-3.0352,-2.9109,4.255
7.495000,0.5776,-3.0207,-3.0022,4.298
7.503000,0.5037,-2.9803,-3.0980,4.328
7.504000,0.3997,-2.8513,-3.1389,4.259
7.509000,0.2708,-2.7439,-3.0388,4.103
7.513000,0.0212,-2.5764,-2.9584,3.923
7.519000,-0.1199,-2.4517,-2.9432,3.832
7.523000,-0.1314,-2.3148,-2.9669,3.765
7.528000,-0.0090,-2.1532,-2.9676,3.666
7.533000,0.2161,-2.0315,-2.8904,3.539
7.538000,0.4631,-1.8368,-2.8505,3.422
7.549000,0.6995,-1.6790,-2.7164,3.269
7.551000,0.7586,-1.5605,-2.4641,3.014
7.553000,0.8019,-1.3710,-2.0510,2.594
7.559000,0.8249,-1.1422,-1.6177,2.145
7.563000,0.8279,-0.9391,-1.2191,1.747
7.568000,0.9308,-0.7450,-0.8476,1.463
7.572000,1.0589,-0.5054,-0.4385,1.253
7.588000,1.2576,-0.3856,-0.1804,1.328
7.589000,1.3021,-0.2374,0.1612,1.333
7.589000,1.3457,-0.0488,0.4359,1.415
7.597000,1.3044,0.1130,0.6746,1.473
7.598000,1.2763,0.2956,0.8921,1.585
7.603000,1.1488,0.4729,1.0882,1.651
7.611000,1.0197,0.6374,1.2248,1.717
7.612000,0.9032,0.7987,1.2758,1.755
7.619000,0.8275,1.0407,1.2961,1.857
7.623000,0.7831,1.2749,1.2018,1.919
7.627000,0.6794,1.4637,0.9927,1.895
7.633000,0.5357,1.6243,0.7330,1.861
7.638000,0.2587,1.7122,0.5799,1.826
7.643000,-0.1323,1.7950,0.5471,1.881
7.648000,-0.5296,1.8994,0.5338,2.043
7.653000,-0.9434,2.0564,0.5827,2.336
7.669000,-1.3936,2.1491,0.6648,2.646
7.672000,-1.8109,2.2875,1.0432,3.098
7.674000,-2.1667,2.3805,1.3590,3.494
7.676000,-2.4490,2.4376,1.6912,3.847
7.677000,-2.6514,2.5351,2.0376,4.196
7.720000,-2.7648,2.4982,2.3267,4.393
7.723000,-2.7422,2.3913,2.6257,4.487
7.724000,-2.5632,2.2117,2.8151,4.403
7.725000,-2.2639,2.1272,3.0051,4.322
7.725000,-1.8753,2.0945,3.2340,4.285
7.726000,-1.3658,2.0844,3.4590,4.263
7.726000,-0.8790,2.0206,3.7855,4.380
7.727000,-0.5289,1.9713,4.1712,4.644
7.727000,-0.2215,1.9219,4.5183,4.915
7.728000,-0.0344,1.8525,4.8326,5.176
7.734000,0.0459,1.7408,5.1578,5.444
7.737000,-0.0206,1.6629,5.3531,5.605
7.746000,-0.2207,1.5414,5.4339,5.653
7.747000,-0.4823,1.4265,5.4409,5.645
7.751000,-0.7524,1.3680,5.3243,5.548
7.758000,-1.0093,1.3010,5.0366,5.299
7.763000,-1.2677,1.2401,4.6495,4.976
7.767000,-1.4563,1.1857,4.0361,4.452
7.772000,-1.6643,1.1026,3.3249,3.878
7.777000,-1.8950,0.9682,2.6230,3.378
7.781000,-2.0557,0.8671,1.9413,2.957
7.786000,-2.0279,0.7835,1.4082,2.590
7.832000,-1.9631,0.7251,0.9823,2.312
7.833000,-1.7852,0.6831,0.6630,2.023
7.834000,-1.6046,0.5643,0.5287,1.781
7.834000,-1.4043,0.4170,0.5169,1.553
7.835000,-1.1292,0.3010,0.5461,1.290
7.835000,-0.8418,0.2111,0.6334,1.074
7.835000,-0.6134,0.1157,0.8054,1.019
7.835000,-0.4387,0.0600,1.0240,1.116
7.836000,-0.3030,-0.0619,1.1294,1.171
7.836000,-0.2604,-0.2790,1.2011,1.260
7.842000,-0.2221,-0.3763,1.3588,1.427
7.846000,-0.1712,-0.4859,1.4667,1.555
7.851000,-0.1885,-0.6030,1.5318,1.657
7.857000,-0.2740,-0.7210,1.5858,1.763
7.862000,-0.3866,-0.8234,1.6097,1.849
7.866000,-0.5428,-0.9725,1.6683,2.006
7.870000,-0.6995,-1.1184,1.6566,2.118
7.881000,-0.8183,-1.2420,1.6080,2.190
7.883000,-0.8563,-1.2620,1.5012,2.140
7.886000,-0.9168,-1.3436,1.3434,2.110
7.927000,-1.0766,-1.5060,1.1276,2.168
7.928000,-1.1853,-1.5937,0.8156,2.147
7.929000,-1.2765,-1.6377,0.5748,2.154
7.929000,-1.3336,-1.6546,0.2924,2.145
7.930000,-1.2970,-1.6489,-0.0793,2.099
7.930000,-1.2721,-1.7091,-0.4903,2.186
7.930000,-1.2952,-1.8082,-1.0459,2.458
7.931000,-1.3062,-1.8716,-1.6461,2.814
7.931000,-1.2983,-1.9270,-2.2008,3.200
7.935000,-1.2956,-1.9952,-2.7510,3.637
7.941000,-1.2578,-1.9943,-3.3596,4.104
7.945000,-1.1760,-2.0313,-3.7974,4.464
7.951000,-1.1725,-2.1394,-4.1726,4.833
7.955000,-1.1825,-2.2199,-4.4592,5.120
7.960000,-1.1700,-2.3108,-4.6385,5.313
7.966000,-1.1116,-2.3544,-4.7420,5.410
7.970000,-1.0694,-2.4252,-4.8172,5.498
7.979000,-1.0441,-2.5185,-4.7518,5.478
7.982000,-0.9978,-2.5847,-4.6506,5.413
7.984000,-0.9259,-2.6219,-4.4989,5.289
8.013000,-0.8830,-2.6567,-4.3539,5.176
8.014000,-0.8091,-2.6589,-4.2125,5.047
8.015000,-0.7185,-2.6669,-3.9646,4.832
8.016000,-0.5676,-2.6220,-3.7361,4.600
8.017000,-0.3946,-2.5891,-3.4862,4.360
8.017000,-0.2710,-2.5522,-3.3937,4.255
8.019000,-0.0815,-2.5355,-3.2788,4.146
8.025000,0.0763,-2.4580,-3.1819,4.021
8.029000,0.1747,-2.3558,-3.0264,3.839
8.034000,0.2820,-2.2174,-2.7931,3.577
8.040000,0.4081,-2.0738,-2.5489,3.311
8.044000,0.5372,-1.9760,-2.4298,3.178
8.050000,0.6097,-1.8356,-2.3137,3.016
8.056000,0.7026,-1.6765,-2.3057,2.936
8.061000,0.7039,-1.5827,-2.3219,2.897
8.065000,0.6566,-1.4554,-2.3413,2.834
8.069000,0.5823,-1.3233,-2.4046,2.806
8.077000,0.5379,-1.1738,-2.4022,2.727
8.080000,0.5943,-0.9923,-2.4085,2.672
8.085000,0.6170,-0.8073,-2.2705,2.487
8.089000,0.5814,-0.6403,-2.1727,2.338
8.095000,0.5543,-0.4624,-2.0624,2.185
8.099000,0.5213,-0.2424,-1.9805,2.062
8.103000,0.5039,-0.0973,-1.9366,2.003
8.115000,0.3581,0.0375,-1.8517,1.886
8.116000,0.1390,0.1626,-1.6545,1.668
8.120000,-0.1456,0.3688,-1.3858,1.441
8.160000,-0.4481,0.5319,-1.0912,1.294
8.162000,-0.7113,0.7142,-0.7446,1.253
8.162000,-0.8765,0.8292,-0.4532,1.289
8.162000,-0.8424,1.0059,-0.3246,1.352
8.163000,-0.7761,1.1146,-0.1646,1.368
8.163000,-0.6904,1.1337,0.0125,1.327
8.163000,-0.5760,1.1684,0.1711,1.314
8.164000,-0.4342,1.2641,0.2464,1.359
8.164000,-0.2117,1.4424,0.2720,1.483
8.169000,-0.0652,1.5909,0.1691,1.601
8.177000,-0.0056,1.7340,0.0403,1.735
8.179000,-0.0511,1.8721,-0.1361,1.878
8.183000,-0.1793,1.9963,-0.3127,2.029
8.190000,-0.4115,2.1163,-0.3819,2.190
8.194000,-0.5987,2.1900,-0.3039,2.291
8.199000,-0.6263,2.3179,-0.1053,2.403
8.206000,-0.5399,2.3997,0.1972,2.468
8.210000,-0.4647,2.4113,0.4286,2.493
8.217000,-0.4343,2.3504,0.6611,2.480
8.217000,-0.3537,2.4009,0.9354,2.601
8.223000,-0.2096,2.5241,1.1967,2.801
8.240000,-0.1047,2.5978,1.5287,3.016
8.243000,-0.2229,2.6102,1.8597,3.213
8.244000,-0.2479,2.6450,2.2614,3.489
8.244000,-0.2728,2.6111,2.5928,3.690
8.248000,-0.4055,2.6780,2.7632,3.869
8.252000,-0.5628,2.6498,2.8016,3.897
8.260000,-0.6376,2.5505,2.8013,3.842
8.264000,-0.7530,2.4377,2.9248,3.881
8.268000,-0.7754,2.3282,3.0572,3.920
8.273000,-0.5859,2.3530,3.2921,4.089
8.279000,-0.3596,2.4088,3.6272,4.369
8.282000,-0.1008,2.4205,3.9268,4.614
8.287000,0.0567,2.4402,4.1291,4.797
8.302000,0.1788,2.4078,4.1651,4.814
8.303000,0.2861,2.3351,4.1572,4.777
8.304000,0.3201,2.3322,4.0479,4.683
8.331000,0.2608,2.3251,3.9997,4.634
8.333000,0.1832,2.3091,3.9958,4.619
8.333000,0.2438,2.3873,4.0623,4.718
8.333000,0.4140,2.3706,4.0890,4.745
8.334000,0.6344,2.3404,4.0735,4.741
8.335000,0.9030,2.3426,4.0229,4.742
8.337000,1.0834,2.2816,3.8581,4.611
8.343000,1.2682,2.2036,3.7343,4.518
8.347000,1.4738,2.1784,3.6344,4.486
8.352000,1.5301,2.0628,3.5391,4.373
8.356000,1.4793,1.9820,3.3737,4.183
8.362000,1.3400,1.8144,3.2339,3.943
8.366000,1.1633,1.6418,3.1311,3.722
8.371000,0.9333,1.4882,3.1611,3.616
8.376000,0.6609,1.2791,3.2640,3.567
8.382000,0.3561,1.0719,3.3179,3.505
8.386000,0.1087,0.8373,3.4691,3.570
8.392000,0.0019,0.5650,3.6200,3.664
8.396000,0.0352,0.2762,3.7804,3.791
8.402000,0.1108,0.0348,3.9268,3.929
8.407000,0.2585,-0.1580,4.1054,4.117
8.413000,0.4150,-0.2911,4.2427,4.273
8.416000,0.5842,-0.4248,4.2265,4.288
8.421000,0.7822,-0.5594,4.0478,4.160
8.426000,0.8805,-0.8029,3.8169,3.999
8.443000,1.0210,-1.0044,3.4980,3.780
8.443000,1.1446,-1.0825,2.9980,3.387
8.444000,1.3039,-1.1546,2.5417,3.081
8.446000,1.3505,-1.2271,1.9638,2.681
8.451000,1.3421,-1.3503,1.3529,2.336
8.457000,1.3094,-1.4374,0.7349,2.079
8.472000,1.2050,-1.5233,0.0948,1.945
8.472000,1.0884,-1.6315,-0.5484,2.036
8.473000,0.9827,-1.7014,-1.1642,2.284
8.481000,0.9767,-1.7015,-1.6885,2.588
8.482000,0.8710,-1.7770,-2.2582,3.003
8.486000,0.7368,-1.8556,-2.7398,3.390
8.493000,0.6915,-1.9823,-3.1407,3.778
8.495000,0.6509,-2.0251,-3.5332,4.124
8.501000,0.5813,-2.0604,-3.8697,4.422
8.505000,0.5184,-2.1525,-4.1506,4.704
8.511000,0.3688,-2.2556,-4.3498,4.914
8.518000,0.2236,-2.3960,-4.5415,5.140
8.520000,0.1705,-2.4995,-4.6758,5.305
8.549000,0.2667,-2.5899,-4.7862,5.449
8.550000,0.2798,-2.6939,-4.8414,5.547
8.550000,0.3248,-2.7852,-4.8366,5.591
8.550000,0.4017,-2.8784,-4.7096,5.534
8.551000,0.4727,-2.9641,-4.5633,5.462
8.551000,0.6121,-2.9926,-4.4188,5.372
8.555000,0.7410,-3.0816,-4.3260,5.363
8.560000,0.7993,-3.1715,-4.1984,5.322
8.565000,0.8707,-3.2220,-4.1028,5.289
8.570000,0.8812,-3.2743,-3.9049,5.172
8.574000,0.9032,-3.2978,-3.6570,5.006
8.580000,0.8823,-3.2736,-3.4356,4.827
8.584000,0.8074,-3.2406,-3.2306,4.647
8.590000,0.7199,-3.1751,-2.9439,4.389
8.595000,0.6321,-3.1277,-2.8048,4.248
8.599000,0.6012,-3.1036,-2.7076,4.162
8.605000,0.5555,-3.0670,-2.6714,4.105
8.610000,0.4734,-3.0418,-2.6842,4.084
8.614000,0.3858,-2.9799,-2.6480,4.005
8.620000,0.2595,-2.8929,-2.6994,3.965
8.629000,0.1180,-2.7806,-2.7310,3.899
8.630000,-0.0270,-2.6836,-2.6592,3.778
8.634000,-0.1169,-2.6017,-2.5894,3.672
8.639000,-0.1495,-2.4704,-2.5238,3.535
8.662000,-0.1087,-2.3208,-2.4076,3.346
8.663000,0.0435,-2.1670,-2.3965,3.231
8.664000,0.1853,-1.9803,-2.4974,3.193
8.664000,0.2877,-1.7963,-2.5216,3.109
8.665000,0.3746,-1.7029,-2.6036,3.134
8.669000,0.4814,-1.6014,-2.5929,3.085
8.674000,0.6244,-1.5108,-2.5066,2.993
8.679000,0.7821,-1.3762,-2.3998,2.875
8.684000,0.8465,-1.2170,-2.1693,2.627
8.689000,0.8131,-1.0550,-1.7865,2.228
8.695000,0.6993,-0.9026,-1.4737,1.864
8.699000,0.6447,-0.7482,-1.1395,1.508
8.705000,0.6351,-0.5635,-0.8914,1.231
8.709000,0.6711,-0.4060,-0.7125,1.060
8.714000,0.7960,-0.1778,-0.5594,0.989
8.720000,0.8335,0.0086,-0.3699,0.912
8.733000,0.8557,0.1771,-0.1562,0.888
8.734000,0.9277,0.3685,0.1106,1.004
8.735000,1.0736,0.5777,0.3203,1.261
8.741000,1.1594,0.7643,0.3559,1.434
8.786000,1.2307,0.9403,0.3824,1.595
8.786000,1.2562,1.0656,0.3182,1.678
8.787000,1.2763,1.1958,0.1846,1.759
8.787000,1.3216,1.3529,0.0408,1.892
8.787000,1.4301,1.5255,0.0636,2.092
8.787000,1.5159,1.6974,0.0922,2.278
8.788000,1.5502,1.8715,0.2072,2.439
8.788000,1.5500,2.0194,0.4515,2.585
8.788000,1.5029,2.1197,0.6311,2.674
8.789000,1.4344,2.1415,0.8849,2.725
8.795000,1.2456,2.1711,1.2388,2.793
8.798000,1.0391,2.1578,1.7099,2.943
8.803000,0.8147,2.1779,2.2337,3.224
8.808000,0.5554,2.1901,2.7198,3.536
8.813000,0.3115,2.1482,3.2787,3.932
8.818000,0.0545,2.1214,3.7744,4.330
8.822000,-0.2390,2.1160,4.2600,4.763
8.828000,-0.4684,2.0695,4.7097,5.166
8.834000,-0.6501,2.0456,5.0019,5.443
8.838000,-0.7311,2.0345,5.2401,5.669
8.843000,-0.7475,2.0218,5.3645,5.781
8.848000,-0.6775,2.0001,5.3777,5.777
8.854000,-0.5353,1.9935,5.4185,5.798
8.877000,-0.3852,2.0065,5.4511,5.821
8.878000,-0.2414,2.0250,5.4371,5.807
8.878000,-0.2088,2.0510,5.5058,5.879
8.879000,-0.2509,1.9743,5.5881,5.932
8.879000,-0.4175,1.9024,5.6100,5.938
8.882000,-0.6843,1.8087,5.4091,5.744
8.887000,-0.9778,1.6574,5.1316,5.481
8.892000,-1.2359,1.5467,4.8014,5.194
8.898000,-1.5052,1.4484,4.1959,4.687
8.903000,-1.8008,1.2960,3.5015,4.145
8.908000,-2.0592,1.1383,2.8061,3.662
8.913000,-2.2481,1.0527,2.1282,3.270
8.917000,-2.3419,0.9443,1.5030,2.939
8.922000,-2.4183,0.8257,0.9993,2.744
8.927000,-2.3649,0.7213,0.6045,2.545
8.932000,-2.2031,0.5791,0.2679,2.294
8.937000,-2.0140,0.4763,0.0008,2.070
8.943000,-1.7206,0.3388,-0.1251,1.758
8.947000,-1.3894,0.1860,-0.0384,1.402
8.951000,-1.0960,0.0221,0.1774,1.110
8.981000,-0.7822,-0.1222,0.5631,0.972
8.981000,-0.6358,-0.2673,1.1363,1.329
8.982000,-0.5722,-0.3997,1.7228,1.859
8.983000,-0.5574,-0.4896,2.2206,2.341
8.983000,-0.5548,-0.5667,2.6020,2.720
8.983000,-0.5624,-0.6869,2.8652,3.000
8.986000,-0.5559,-0.8220,2.9487,3.111
8.991000,-0.6239,-0.9627,3.0012,3.213
8.997000,-0.7142,-1.0998,2.8602,3.146
9.001000,-0.8245,-1.1495,2.5236,2.893
9.006000,-0.9793,-1.1953,2.1348,2.635
9.011000,-1.2215,-1.2174,1.7342,2.446
9.017000,-1.3598,-1.2730,1.2904,2.266
9.021000,-1.5358,-1.2968,0.7935,2.161
9.027000,-1.6876,-1.3528,0.3292,2.188
9.032000,-1.7678,-1.4218,-0.1527,2.274
9.036000,-1.7721,-1.4937,-0.5284,2.377
9.042000,-1.7463,-1.5659,-0.8721,2.502
9.046000,-1.6976,-1.6120,-1.2893,2.673
9.051000,-1.6522,-1.6746,-1.6941,2.899
9.057000,-1.6434,-1.7874,-2.1509,3.244
9.068000,-1.5659,-1.8157,-2.7319,3.635
9.069000,-1.4817,-1.7972,-3.2629,4.009
9.072000,-1.5120,-1.7506,-3.7253,4.385
9.118000,-1.6822,-1.7631,-4.1344,4.799
9.119000,-1.8942,-1.8464,-4.4235,5.154
9.120000,-1.9782,-1.8492,-4.5933,5.332
9.120000,-2.0399,-1.8240,-4.6441,5.390
9.121000,-2.1160,-1.8547,-4.5735,5.370
9.124000,-2.2121,-1.9608,-4.3981,5.299
9.124000,-2.1207,-2.0898,-4.1921,5.142
9.125000,-1.9697,-2.1466,-3.9859,4.937
9.126000,-1.7526,-2.2207,-3.7409,4.690
9.126000,-1.4961,-2.2644,-3.5667,4.482
9.126000,-1.2909,-2.3549,-3.4892,4.403
9.130000,-1.0579,-2.4063,-3.3501,4.258
9.135000,-0.7939,-2.4480,-3.0535,3.993
9.140000,-0.5409,-2.4616,-2.7829,3.755
9.145000,-0.3293,-2.4186,-2.6411,3.596
9.150000,-0.1250,-2.3936,-2.5153,3.474
9.157000,0.0698,-2.3986,-2.4148,3.404
9.161000,0.3914,-2.4103,-2.4277,3.443
9.165000,0.6126,-2.3688,-2.4703,3.477
9.170000,0.7722,-2.3723,-2.4301,3.483
9.211000,0.8615,-2.3134,-2.3477,3.407
9.212000,0.8764,-2.2374,-2.2734,3.308
9.212000,0.8271,-2.1373,-2.1020,3.110
9.213000,0.7476,-2.0302,-1.9865,2.937
9.213000,0.7264,-1.9137,-1.9625,2.836
9.213000,0.7660,-1.7325,-1.9442,2.714
9.213000,0.8355,-1.6061,-2.0297,2.720
9.214000,0.8914,-1.4911,-2.1687,2.779
9.219000,0.9614,-1.3322,-2.3832,2.895
9.220000,0.9041,-1.1791,-2.5489,2.950
9.225000,0.8458,-0.9737,-2.8051,3.087
9.230000,0.6951,-0.7895,-2.9490,3.131
9.235000,0.5424,-0.6280,-3.0267,3.138
9.240000,0.4132,-0.4315,-3.0053,3.064
9.245000,0.2787,-0.2455,-2.8702,2.894
9.249000,0.1811,0.0161,-2.6578,2.664
9.255000,0.0418,0.1735,-2.3606,2.367
9.260000,-0.1436,0.3489,-2.0720,2.106
9.264000,-0.2914,0.5254,-1.8421,1.938
9.269000,-0.3781,0.6573,-1.5966,1.768
9.280000,-0.4781,0.8140,-1.3140,1.618
9.281000,-0.5057,0.9233,-1.0321,1.474
9.284000,-0.5880,1.0061,-0.6454,1.332
9.289000,-0.6315,1.1316,-0.2399,1.318
9.319000,-0.6023,1.2704,0.0892,1.409
9.320000,-0.5549,1.4411,0.2634,1.567
9.321000,-0.5320,1.5887,0.4122,1.725
9.321000,-0.4974,1.6795,0.5645,1.840
9.321000,-0.4243,1.7709,0.5911,1.915
9.321000,-0.3101,1.8798,0.6092,2.000
9.329000,-0.1229,2.0185,0.4895,2.081
9.330000,-0.0014,2.1802,0.3203,2.204
9.334000,0.0307,2.2720,0.0872,2.274
9.339000,0.0453,2.3401,-0.0670,2.342
9.345000,0.0784,2.4399,-0.1378,2.445
9.349000,0.1277,2.5957,-0.2260,2.609
9.355000,-0.0178,2.6833,-0.3152,2.702
9.359000,-0.3126,2.8084,-0.3051,2.842
9.364000,-0.5821,2.8665,-0.2921,2.940
9.368000,-0.7694,2.9273,-0.1904,3.033
9.374000,-0.8945,2.9552,0.0833,3.089
9.379000,-0.9556,2.9503,0.3831,3.125
9.383000,-0.9772,2.9125,0.7830,3.170
9.388000,-0.9842,2.8509,1.2355,3.259
9.395000,-0.9534,2.8513,1.7048,3.456
9.398000,-0.8613,2.7912,2.1699,3.639
9.403000,-0.7177,2.7084,2.5833,3.811
