time,ax,ay,az,aT
0.017000,0.1116,0.3192,-0.6956,0.773
0.017000,0.2434,0.2957,-0.3625,0.527
0.018000,0.3374,0.2673,0.0277,0.431
0.018000,0.4016,0.2379,0.3940,0.611
0.018000,0.4344,0.1976,0.6887,0.838
0.018000,0.4743,0.1580,0.9166,1.044
0.019000,0.4784,0.0997,1.1259,1.227
0.023000,0.4543,0.0274,1.2783,1.357
0.027000,0.4046,-0.0422,1.3308,1.392
0.032000,0.3506,-0.1212,1.3052,1.357
0.037000,0.2848,-0.1759,1.2228,1.268
0.042000,0.2236,-0.2035,1.0527,1.095
0.055000,0.1616,-0.2013,0.8090,0.849
0.056000,0.0693,-0.1927,0.5348,0.573
0.056000,-0.0395,-0.1628,0.2802,0.326
0.081000,-0.1196,-0.1258,0.0330,0.177
0.082000,-0.1594,-0.0741,-0.2044,0.270
0.082000,-0.1618,-0.0289,-0.4202,0.451
0.082000,-0.1489,0.0054,-0.5860,0.605
0.082000,-0.1420,0.0145,-0.7016,0.716
0.088000,-0.1268,0.0176,-0.7339,0.745
0.091000,-0.0934,0.0266,-0.7281,0.735
0.104000,-0.0586,0.0463,-0.6796,0.684
0.105000,-0.0319,0.0550,-0.6052,0.609
0.106000,0.0112,0.0691,-0.5024,0.507
0.124000,0.0374,0.0814,-0.4212,0.431
0.124000,0.0592,0.0727,-0.3450,0.358
0.125000,0.0526,0.0642,-0.2737,0.286
0.127000,0.0439,0.0322,-0.2025,0.210
0.141000,0.0045,-0.0019,-0.1123,0.112
0.142000,-0.0464,-0.0358,-0.0078,0.059
0.142000,-0.0870,-0.0629,0.0777,0.133
0.148000,-0.1124,-0.0784,0.1201,0.182
0.152000,-0.1274,-0.0849,0.1053,0.186
0.159000,-0.1271,-0.0868,0.0429,0.160
0.173000,-0.1261,-0.0697,-0.0624,0.157
0.174000,-0.1221,-0.0641,-0.1794,0.226
0.174000,-0.1274,-0.0652,-0.3036,0.336
0.181000,-0.1373,-0.0751,-0.4133,0.442
0.183000,-0.1546,-0.0937,-0.5255,0.556
0.188000,-0.1724,-0.1113,-0.6115,0.645
0.192000,-0.1980,-0.1183,-0.6641,0.703
0.203000,-0.2149,-0.1292,-0.6787,0.723
0.204000,-0.2207,-0.1392,-0.6744,0.723
0.207000,-0.2298,-0.1410,-0.6488,0.703
0.214000,-0.2351,-0.1325,-0.5709,0.631
0.218000,-0.2221,-0.1115,-0.4670,0.529
0.222000,-0.2001,-0.0782,-0.3251,0.390
0.226000,-0.1590,-0.0209,-0.1499,0.220
0.232000,-0.1080,0.0410,0.0323,0.120
0.238000,-0.0465,0.0880,0.1858,0.211
0.242000,0.0160,0.1155,0.2964,0.318
0.247000,0.0819,0.1063,0.3545,0.379
0.252000,0.1440,0.0917,0.3529,0.392
0.258000,0.1735,0.0864,0.3253,0.379
0.276000,0.1800,0.0927,0.2931,0.356
0.277000,0.1635,0.0894,0.2371,0.302
0.277000,0.1236,0.0860,0.1838,0.238
0.278000,0.0552,0.0802,0.1425,0.173
0.310000,-0.0106,0.0743,0.1060,0.130
0.312000,-0.0740,0.0612,0.1031,0.141
0.312000,-0.1254,0.0312,0.1074,0.168
0.312000,-0.1839,-0.0061,0.1022,0.210
0.313000,-0.2235,-0.0340,0.1041,0.249
0.313000,-0.2563,-0.0527,0.1156,0.286
0.313000,-0.2871,-0.0694,0.1439,0.329
0.317000,-0.2989,-0.0913,0.1650,0.353
0.323000,-0.3015,-0.1019,0.1717,0.362
0.339000,-0.2830,-0.1059,0.1689,0.346
0.340000,-0.2718,-0.1104,0.1422,0.326
0.340000,-0.2560,-0.1082,0.0989,0.295
0.342000,-0.2521,-0.1300,0.0366,0.286
0.349000,-0.2410,-0.1135,-0.0544,0.272
0.353000,-0.2230,-0.1087,-0.1573,0.294
0.358000,-0.2128,-0.0939,-0.2339,0.330
0.373000,-0.2177,-0.0809,-0.2723,0.358
0.373000,-0.2473,-0.0794,-0.2679,0.373
0.374000,-0.2847,-0.0944,-0.2444,0.387
0.381000,-0.2841,-0.0969,-0.2067,0.364
0.387000,-0.2574,-0.0946,-0.1811,0.329
0.388000,-0.2217,-0.0897,-0.1412,0.278
0.394000,-0.1768,-0.0681,-0.0943,0.212
0.407000,-0.1344,-0.0418,-0.0569,0.152
0.408000,-0.1109,-0.0467,-0.0435,0.128
0.409000,-0.0872,-0.0422,-0.0205,0.099
0.418000,-0.0727,-0.0376,0.0074,0.082
0.419000,-0.0553,-0.0235,0.0281,0.066
0.423000,-0.0422,-0.0120,0.0059,0.044
0.431000,-0.0195,-0.0006,-0.0450,0.049
0.433000,-0.0420,-0.0012,-0.0671,0.079
0.438000,-0.0616,0.0053,-0.0747,0.097
0.443000,-0.0898,0.0028,-0.1157,0.146
0.448000,-0.1315,-0.0087,-0.1734,0.218
0.453000,-0.1752,-0.0317,-0.1998,0.268
0.458000,-0.2379,-0.0446,-0.2072,0.319
0.471000,-0.3191,-0.0524,-0.2001,0.380
0.471000,-0.3832,-0.0790,-0.2026,0.441
0.473000,-0.4279,-0.0813,-0.1859,0.474
0.481000,-0.4627,-0.0784,-0.1215,0.485
0.483000,-0.4690,-0.0657,-0.0117,0.474
0.490000,-0.4538,-0.0698,0.1242,0.476
0.493000,-0.4243,-0.0910,0.2696,0.511
0.514000,-0.4233,-0.1440,0.4030,0.602
0.515000,-0.4340,-0.2075,0.5363,0.720
0.516000,-0.4661,-0.2553,0.6792,0.862
0.516000,-0.5125,-0.2952,0.8461,1.032
0.524000,-0.5705,-0.3106,1.0417,1.228
0.525000,-0.8874,-0.1347,1.4934,1.742
0.533000,-1.0106,0.0064,1.6779,1.959
0.534000,-0.9642,0.0822,1.7437,1.994
0.539000,-0.8085,0.1078,1.7266,1.910
0.543000,-0.6209,0.0982,1.6602,1.775
0.548000,-0.4592,0.0514,1.5325,1.601
0.553000,-0.4740,0.1137,1.4104,1.492
0.558000,-0.4299,0.1823,1.3252,1.405
0.565000,-0.3861,0.2308,1.2222,1.302
0.568000,-0.3319,0.2327,1.1440,1.214
0.573000,-0.3103,0.2090,1.1484,1.208
0.592000,-0.2999,0.1279,1.0750,1.123
0.592000,-0.2709,-0.0033,0.9142,0.954
0.593000,-0.2232,-0.1107,0.6299,0.677
0.593000,0.0339,-0.1404,0.1329,0.196
0.599000,0.0681,-0.1611,-0.4652,0.497
0.603000,-0.2274,-0.1266,-0.6722,0.721
0.611000,-0.4489,-0.0989,-0.9020,1.012
0.624000,-0.5207,-0.0279,-1.3444,1.442
0.625000,-0.6051,0.0747,-1.5452,1.661
0.626000,-0.5264,0.1261,-1.6308,1.718
0.634000,-0.3690,0.2109,-1.5556,1.613
0.635000,-0.1908,0.3792,-1.2453,1.316
0.639000,0.0739,0.5686,-0.8020,0.986
0.643000,0.3443,0.7308,-0.2899,0.858
0.648000,0.6674,0.8100,0.1600,1.062
0.653000,0.9875,0.8113,0.5552,1.393
0.658000,1.4440,0.9044,0.8098,1.887
0.664000,1.8867,0.9496,0.8807,2.288
0.669000,2.2206,0.9371,0.8468,2.555
0.673000,2.3965,0.8812,0.7149,2.652
0.679000,2.4095,0.8226,0.5356,2.602
0.684000,2.3607,0.7447,0.2872,2.492
0.689000,2.1981,0.6932,0.0680,2.306
0.694000,1.9892,0.6036,-0.2271,2.091
0.700000,1.7334,0.4953,-0.5385,1.881
0.704000,1.5730,0.4258,-0.8784,1.851
0.709000,1.4947,0.3812,-1.2494,1.985
0.724000,1.4391,0.2858,-1.6617,2.217
0.725000,1.3509,0.2982,-1.8719,2.328
0.727000,1.2477,0.3777,-1.8854,2.292
0.729000,1.1072,0.4929,-1.7717,2.147
0.733000,0.9804,0.6388,-1.5548,1.946
0.739000,0.9518,0.8155,-1.2321,1.758
0.744000,1.1019,1.0079,-0.7912,1.690
0.757000,1.2642,1.1672,-0.2176,1.734
0.759000,1.4208,1.1585,0.6522,1.946
0.759000,1.6747,0.7697,2.5182,3.121
0.765000,2.2442,0.2591,2.9928,3.750
0.768000,2.5310,-0.1656,2.3786,3.477
0.773000,2.2076,-0.3640,2.1182,3.081
0.779000,1.4762,-0.4608,2.5727,3.002
0.784000,0.7700,-0.4196,3.2699,3.385
0.789000,0.4439,-0.4757,3.3358,3.399
0.794000,0.3063,-0.7003,2.7561,2.860
0.799000,0.1281,-1.2598,1.6449,2.076
0.804000,0.1545,-1.6255,0.6228,1.748
0.810000,-0.0187,-1.8841,-0.1864,1.893
0.821000,-0.5071,-2.1107,-0.5362,2.236
0.822000,-1.1529,-2.3035,-0.7946,2.696
0.824000,-1.6721,-2.3366,-1.0737,3.067
0.830000,-1.7334,-2.0184,-1.5265,3.067
0.838000,-1.3985,-1.4551,-2.1534,2.951
0.839000,-1.0194,-0.9323,-2.6703,3.006
0.866000,-0.7124,-0.4122,-2.6520,2.777
0.867000,-0.5146,-0.0035,-2.8472,2.893
0.868000,-0.2730,0.3273,-3.0410,3.071
0.869000,-0.0228,0.5844,-3.1139,3.168
0.869000,0.2201,0.7643,-3.2045,3.302
0.870000,0.4505,0.8858,-3.1934,3.344
0.874000,0.7656,1.0651,-3.1738,3.434
0.879000,1.0802,1.2855,-3.0259,3.461
0.884000,1.3325,1.5134,-2.5248,3.231
0.889000,1.4190,1.5976,-2.0506,2.962
0.897000,1.4084,1.5567,-1.7560,2.737
0.899000,1.4775,1.4741,-1.6145,2.639
0.905000,1.6073,1.4073,-1.4895,2.604
0.909000,1.8514,1.3562,-1.5938,2.794
0.914000,2.0179,1.2737,-1.9057,3.054
0.919000,2.0204,1.1141,-2.2723,3.238
0.924000,1.8442,0.8963,-2.6171,3.325
0.936000,1.3953,0.5062,-2.8134,3.181
0.938000,1.1534,0.2958,-2.8923,3.128
0.940000,1.2158,0.3882,-3.0404,3.297
0.970000,1.4945,0.7330,-3.2288,3.633
0.971000,1.9341,1.2161,-3.4742,4.158
0.971000,2.4082,1.7382,-3.7407,4.776
0.972000,2.8936,2.2289,-3.9396,5.372
0.972000,3.3557,2.6897,-4.0377,5.899
0.973000,3.6965,3.0463,-4.1713,6.352
0.973000,3.6500,2.9471,-4.6206,6.585
0.983000,3.1006,2.3178,-5.2425,6.517
0.984000,2.1141,1.4156,-5.7457,6.284
0.990000,0.8213,0.5161,-5.8771,5.957
0.994000,-0.4953,-0.2968,-5.6894,5.719
0.999000,-1.7469,-0.9193,-5.2350,5.595
1.004000,-1.7347,-1.2855,-4.8459,5.305
1.009000,-2.6343,-1.4322,-4.6605,5.542
1.014000,-3.0047,-1.4162,-4.7908,5.830
1.019000,-2.7587,-1.3333,-5.0454,5.903
1.024000,-1.6297,-1.2452,-5.1852,5.576
1.035000,-1.2520,-1.1765,-5.1267,5.407
1.036000,-1.1175,-1.1511,-5.0111,5.262
1.041000,-1.1911,-1.2164,-5.1183,5.394
1.046000,-1.2671,-1.1773,-5.0560,5.344
1.051000,-1.2134,-1.0278,-4.9606,5.209
1.054000,-0.9749,-0.8474,-4.9540,5.120
1.061000,-0.6140,-0.6620,-5.1125,5.192
1.065000,-0.2222,-0.4749,-5.4145,5.440
1.070000,0.1840,-0.2927,-5.7662,5.777
1.074000,0.5371,-0.1155,-6.1053,6.130
1.080000,0.6133,-0.1595,-6.1326,6.165
1.084000,0.6642,-0.1549,-5.5344,5.576
1.089000,0.6206,-0.1159,-4.9113,4.952
1.094000,0.6830,-0.0156,-5.1790,5.224
1.100000,0.6620,0.0336,-5.8583,5.896
1.106000,0.5746,-0.0726,-6.1757,6.203
1.109000,0.4163,-0.3664,-5.9949,6.020
1.116000,0.1486,-0.7931,-5.5527,5.611
1.120000,-0.1625,-1.2683,-5.1169,5.274
1.125000,-0.5016,-1.7183,-4.7540,5.080
1.137000,-0.8291,-2.0871,-4.4515,4.986
1.143000,-1.1913,-2.4074,-4.1372,4.933
1.145000,-1.5290,-2.6606,-3.8368,4.913
1.146000,-1.7776,-2.8298,-3.5981,4.911
1.171000,-1.9409,-2.9607,-3.4038,4.911
1.173000,-1.9827,-3.0153,-3.3513,4.925
1.173000,-1.9155,-2.9910,-3.4807,4.973
1.174000,-1.8108,-2.9490,-3.7162,5.078
1.175000,-1.6945,-2.9323,-4.0338,5.267
1.175000,-1.5887,-2.9438,-4.3701,5.503
1.181000,-1.4704,-2.9912,-4.7244,5.782
1.185000,-1.3473,-3.0726,-5.0461,6.060
1.190000,-1.2478,-3.1787,-5.3245,6.325
1.198000,-1.1621,-3.2922,-5.5418,6.550
1.200000,-1.1187,-3.4833,-5.7094,6.781
1.205000,-1.1133,-3.7337,-5.8200,7.004
1.209000,-1.1033,-4.0450,-5.8574,7.203
1.214000,-1.0631,-4.3853,-5.7956,7.345
1.219000,-0.9757,-4.7202,-5.6103,7.396
1.224000,-0.8304,-5.0183,-5.2995,7.346
1.229000,-0.6542,-5.2944,-4.8555,7.213
1.235000,-0.4948,-5.4902,-4.3099,6.997
1.240000,-0.3542,-5.6194,-3.6873,6.730
1.246000,-0.2191,-5.6804,-3.0373,6.445
1.250000,-0.0895,-5.6813,-2.3822,6.161
1.255000,0.0692,-5.6320,-1.7716,5.904
1.260000,0.2285,-5.5958,-1.2133,5.730
1.270000,0.4177,-5.5826,-0.6964,5.641
1.272000,0.6196,-5.5946,-0.2495,5.634
1.275000,0.8105,-5.6025,0.1513,5.663
1.300000,0.9830,-5.6459,0.5057,5.753
1.302000,1.1522,-5.7893,0.7159,5.946
1.302000,1.2223,-6.0358,0.8563,6.218
1.303000,1.2187,-6.3000,0.9606,6.488
1.303000,1.1557,-6.5446,0.9878,6.719
1.305000,1.1836,-6.8814,0.8297,7.032
1.310000,1.2444,-7.2787,0.6204,7.410
1.317000,1.3159,-7.7121,0.4752,7.838
1.320000,1.3974,-8.1423,0.3854,8.270
1.325000,1.4670,-8.5545,0.2862,8.684
1.331000,1.4497,-8.9241,0.1173,9.042
1.335000,1.3499,-9.2530,-0.1129,9.352
1.340000,1.2152,-9.5792,-0.3693,9.663
1.351000,1.0674,-9.9324,-0.6395,10.010
1.353000,0.9443,-10.3089,-0.8669,10.388
1.356000,0.8850,-10.6833,-0.9970,10.766
1.360000,0.8854,-11.0508,-1.0462,11.135
1.378000,0.9606,-11.4517,-0.9959,11.535
1.380000,1.2626,-11.8972,-0.9169,11.999
1.381000,1.7804,-12.3253,-0.7970,12.479
1.381000,2.4284,-12.6809,-0.5830,12.925
1.385000,3.1824,-12.9487,-0.2901,13.337
1.390000,4.0011,-13.0512,0.1122,13.651
1.397000,4.8589,-13.0053,0.5927,13.896
1.400000,5.7501,-12.8051,1.1798,14.086
1.405000,6.6604,-12.4583,1.8540,14.248
1.410000,7.5477,-11.9973,2.5636,14.404
1.416000,8.3916,-11.4496,3.2785,14.569
1.420000,9.1609,-10.8294,4.0029,14.738
1.425000,9.8680,-10.1394,4.6771,14.902
1.431000,10.4698,-9.4125,5.3126,15.048
1.436000,10.9792,-8.6587,5.8678,15.164
1.440000,11.4306,-7.8828,6.3304,15.260
1.447000,11.8386,-7.1105,6.7291,15.362
1.451000,12.1918,-6.3526,7.0248,15.438
1.455000,12.5021,-5.5797,7.1967,15.467
1.460000,12.7849,-4.7987,7.2667,15.469
1.471000,13.0534,-4.0383,7.2286,15.458
1.473000,13.3169,-3.2979,7.1049,15.450
1.475000,13.5646,-2.6234,6.9133,15.449
1.499000,13.5673,-1.9638,6.7172,15.266
1.500000,13.3826,-1.3590,6.5553,14.964
1.501000,13.4320,-0.9378,6.1345,14.796
1.502000,13.6125,-0.6131,5.5787,14.724
1.502000,13.8158,-0.3804,4.9958,14.696
1.506000,13.9725,-0.1913,4.4253,14.658
1.511000,14.0415,-0.0166,3.8995,14.573
1.515000,13.9844,0.1751,3.4408,14.403
1.524000,13.7761,0.4037,3.0258,14.110
1.525000,13.3467,0.6669,2.6581,13.625
1.530000,12.7460,0.9772,2.3521,12.998
1.535000,12.0903,1.2919,2.0771,12.335
1.541000,11.5193,1.5397,1.8137,11.762
1.547000,11.0480,1.7257,1.5356,11.287
1.551000,10.6783,1.8308,1.2436,10.905
1.555000,10.3461,1.8890,0.9807,10.563
1.560000,10.0370,1.9002,0.7516,10.243
1.567000,9.7583,1.8981,0.5707,9.958
1.570000,9.4960,1.8948,0.4254,9.693
1.575000,9.2598,1.8687,0.2994,9.451
1.583000,9.0260,1.7816,0.1872,9.202
1.586000,8.7687,1.6359,0.0858,8.920
1.592000,8.4623,1.4366,-0.0097,8.583
1.616000,8.0904,1.2314,-0.1046,8.184
1.618000,7.6737,1.0516,-0.2346,7.749
1.618000,7.2174,0.8997,-0.4046,7.284
1.619000,6.6986,0.7876,-0.5790,6.770
1.619000,6.1161,0.7058,-0.7435,6.201
1.621000,5.4685,0.6616,-0.8862,5.579
1.626000,4.8174,0.6698,-1.0644,4.979
1.631000,4.1634,0.7160,-1.3067,4.422
1.636000,3.5052,0.7933,-1.5766,3.925
1.641000,2.9102,0.9211,-1.8403,3.564
1.646000,2.3784,1.1185,-2.1092,3.370
1.651000,1.9298,1.4170,-2.3348,3.344
1.657000,1.5806,1.7589,-2.5265,3.461
1.662000,1.3235,2.0917,-2.6868,3.653
1.666000,1.1195,2.4035,-2.8105,3.864
1.671000,0.9681,2.6749,-2.8957,4.059
1.675000,0.8717,2.9038,-2.9613,4.238
1.684000,0.8533,3.0636,-2.9858,4.362
1.686000,0.8957,3.1807,-2.9598,4.436
1.692000,0.9813,3.2406,-2.8646,4.435
1.718000,1.0975,3.2647,-2.7295,4.395
1.720000,1.2392,3.2718,-2.5694,4.341
1.721000,1.3916,3.2499,-2.4114,4.279
1.721000,1.5347,3.2082,-2.2774,4.223
1.722000,1.6971,3.1515,-2.1347,4.168
1.722000,1.8445,3.0578,-1.9788,4.083
1.726000,1.9604,2.9177,-1.8462,3.970
1.731000,2.0208,2.7453,-1.7661,3.839
1.736000,2.0374,2.5406,-1.7576,3.701
1.741000,2.0273,2.3443,-1.8205,3.594
1.747000,2.0069,2.1539,-1.9186,3.514
1.751000,1.9793,1.9958,-2.0276,3.466
1.758000,1.9177,1.8651,-2.1521,3.433
1.761000,1.8153,1.7426,-2.2820,3.397
1.767000,1.6529,1.6020,-2.4197,3.340
1.771000,1.4358,1.4530,-2.5886,3.297
1.777000,1.2128,1.2889,-2.7807,3.296
1.786000,0.9816,1.1456,-2.9788,3.339
1.788000,0.7640,1.0448,-3.1749,3.429
1.798000,0.5435,0.9460,-3.3471,3.520
1.799000,0.3389,0.8898,-3.4542,3.583
1.823000,0.1467,0.8575,-3.5173,3.623
1.824000,-0.0025,0.8370,-3.5246,3.623
1.824000,-0.1159,0.8617,-3.4642,3.572
1.825000,-0.3298,0.7738,-3.3843,3.487
1.826000,-0.5125,0.7049,-3.3709,3.482
1.826000,-0.6871,0.6076,-3.3306,3.455
1.834000,-0.8968,0.4889,-3.2468,3.404
1.836000,-1.1033,0.3706,-3.1340,3.343
1.841000,-1.2773,0.2479,-3.0164,3.285
1.847000,-1.4190,0.1256,-2.8656,3.200
1.852000,-1.5106,0.0161,-2.7085,3.101
1.856000,-1.5431,-0.0808,-2.5452,2.978
1.861000,-1.5238,-0.1628,-2.3736,2.825
1.866000,-1.4691,-0.2393,-2.2062,2.661
1.871000,-1.4199,-0.3368,-2.0265,2.497
1.876000,-1.3884,-0.4074,-1.8135,2.320
1.881000,-1.3983,-0.4777,-1.6012,2.179
1.886000,-1.4472,-0.5451,-1.4069,2.091
1.891000,-1.5615,-0.5859,-1.2546,2.087
1.903000,-1.6925,-0.5734,-1.1400,2.120
1.904000,-1.8211,-0.5219,-1.0511,2.166
1.937000,-1.9328,-0.4672,-0.9854,2.219
1.938000,-2.0299,-0.4164,-0.9501,2.280
1.939000,-2.0862,-0.3885,-0.9355,2.319
1.939000,-2.1108,-0.3857,-0.9322,2.340
1.939000,-2.0994,-0.3650,-0.9520,2.334
1.940000,-2.0496,-0.3144,-0.9827,2.295
1.940000,-1.9761,-0.2317,-1.0121,2.232
1.942000,-1.8747,-0.1315,-1.0184,2.137
1.947000,-1.7956,-0.0138,-1.0183,2.064
1.951000,-1.7343,0.1259,-1.0072,2.009
1.956000,-1.6959,0.2947,-1.0041,1.993
1.962000,-1.6638,0.4709,-0.9919,1.993
1.968000,-1.6549,0.6495,-0.9851,2.032
1.971000,-1.6646,0.8211,-0.9883,2.103
1.976000,-1.7120,0.9735,-0.9916,2.205
1.981000,-1.7612,1.1141,-0.9927,2.308
1.986000,-1.8313,1.2237,-0.9843,2.412
1.991000,-1.9054,1.3336,-0.9807,2.524
1.997000,-1.9666,1.4367,-0.9770,2.624
2.004000,-2.0124,1.5547,-0.9491,2.714
2.006000,-2.0070,1.6922,-0.8972,2.774
2.014000,-2.0149,1.7800,-0.8241,2.812
2.017000,-2.0645,1.8111,-0.7682,2.852
2.021000,-2.1032,1.8549,-0.7414,2.901
2.026000,-2.1021,1.9210,-0.7081,2.934
2.035000,-2.0565,2.0143,-0.6635,2.954
2.036000,-1.9928,2.1250,-0.6125,2.977
2.041000,-1.9494,2.2508,-0.5602,3.030
2.072000,-1.9143,2.3914,-0.5090,3.105
2.073000,-1.8804,2.5254,-0.4566,3.182
2.074000,-1.8310,2.6647,-0.4175,3.260
2.074000,-1.7900,2.7829,-0.3891,3.332
2.074000,-1.7290,2.9015,-0.3691,3.398
2.075000,-1.6670,3.0038,-0.3409,3.452
2.078000,-1.5996,3.1087,-0.3354,3.512
2.082000,-1.5266,3.2185,-0.3218,3.577
2.086000,-1.4844,3.3045,-0.3046,3.635
2.091000,-1.4490,3.3426,-0.3008,3.656
2.097000,-1.4105,3.3403,-0.3055,3.639
2.102000,-1.3669,3.3165,-0.2948,3.599
2.107000,-1.3300,3.2857,-0.2786,3.556
2.119000,-1.2903,3.2334,-0.2785,3.492
2.121000,-1.2835,3.1526,-0.2872,3.416
2.123000,-1.3022,3.0698,-0.3048,3.348
2.127000,-1.3490,3.0087,-0.3359,3.314
2.154000,-1.4308,2.9647,-0.3850,3.314
2.155000,-1.5403,2.9497,-0.4497,3.358
2.156000,-1.6486,2.9017,-0.5177,3.377
2.156000,-1.7386,2.8519,-0.5770,3.390
2.157000,-1.8105,2.8173,-0.6105,3.404
2.157000,-1.8594,2.7881,-0.6400,3.412
2.166000,-1.9045,2.7380,-0.6726,3.402
2.168000,-1.9360,2.6910,-0.7158,3.391
2.175000,-1.9659,2.6662,-0.7719,3.401
2.178000,-1.9919,2.6756,-0.8263,3.436
2.189000,-1.9852,2.7048,-0.8956,3.473
2.190000,-1.9603,2.7201,-0.9536,3.486
2.192000,-1.8883,2.7170,-1.0171,3.462
2.206000,-1.7478,2.7048,-1.1104,3.406
2.207000,-1.5160,2.6688,-1.2611,3.318
2.207000,-1.1719,2.5706,-1.4521,3.176
2.223000,-0.7402,2.3763,-1.6303,2.975
2.223000,-0.2554,2.0810,-1.7885,2.756
2.224000,0.2486,1.7060,-1.9338,2.591
2.227000,0.8090,1.2963,-2.0827,2.583
2.241000,1.3461,0.8540,-2.2136,2.728
2.241000,1.7496,0.3265,-2.3502,2.948
2.242000,2.1485,-0.1786,-2.5423,3.333
2.249000,2.7643,-0.5109,-3.0084,4.117
2.252000,3.1217,-1.3166,-3.2464,4.692
2.258000,3.5377,-2.2884,-3.6319,5.563
2.281000,4.0762,-3.4115,-4.1941,6.771
2.282000,4.6907,-4.7913,-4.7753,8.232
2.282000,5.3066,-6.3722,-5.2522,9.816
2.283000,5.8548,-8.0391,-5.7171,11.471
2.283000,6.2426,-9.5977,-6.0921,12.969
2.289000,6.3542,-10.9209,-6.2760,14.108
2.294000,6.1630,-11.8670,-6.1610,14.723
2.304000,5.5805,-12.2731,-5.6668,14.625
2.304000,4.6031,-12.1461,-4.8535,13.866
2.308000,3.4632,-11.5549,-3.8666,12.667
2.322000,2.4449,-10.6430,-2.8271,11.280
2.323000,1.7087,-9.5496,-1.8027,9.867
2.323000,1.3349,-8.4211,-0.7428,8.559
2.327000,1.2818,-7.3761,0.3359,7.494
2.339000,1.5139,-6.4681,1.4330,6.796
2.339000,1.9604,-5.7221,2.5514,6.565
2.342000,2.5452,-5.1442,3.6361,6.794
2.384000,3.2163,-4.7305,4.6282,7.358
2.385000,3.8243,-4.5151,5.5645,8.122
2.387000,4.6166,-4.2977,6.4739,9.039
2.388000,5.3919,-4.1301,7.2153,9.909
2.389000,6.0432,-3.9990,7.7365,10.600
2.389000,6.4517,-3.8957,8.0994,11.064
2.390000,6.5845,-3.8320,8.2778,11.250
2.393000,6.4749,-3.8176,8.2553,11.165
2.394000,6.1814,-3.8855,8.0388,10.860
2.395000,5.7409,-4.0306,7.6481,10.378
2.401000,5.1805,-4.2047,7.1249,9.761
2.404000,4.5027,-4.3850,6.4822,9.029
2.408000,3.7037,-4.5210,5.7552,8.202
2.413000,2.7947,-4.5833,4.9934,7.332
2.419000,1.8085,-4.6188,4.2274,6.517
2.422000,0.7818,-4.6224,3.4896,5.844
2.428000,-0.2774,-4.6059,2.8248,5.410
2.434000,-1.3349,-4.5807,2.2221,5.263
2.438000,-2.3514,-4.4975,1.6823,5.347
2.442000,-3.3115,-4.3722,1.1729,5.609
2.449000,-4.2171,-4.2084,0.7093,6.000
2.454000,-5.0417,-3.9770,0.3064,6.429
2.458000,-5.7623,-3.6879,-0.0156,6.841
2.475000,-6.3388,-3.3266,-0.2683,7.164
2.477000,-6.5635,-2.8523,-0.5181,7.175
2.478000,-6.7102,-2.3876,-0.6207,7.149
2.482000,-6.9231,-1.9902,-0.5384,7.224
2.484000,-7.1014,-1.6233,-0.4603,7.299
2.487000,-7.2624,-1.3256,-0.2981,7.388
2.493000,-7.3800,-1.0779,-0.0811,7.459
2.498000,-7.4282,-0.8370,0.1352,7.476
2.503000,-7.3478,-0.5677,0.3456,7.378
2.507000,-7.0244,-0.2507,0.5379,7.049
2.513000,-6.6744,0.0289,0.7667,6.718
2.519000,-6.4060,0.2324,0.9858,6.486
2.523000,-6.2099,0.3785,1.1925,6.335
2.529000,-6.0815,0.4909,1.3791,6.255
2.533000,-5.9968,0.5838,1.5384,6.218
2.539000,-5.9609,0.6380,1.6653,6.222
2.543000,-5.9639,0.7110,1.7146,6.246
2.548000,-6.0012,0.7812,1.7084,6.288
2.553000,-6.0225,0.8272,1.6516,6.299
2.559000,-6.0180,0.8922,1.5495,6.278
2.570000,-5.9857,0.9403,1.4239,6.224
2.572000,-5.9184,0.9879,1.2797,6.135
2.577000,-5.8356,1.0133,1.1242,6.029
2.581000,-5.7302,1.0164,0.9671,5.899
2.609000,-5.6047,0.9901,0.7965,5.747
2.614000,-5.4615,0.9605,0.6244,5.580
2.617000,-5.2840,0.9180,0.4505,5.382
2.618000,-5.1060,0.8672,0.2699,5.186
2.619000,-4.9370,0.8246,0.0872,5.006
2.619000,-4.7652,0.7757,-0.1049,4.829
2.620000,-4.6171,0.7466,-0.2946,4.686
2.620000,-4.5166,0.8352,-0.4556,4.616
2.623000,-4.4949,0.8451,-0.6096,4.614
2.631000,-4.4537,0.8556,-0.8808,4.620
2.634000,-4.3978,0.9073,-1.1579,4.637
2.638000,-4.3968,0.9521,-1.3857,4.707
2.643000,-4.4004,1.0115,-1.5740,4.782
2.649000,-4.4634,1.0858,-1.7515,4.916
2.653000,-4.5259,1.1965,-1.9206,5.060
2.658000,-4.5903,1.3341,-2.0617,5.206
2.669000,-4.6397,1.4558,-2.1725,5.326
2.672000,-4.6836,1.5687,-2.2482,5.427
2.672000,-4.6958,1.6251,-2.2983,5.475
2.701000,-4.6881,1.6299,-2.3107,5.475
2.703000,-4.6702,1.5664,-2.2858,5.430
2.703000,-4.6422,1.4656,-2.2213,5.351
2.704000,-4.6016,1.3563,-2.1486,5.257
2.704000,-4.5367,1.2528,-2.0698,5.141
2.705000,-4.4809,1.1668,-1.9465,5.023
2.708000,-4.4680,1.0478,-1.7719,4.919
