time,ax,ay,az,aT
22.494000,4.0198,0.6099,6.0104,7.256
22.495000,3.7652,0.6422,5.9885,7.103
22.495000,3.4619,0.4831,5.9295,6.883
22.496000,3.2175,0.2472,5.8477,6.679
22.496000,3.0384,-0.0847,5.8175,6.564
22.497000,2.9792,-0.5624,5.8603,6.598
22.497000,3.0471,-1.1118,5.8710,6.707
22.497000,3.0750,-1.6755,5.7490,6.732
22.498000,3.1015,-2.1879,5.3988,6.599
22.498000,3.1921,-2.5923,4.8132,6.331
22.498000,3.4143,-2.7159,3.9565,5.890
22.499000,3.5013,-2.6736,3.0798,5.375
22.499000,3.6535,-2.5292,2.3092,5.008
22.499000,4.0064,-2.3861,1.6920,4.961
22.500000,4.3782,-2.1733,1.3902,5.082
22.500000,4.6425,-1.8957,1.4034,5.207
22.507000,4.8048,-1.5676,1.5900,5.298
22.510000,4.9247,-1.2401,1.9186,5.429
22.516000,4.9277,-0.9508,2.2912,5.517
22.520000,4.8483,-0.7107,2.7776,5.633
22.525000,4.6861,-0.5074,3.3565,5.786
22.532000,4.5503,-0.3024,3.8940,5.997
22.536000,4.3751,-0.1164,4.1969,6.064
22.540000,4.1887,0.0873,4.3471,6.037
22.612000,4.0577,0.2383,4.3999,5.990
22.613000,3.8336,0.2647,4.2885,5.758
22.613000,3.5836,0.1805,4.1590,5.493
22.614000,3.3933,0.1344,3.9232,5.189
22.614000,3.2203,0.0685,3.5761,4.813
22.614000,2.9935,-0.0547,3.0797,4.295
22.615000,2.7882,-0.1438,2.4984,3.747
22.615000,2.7179,-0.2671,1.8702,3.310
22.615000,2.6300,-0.3634,1.2620,2.940
22.616000,2.5586,-0.4348,0.6282,2.670
22.616000,2.4844,-0.5828,0.0165,2.552
22.616000,2.3431,-0.8551,-0.5492,2.554
22.616000,2.0896,-1.1529,-1.0547,2.609
22.617000,1.8391,-1.3963,-1.4981,2.752
22.617000,1.6545,-1.5974,-1.8865,2.975
22.621000,1.6003,-1.6764,-2.2657,3.241
22.625000,1.5855,-1.7220,-2.6333,3.523
22.631000,1.5621,-1.7768,-3.0013,3.822
22.634000,1.4556,-1.8641,-3.2812,4.045
22.640000,1.2523,-2.0131,-3.5737,4.289
22.647000,1.1437,-2.1198,-3.7568,4.463
22.649000,1.0660,-2.1844,-3.9195,4.612
22.655000,0.9733,-2.2065,-4.0975,4.755
22.725000,0.9752,-2.1548,-4.1114,4.743
22.726000,1.0011,-2.1010,-4.0166,4.642
22.726000,1.0182,-2.0358,-3.8922,4.509
22.726000,1.0431,-1.9235,-3.4271,4.066
22.727000,1.0485,-1.7653,-2.8491,3.512
22.727000,0.9669,-1.6027,-2.3084,2.972
22.727000,0.8011,-1.4466,-1.9507,2.557
22.728000,0.4965,-1.4536,-1.6746,2.272
22.728000,0.0535,-1.5146,-1.3646,2.039
22.728000,-0.4316,-1.6307,-1.1809,2.059
22.729000,-0.9457,-1.8073,-1.1397,2.337
22.729000,-1.5335,-2.0137,-1.1762,2.791
22.729000,-2.1383,-2.2166,-1.3404,3.359
22.730000,-2.6438,-2.3961,-1.6321,3.924
22.730000,-3.0402,-2.5326,-2.0368,4.450
22.735000,-3.3225,-2.6416,-2.4611,4.907
22.740000,-3.5408,-2.6866,-2.8168,5.262
22.743000,-3.7207,-2.7243,-3.0466,5.527
22.749000,-3.7891,-2.7826,-3.2010,5.687
22.755000,-3.7978,-2.7606,-3.2971,5.737
22.760000,-3.7166,-2.7515,-3.2991,5.680
22.764000,-3.4622,-2.6260,-3.3388,5.480
22.769000,-3.0197,-2.5400,-3.3063,5.148
22.773000,-2.4949,-2.4316,-3.1537,4.699
22.842000,-1.8751,-2.3847,-3.0392,4.294
22.843000,-1.2628,-2.2752,-2.9554,3.938
22.843000,-0.6960,-2.1510,-2.9479,3.715
22.844000,-0.1014,-2.0001,-3.0954,3.687
22.844000,0.4675,-1.8507,-3.1444,3.678
22.844000,0.9305,-1.7456,-3.0926,3.671
22.845000,1.3318,-1.5911,-2.9928,3.642
22.845000,1.5575,-1.4061,-2.9790,3.644
22.845000,1.6782,-1.2960,-2.9193,3.608
22.846000,1.6333,-1.2827,-2.9285,3.590
22.846000,1.4553,-1.4089,-3.0065,3.625
22.846000,1.1869,-1.5645,-3.1722,3.731
22.847000,0.9711,-1.6343,-3.3729,3.872
22.847000,0.7853,-1.6999,-3.5418,4.006
22.848000,0.6443,-1.7320,-3.7362,4.168
22.855000,0.4033,-1.7783,-3.8965,4.302
22.859000,-0.0037,-1.8384,-4.0848,4.479
22.865000,-0.3294,-1.9311,-4.3324,4.755
22.868000,-0.5566,-1.9149,-4.4717,4.896
22.873000,-0.6640,-1.9027,-4.5006,4.931
22.879000,-0.6021,-1.8587,-4.4765,4.884
22.883000,-0.3103,-1.7397,-4.3492,4.695
22.887000,0.0304,-1.6347,-4.1787,4.487
22.892000,0.3703,-1.5891,-3.9912,4.312
22.956000,0.7065,-1.4979,-3.8347,4.177
22.957000,0.9379,-1.4097,-3.5632,3.945
22.957000,1.0445,-1.3124,-3.2461,3.654
22.958000,1.1329,-1.1615,-3.1680,3.559
22.958000,1.2156,-1.0644,-3.0584,3.459
22.958000,1.3586,-1.0193,-2.9054,3.365
22.959000,1.5352,-0.9807,-2.7620,3.309
22.959000,1.6504,-0.8933,-2.6064,3.212
22.959000,1.7341,-0.8341,-2.5921,3.228
22.960000,1.7592,-0.7855,-2.5487,3.195
22.960000,1.7755,-0.7788,-2.5170,3.177
22.960000,1.7026,-0.7603,-2.5018,3.120
22.960000,1.6121,-0.7496,-2.4813,3.052
22.963000,1.5059,-0.7753,-2.3483,2.895
22.968000,1.4402,-0.7913,-2.1622,2.716
22.973000,1.4248,-0.7642,-1.9159,2.507
22.978000,1.4310,-0.7186,-1.6857,2.325
22.982000,1.2804,-0.7039,-1.5431,2.125
22.987000,1.0504,-0.8191,-1.3234,1.878
23.001000,0.8916,-1.0349,-1.1392,1.779
23.001000,0.7547,-1.2345,-0.8834,1.695
23.002000,0.5912,-1.4067,-0.6135,1.645
23.007000,0.6053,-1.3952,-0.3270,1.556
23.083000,0.7747,-1.3013,0.1338,1.520
23.084000,1.0431,-1.1958,0.6758,1.725
23.084000,1.2526,-1.0745,1.1317,2.001
23.085000,1.4001,-0.9446,1.5299,2.279
23.085000,1.4755,-0.7313,2.0042,2.594
23.085000,1.4397,-0.4983,2.5492,2.970
23.086000,1.2435,-0.3654,3.0767,3.339
23.086000,0.8747,-0.3418,3.4071,3.534
23.086000,0.2974,-0.3462,3.6384,3.667
23.086000,-0.2523,-0.3995,3.8610,3.890
23.087000,-0.7126,-0.4887,3.9835,4.076
23.087000,-1.0259,-0.5206,4.0492,4.209
23.087000,-1.5106,-0.4940,3.9597,4.267
23.088000,-1.9992,-0.4245,3.8272,4.339
23.088000,-2.3715,-0.3430,3.7596,4.458
23.088000,-2.6679,-0.3873,3.6849,4.566
23.092000,-2.8370,-0.5548,3.6107,4.625
23.098000,-2.9218,-0.8649,3.5753,4.698
23.102000,-2.8385,-1.1932,3.5022,4.663
23.106000,-2.5581,-1.4338,3.4538,4.531
23.117000,-2.0834,-1.6504,3.3130,4.247
23.119000,-1.3722,-1.7675,3.0463,3.780
23.121000,-0.6334,-1.8834,2.6898,3.344
23.125000,0.1421,-1.9813,2.3536,3.080
23.195000,0.8341,-2.0397,2.1670,3.091
23.196000,1.3899,-2.0425,2.1082,3.248
23.196000,1.8077,-1.9811,2.1036,3.408
23.196000,2.0717,-1.8831,2.1127,3.507
23.197000,2.1060,-1.7742,2.1456,3.491
23.197000,2.0527,-1.6494,2.3174,3.508
23.197000,1.8771,-1.5280,2.5470,3.514
23.197000,1.5372,-1.3774,2.8037,3.482
23.198000,1.0646,-1.2777,3.0468,3.471
23.198000,0.5273,-1.2018,3.2477,3.503
23.198000,-0.0266,-1.1296,3.4472,3.628
23.198000,-0.5007,-1.0723,3.5616,3.753
23.198000,-0.9684,-1.0339,3.6079,3.876
23.199000,-1.3873,-1.0221,3.4375,3.845
23.202000,-1.6387,-0.9184,3.1960,3.707
23.206000,-1.8525,-0.8551,2.9786,3.610
23.211000,-2.0694,-0.8349,2.7233,3.521
23.215000,-2.2748,-0.8581,2.3797,3.402
23.220000,-2.5047,-0.9392,1.9981,3.339
23.226000,-2.5325,-1.0588,1.5736,3.164
23.231000,-2.3619,-1.1379,1.1010,2.843
23.235000,-2.1346,-1.1711,0.7189,2.539
23.239000,-1.8176,-1.1459,0.3722,2.181
23.307000,-1.4826,-1.1194,0.0730,1.859
23.308000,-1.1104,-1.1123,-0.2457,1.591
23.308000,-0.7178,-1.0541,-0.5835,1.402
23.308000,-0.4240,-1.0445,-0.8756,1.427
23.308000,-0.1686,-1.0228,-1.1744,1.566
23.309000,0.0798,-1.0120,-1.4197,1.745
23.309000,0.2761,-0.9373,-1.6426,1.911
23.309000,0.4923,-0.8937,-1.8572,2.119
23.310000,0.6188,-0.8689,-2.0323,2.295
23.310000,0.6127,-0.9057,-2.1056,2.373
23.310000,0.5845,-0.9513,-2.1968,2.464
23.310000,0.5436,-0.9987,-2.2175,2.492
23.311000,0.5283,-1.0220,-2.1103,2.404
23.311000,0.5176,-1.0045,-1.9758,2.276
23.315000,0.4758,-1.0499,-1.9453,2.261
23.321000,0.3298,-1.1207,-2.0268,2.339
23.325000,-0.1119,-1.2549,-2.3123,2.633
23.330000,-0.6627,-1.4310,-2.1992,2.706
23.334000,-0.7480,-1.4285,-1.9305,2.515
23.339000,-0.6691,-1.3626,-2.2643,2.726
23.345000,-0.7166,-1.3329,-2.4123,2.848
23.349000,-0.8249,-1.2992,-2.2918,2.761
23.353000,-0.7448,-1.3225,-2.3968,2.837
23.359000,-0.3973,-1.2456,-2.6586,2.963
23.402000,-0.0090,-1.1724,-2.7154,2.958
23.403000,0.0560,-1.0932,-2.5365,2.763
23.403000,-0.0271,-0.9081,-2.1748,2.357
23.404000,0.2698,-0.8195,-1.8509,2.042
23.404000,0.5629,-0.9961,-1.6107,1.976
23.404000,0.3137,-1.2279,-1.5143,1.975
23.404000,0.0015,-1.6010,-1.5420,2.223
23.405000,-0.0701,-1.9378,-1.8301,2.666
23.405000,0.1205,-2.0247,-2.2726,3.046
23.410000,0.5167,-1.7935,-2.6728,3.260
23.416000,0.9981,-1.4815,-3.0256,3.514
23.420000,1.3323,-1.3290,-3.0850,3.614
23.424000,1.5740,-1.3445,-2.9495,3.603
23.430000,1.5795,-1.4683,-2.7486,3.494
23.438000,1.3680,-1.6917,-2.5257,3.334
23.439000,1.1513,-1.8866,-2.3533,3.228
23.499000,1.0433,-1.9607,-2.3178,3.210
23.500000,1.0058,-2.0173,-2.2806,3.207
