time,ax,ay,az,aT
5.620000,5.0377,-1.6426,0.5780,5.330
5.625000,4.9981,-1.3292,0.9168,5.252
5.630000,4.8738,-1.0773,1.0860,5.108
5.634000,4.7168,-0.8814,1.1264,4.929
5.638000,4.5260,-0.7262,1.0718,4.708
5.652000,4.3029,-0.6484,0.9608,4.456
5.653000,4.0702,-0.5865,0.7124,4.173
5.654000,3.8704,-0.5476,0.3796,3.927
5.705000,3.6715,-0.5222,-0.0158,3.709
5.707000,3.4489,-0.5219,-0.4899,3.522
5.710000,3.2116,-0.5675,-0.9730,3.403
5.711000,3.0066,-0.6228,-1.4864,3.411
5.712000,2.6975,-0.6461,-1.9867,3.412
5.714000,2.2584,-0.7156,-2.4571,3.413
5.714000,1.8425,-0.7995,-2.8212,3.463
5.715000,1.3954,-0.9207,-3.1245,3.544
5.715000,0.9195,-1.0646,-3.3528,3.636
5.716000,0.5347,-1.1873,-3.5588,3.790
5.717000,0.2312,-1.2984,-3.6253,3.858
5.717000,-0.0292,-1.4409,-3.6601,3.934
5.717000,-0.2318,-1.5285,-3.5894,3.908
5.724000,-0.4604,-1.6092,-3.5209,3.898
5.734000,-0.6259,-1.6544,-3.4046,3.837
5.735000,-0.7741,-1.6649,-3.3147,3.789
5.737000,-0.8946,-1.6620,-3.2107,3.724
5.772000,-0.9706,-1.6436,-3.1144,3.653
5.773000,-1.0649,-1.6176,-3.1164,3.669
5.773000,-1.1847,-1.5934,-3.1378,3.713
5.773000,-1.3725,-1.5925,-3.2215,3.847
5.773000,-1.6164,-1.5672,-3.2864,3.984
5.775000,-1.8511,-1.5410,-3.2920,4.079
5.775000,-2.1146,-1.4854,-3.3030,4.194
5.782000,-2.2655,-1.4266,-3.2526,4.213
5.783000,-2.4566,-1.3646,-3.2319,4.283
5.788000,-2.6902,-1.2923,-3.3031,4.452
5.796000,-2.8975,-1.2695,-3.3630,4.617
5.797000,-3.0051,-1.2459,-3.3826,4.693
5.802000,-3.1376,-1.1981,-3.3715,4.759
5.807000,-3.3996,-1.2239,-3.4519,4.997
5.812000,-3.6141,-1.2254,-3.5258,5.196
5.817000,-3.7481,-1.1855,-3.6262,5.348
5.822000,-3.8662,-1.1569,-3.7318,5.497
5.827000,-3.9283,-1.1799,-3.7848,5.581
5.831000,-3.9632,-1.2163,-3.8213,5.638
5.837000,-3.9759,-1.3018,-3.8698,5.699
5.842000,-3.9427,-1.3333,-3.8441,5.666
5.847000,-3.9021,-1.3085,-3.7731,5.583
5.852000,-3.8685,-1.3301,-3.7762,5.567
5.857000,-3.8275,-1.2998,-3.8103,5.555
5.876000,-3.7671,-1.2943,-3.8874,5.566
5.878000,-3.6043,-1.3206,-3.8972,5.470
5.879000,-3.3920,-1.3356,-3.8516,5.303
5.881000,-3.1668,-1.3393,-3.7410,5.081
5.882000,-2.9217,-1.3154,-3.6083,4.826
5.887000,-2.6706,-1.2950,-3.5065,4.594
5.892000,-2.4400,-1.2976,-3.4163,4.394
5.945000,-2.2059,-1.2301,-3.2875,4.146
5.947000,-1.9294,-1.1740,-3.1348,3.864
5.947000,-1.6772,-1.1463,-3.0323,3.650
5.948000,-1.3969,-1.0920,-2.9658,3.455
5.948000,-1.1987,-1.0495,-2.9397,3.344
5.949000,-1.0516,-1.0500,-2.9183,3.275
5.949000,-0.9914,-1.0404,-2.9396,3.272
5.949000,-0.8987,-1.0686,-2.8553,3.178
5.950000,-0.7464,-1.0479,-2.7781,3.062
5.951000,-0.5780,-1.0025,-2.7056,2.943
5.951000,-0.3723,-0.9251,-2.6758,2.856
5.951000,-0.1753,-0.8635,-2.6646,2.806
5.956000,-0.0035,-0.7602,-2.5142,2.627
5.961000,0.2245,-0.6942,-2.3850,2.494
5.966000,0.4494,-0.5606,-2.2199,2.333
5.972000,0.6691,-0.4266,-1.9615,2.116
5.982000,0.8620,-0.2682,-1.7297,1.951
5.984000,1.0691,-0.1435,-1.5028,1.850
5.986000,1.2635,-0.1190,-1.1516,1.714
5.991000,1.3642,-0.1091,-0.8199,1.595
6.013000,1.3669,-0.1375,-0.5173,1.468
6.016000,1.3527,-0.1538,-0.2246,1.380
6.016000,1.3831,-0.2324,0.0490,1.403
6.017000,1.3889,-0.2984,0.2915,1.450
6.017000,1.4015,-0.3402,0.6463,1.580
6.020000,1.4789,-0.3938,1.0509,1.857
6.026000,1.5643,-0.3749,1.4429,2.161
6.031000,1.6508,-0.2962,1.8770,2.517
6.036000,1.7508,-0.2219,2.2982,2.898
6.041000,1.7883,-0.1836,2.7420,3.279
6.048000,1.8014,-0.2318,3.1129,3.604
6.052000,1.7852,-0.3570,3.4468,3.898
6.057000,1.7300,-0.5450,3.7725,4.186
6.061000,1.6938,-0.6472,4.0492,4.437
6.066000,1.7584,-0.7403,4.2361,4.646
6.070000,1.8830,-0.6879,4.2856,4.731
6.076000,2.0596,-0.5714,4.2004,4.713
6.081000,2.2134,-0.4858,4.0863,4.673
6.086000,2.3650,-0.3881,3.9318,4.605
6.090000,2.4663,-0.2464,3.8948,4.617
6.102000,2.5644,0.0013,3.7938,4.579
6.103000,2.6323,0.3192,3.7438,4.588
6.106000,2.6790,0.6420,3.7378,4.643
6.151000,2.7350,0.8782,3.9479,4.882
6.153000,2.8056,0.9272,4.5219,5.402
6.153000,2.8862,0.8067,5.2988,6.088
6.154000,2.9607,0.5088,6.0626,6.766
6.154000,2.9428,0.1902,6.6531,7.277
6.155000,2.8918,-0.1066,6.9030,7.485
6.156000,2.7908,-0.3985,6.8153,7.375
6.156000,2.6089,-0.5938,6.4981,7.027
6.161000,2.4713,-0.6819,5.9372,6.467
6.163000,2.4024,-0.6494,5.2790,5.836
6.163000,2.4508,-0.5567,4.7078,5.337
6.165000,2.5138,-0.4196,4.2092,4.921
6.171000,2.6632,-0.2706,3.8909,4.723
6.175000,2.8493,-0.1116,3.6784,4.654
6.181000,2.9696,0.0501,3.5141,4.601
6.185000,3.0195,0.2549,3.4504,4.592
6.190000,3.0274,0.4067,3.4323,4.595
6.200000,2.8992,0.6218,3.5029,4.589
6.201000,2.6725,0.8060,3.4685,4.452
6.205000,2.3846,1.0542,3.3868,4.274
6.245000,2.0442,1.2411,3.3273,4.098
6.246000,1.7038,1.4527,3.1611,3.874
6.247000,1.4417,1.6385,2.9910,3.703
6.248000,1.2335,1.7861,2.7455,3.500
6.249000,1.1221,1.9314,2.4629,3.325
6.249000,0.9611,1.9542,2.1290,3.046
6.250000,0.8032,1.9645,1.8252,2.799
6.251000,0.6802,1.9289,1.4722,2.520
6.251000,0.5928,1.8570,1.0030,2.192
6.254000,0.4670,1.8495,0.4536,1.961
6.260000,0.3833,1.7781,-0.0495,1.820
6.264000,0.2795,1.7224,-0.5254,1.822
6.269000,0.2187,1.6545,-0.9263,1.909
6.273000,0.1922,1.5845,-1.3197,2.071
6.279000,0.2116,1.5053,-1.6241,2.224
6.283000,0.2226,1.4870,-1.8277,2.367
6.290000,0.2160,1.4697,-1.9620,2.461
6.299000,0.2095,1.4678,-2.0824,2.556
6.300000,0.2154,1.4380,-2.1796,2.620
6.303000,0.2432,1.4637,-2.2082,2.660
6.309000,0.1420,1.4084,-2.3237,2.721
6.330000,-0.0815,1.3747,-2.4039,2.770
6.333000,-0.3413,1.3244,-2.5586,2.901
6.333000,-0.5728,1.3415,-2.6420,3.018
6.334000,-0.7759,1.3970,-2.7260,3.160
6.334000,-0.9334,1.4645,-2.7844,3.282
6.339000,-1.0817,1.4818,-2.8506,3.390
6.344000,-1.2354,1.4796,-2.9579,3.531
6.348000,-1.4097,1.4890,-3.0464,3.672
6.353000,-1.6097,1.4454,-3.1183,3.795
6.359000,-1.7639,1.3607,-3.2667,3.954
6.363000,-1.9468,1.3190,-3.4339,4.162
6.368000,-2.0535,1.2701,-3.5027,4.254
6.373000,-2.1848,1.2430,-3.5424,4.344
6.378000,-2.3077,1.2832,-3.6364,4.494
6.383000,-2.3530,1.2786,-3.7582,4.615
6.388000,-2.4546,1.2650,-3.8362,4.727
6.400000,-2.4452,1.1876,-3.9994,4.836
6.402000,-2.4564,1.1804,-3.9896,4.832
6.403000,-2.3472,1.1215,-4.1057,4.860
6.408000,-2.1829,1.0851,-4.1417,4.806
6.417000,-2.1325,1.2027,-4.1387,4.809
6.419000,-1.9959,1.2714,-4.1378,4.767
6.423000,-1.7527,1.3102,-4.1135,4.659
6.468000,-1.4125,1.3284,-4.0251,4.468
6.470000,-1.1238,1.3139,-3.9445,4.307
6.470000,-0.9178,1.2785,-3.8788,4.186
6.471000,-0.7367,1.2678,-3.8495,4.119
6.471000,-0.6518,1.3392,-3.8617,4.139
6.471000,-0.5578,1.4736,-3.8196,4.132
6.472000,-0.4974,1.6087,-3.6996,4.065
6.472000,-0.4632,1.7227,-3.5376,3.962
6.473000,-0.4216,1.7484,-3.3888,3.837
6.473000,-0.4212,1.7574,-3.1837,3.661
6.478000,-0.4068,1.7061,-2.9726,3.451
6.482000,-0.4431,1.6663,-2.7459,3.242
6.488000,-0.4568,1.6853,-2.5273,3.072
6.494000,-0.4668,1.6769,-2.3192,2.900
6.497000,-0.4711,1.6766,-2.1932,2.801
6.502000,-0.4654,1.6270,-2.0105,2.628
6.508000,-0.4496,1.5666,-1.8188,2.442
6.512000,-0.4002,1.4954,-1.6492,2.262
6.518000,-0.3509,1.4538,-1.5517,2.155
6.523000,-0.3282,1.4278,-1.4162,2.038
6.527000,-0.3229,1.3411,-1.2902,1.889
6.532000,-0.3063,1.3303,-1.1595,1.791
6.537000,-0.3118,1.2830,-0.9236,1.611
6.542000,-0.2841,1.2689,-0.6305,1.445
6.573000,-0.2354,1.1849,-0.2348,1.231
6.574000,-0.1820,1.0546,0.3038,1.112
6.574000,-0.1378,0.8370,0.9441,1.269
6.574000,-0.0903,0.6609,1.5591,1.696
6.574000,-0.0607,0.3966,2.0457,2.085
6.575000,-0.0486,0.0417,2.4758,2.477
6.579000,-0.0229,-0.2650,2.7944,2.807
6.582000,-0.0812,-0.6236,3.0158,3.081
6.586000,-0.0922,-0.9902,3.0640,3.221
6.591000,-0.1376,-1.4003,3.0207,3.332
6.596000,-0.1890,-1.7398,2.9749,3.451
6.601000,-0.1630,-2.1080,3.0009,3.671
6.606000,-0.0568,-2.3629,3.2348,4.006
6.611000,0.1079,-2.5302,3.4901,4.312
6.616000,0.3619,-2.6531,3.7476,4.606
6.622000,0.6035,-2.6977,3.9815,4.847
6.626000,0.8246,-2.6835,4.1897,5.043
6.631000,1.0539,-2.5630,4.3891,5.191
6.637000,1.2311,-2.4014,4.6776,5.400
6.640000,1.4597,-2.1806,4.8876,5.547
6.685000,1.5912,-1.9708,5.0644,5.663
6.687000,1.7403,-1.8036,5.2345,5.804
6.687000,1.8782,-1.8256,5.5197,6.110
6.688000,1.9809,-2.0298,5.8744,6.523
6.689000,2.0482,-2.4238,6.2555,7.014
6.690000,2.1067,-2.7827,6.4667,7.349
6.690000,2.2375,-2.9825,6.5156,7.507
6.691000,2.3995,-3.0206,6.3497,7.430
6.691000,2.6138,-2.9040,6.0700,7.219
6.692000,2.8880,-2.6518,5.6001,6.836
6.696000,3.1337,-2.4720,5.1456,6.512
6.701000,3.3416,-2.3285,4.7784,6.279
6.706000,3.5526,-2.2380,4.4957,6.152
6.711000,3.6960,-2.2557,4.3499,6.138
6.717000,3.8635,-2.2092,4.2279,6.139
6.721000,3.9309,-2.1448,4.0077,6.009
6.726000,3.9555,-2.1199,3.7277,5.834
6.730000,3.9156,-2.1467,3.3881,5.605
6.736000,3.7419,-2.1984,3.0176,5.286
6.740000,3.5563,-2.2272,2.6284,4.951
6.746000,3.3490,-2.2685,2.1585,4.585
6.751000,3.1026,-2.2524,1.6943,4.192
