time,ax,ay,az,aT
0.004000,0.0769,0.6837,-0.6456,0.943
0.004000,0.1280,0.6373,-0.7348,0.981
0.004000,0.1353,0.5427,-0.6212,0.836
0.012000,0.1113,0.4442,-0.4050,0.611
0.013000,0.1186,0.3699,-0.1960,0.435
0.018000,0.1307,0.3478,-0.0516,0.375
0.023000,0.1090,0.3319,-0.0145,0.350
0.027000,0.0336,0.3366,-0.0703,0.345
0.032000,-0.0719,0.3260,-0.1950,0.387
0.038000,-0.1626,0.3126,-0.3314,0.484
0.043000,-0.2101,0.2870,-0.4531,0.576
0.047000,-0.2243,0.2758,-0.5412,0.648
0.063000,-0.2053,0.2695,-0.5982,0.687
0.064000,-0.1864,0.2491,-0.5930,0.670
0.065000,-0.1727,0.2146,-0.5353,0.602
0.068000,-0.2123,0.1896,-0.4108,0.500
0.109000,-0.2837,0.1621,-0.2816,0.431
0.110000,-0.3441,0.1557,-0.1549,0.408
0.110000,-0.3693,0.1798,-0.0283,0.412
0.111000,-0.3787,0.2126,0.0578,0.438
0.111000,-0.3696,0.2637,0.0866,0.462
0.112000,-0.3776,0.2759,0.0964,0.477
0.112000,-0.3930,0.2732,0.1136,0.492
0.112000,-0.3846,0.2748,0.1523,0.497
0.112000,-0.3474,0.2808,0.1745,0.480
0.119000,-0.2929,0.2792,0.1848,0.445
0.132000,-0.2257,0.2681,0.1856,0.397
0.133000,-0.1886,0.2570,0.1841,0.368
0.133000,-0.1766,0.2365,0.1467,0.330
0.149000,-0.2021,0.2042,0.0951,0.303
0.150000,-0.2365,0.1795,0.0315,0.299
0.150000,-0.2872,0.1693,-0.0273,0.335
0.153000,-0.3475,0.1666,-0.0765,0.393
0.162000,-0.4010,0.1784,-0.0899,0.448
0.163000,-0.4455,0.1854,-0.0770,0.489
0.169000,-0.5002,0.1946,-0.0474,0.539
0.178000,-1.1956,-0.0674,0.2263,1.219
0.179000,-1.2034,0.0031,0.3543,1.254
0.182000,-0.9333,0.2367,0.3177,1.014
0.188000,-0.6858,0.4571,0.1977,0.848
0.193000,-0.5313,0.5362,-0.0057,0.755
0.197000,-0.5313,0.4771,-0.2354,0.752
0.238000,-0.5922,0.3500,-0.4746,0.836
0.238000,-0.6139,0.2533,-0.7165,0.977
0.239000,-0.5749,0.2304,-0.9060,1.097
0.239000,-0.4897,0.2527,-1.0361,1.174
0.239000,-0.4181,0.2841,-1.0759,1.189
0.239000,-0.3913,0.2838,-1.0301,1.138
0.240000,-0.3950,0.2752,-0.9489,1.064
0.240000,-0.4272,0.2482,-0.8322,0.968
0.249000,-0.4570,0.2193,-0.7062,0.869
0.250000,-0.4605,0.2092,-0.6089,0.792
0.261000,-0.4469,0.1917,-0.5308,0.720
0.262000,-0.4259,0.1831,-0.4836,0.670
0.262000,-0.4046,0.1717,-0.4865,0.656
0.268000,-0.4092,0.1408,-0.5275,0.682
0.280000,-0.4038,0.1290,-0.5780,0.717
0.281000,-0.3836,0.1292,-0.6188,0.739
0.283000,-0.3535,0.1226,-0.6478,0.748
0.348000,-0.3233,0.1167,-0.6649,0.749
0.349000,-0.3218,0.1162,-0.6584,0.742
0.349000,-0.3134,0.1094,-0.6521,0.732
0.349000,-0.2934,0.0940,-0.6510,0.720
0.349000,-0.2790,0.0843,-0.6311,0.695
0.350000,-0.2657,0.0873,-0.5756,0.640
0.350000,-0.2316,0.0909,-0.4990,0.558
0.350000,-0.1982,0.1023,-0.4179,0.474
0.350000,-0.1607,0.0973,-0.3466,0.394
0.353000,-0.1549,0.0854,-0.2636,0.317
0.353000,-0.1711,0.0761,-0.1999,0.274
0.354000,-0.1616,0.0716,-0.1673,0.243
0.354000,-0.1145,0.0814,-0.1420,0.200
0.355000,-0.0274,0.1029,-0.1310,0.169
0.358000,0.0567,0.1244,-0.0889,0.163
0.363000,0.1023,0.1335,-0.0516,0.176
0.368000,0.1309,0.1301,-0.0452,0.190
0.373000,0.1687,0.1094,-0.0697,0.213
0.378000,0.2011,0.0880,-0.1466,0.264
0.383000,0.2256,0.0659,-0.2757,0.362
0.398000,0.2994,0.0768,-0.4453,0.542
0.399000,0.3941,0.0900,-0.6409,0.758
0.399000,0.4092,0.0963,-0.8124,0.915
0.405000,0.3835,0.0793,-1.0150,1.088
0.408000,0.4362,0.1064,-1.2416,1.320
0.413000,0.4787,0.1541,-1.4254,1.512
0.418000,0.4777,0.2104,-1.5855,1.669
0.453000,0.4525,0.2493,-1.6837,1.761
0.454000,0.4225,0.2827,-1.7656,1.837
0.454000,0.3801,0.2912,-1.8646,1.925
0.455000,0.3513,0.2725,-1.9830,2.032
0.455000,0.3549,0.2316,-2.1519,2.193
0.455000,0.3729,0.1805,-2.3667,2.403
0.456000,0.3264,0.1748,-2.4933,2.521
0.463000,0.2743,0.2194,-2.6133,2.637
0.464000,0.2110,0.2834,-2.7505,2.773
0.469000,0.1442,0.3553,-2.8788,2.904
0.479000,0.0843,0.4084,-2.9980,3.027
0.479000,0.0553,0.4237,-3.1271,3.156
0.484000,0.0348,0.4083,-3.2615,3.287
0.501000,0.0195,0.3361,-3.4178,3.434
0.502000,-0.0036,0.2193,-3.5339,3.541
0.502000,-0.0472,0.0853,-3.5742,3.576
0.561000,-0.1117,-0.0466,-3.5340,3.536
0.562000,-0.1903,-0.1271,-3.3730,3.381
0.562000,-0.2688,-0.1538,-3.1271,3.142
0.562000,-0.3336,-0.1363,-2.8538,2.876
0.563000,-0.3980,-0.1109,-2.5239,2.558
0.563000,-0.4607,-0.0710,-2.1303,2.181
0.563000,-0.5389,-0.0429,-1.7128,1.796
0.564000,-0.6030,-0.0256,-1.1899,1.334
0.564000,-0.6217,-0.0024,-0.6997,0.936
0.564000,-0.5756,-0.0060,-0.3351,0.666
0.564000,-0.2564,-0.1525,-0.5379,0.615
0.565000,0.8057,0.0003,-0.8814,1.194
0.565000,1.5321,0.3978,-1.1209,1.940
0.571000,1.6889,0.7416,-1.1868,2.193
0.584000,1.3738,0.7917,-1.0509,1.902
0.585000,0.6351,0.3895,-1.0940,1.324
0.585000,-0.1826,-0.0976,-1.2226,1.240
0.598000,-0.8661,-0.7204,-2.0294,2.321
0.599000,-0.5548,-0.6384,-2.7944,2.920
0.599000,-0.4545,-0.3111,-2.2429,2.310
0.606000,-0.3515,0.2017,-2.1108,2.149
0.609000,-0.3285,0.7614,-1.7451,1.932
0.614000,-0.4832,1.1696,-1.2759,1.797
0.618000,-0.7749,1.3170,-1.1154,1.892
0.661000,-1.1302,1.2428,-0.8856,1.899
0.662000,-1.4589,0.9729,-0.7068,1.891
0.663000,-1.6928,0.6290,-0.5199,1.879
0.663000,-1.9173,0.2352,-0.3255,1.959
0.664000,-2.1035,-0.0756,-0.3521,2.134
0.664000,-2.0996,-0.1783,-0.4968,2.165
0.665000,-1.6888,-0.0174,-0.8744,1.902
0.665000,-1.0951,0.2494,-1.3053,1.722
0.666000,-0.6519,0.4000,-1.6458,1.815
0.669000,-0.4727,0.3923,-1.7668,1.871
0.673000,-0.4444,0.2688,-1.7333,1.809
0.679000,-0.4179,0.1204,-1.5642,1.624
0.683000,-0.5108,-0.0181,-1.1233,1.234
0.691000,-0.6001,-0.0883,-0.5621,0.827
0.693000,-0.5775,-0.0743,-0.0344,0.583
0.698000,-0.5369,-0.0739,0.4037,0.676
0.714000,-0.5215,-0.1472,0.6589,0.853
0.716000,-0.5055,-0.2750,0.6333,0.856
0.716000,-0.4575,-0.3968,0.3830,0.717
0.721000,-0.4423,-0.4826,-0.0402,0.656
0.725000,-0.4456,-0.5167,-0.4365,0.810
0.729000,-0.4754,-0.4800,-0.6452,0.934
0.733000,-0.5845,-0.4510,-0.6354,0.974
0.765000,-0.7413,-0.4632,-0.5080,1.011
0.766000,-0.8673,-0.4689,-0.3730,1.054
0.767000,-0.8936,-0.4350,-0.2947,1.037
0.767000,-0.7927,-0.3377,-0.2606,0.900
0.768000,-0.6264,-0.1829,-0.2161,0.687
0.769000,-0.4493,-0.0354,-0.0682,0.456
0.769000,-0.3004,0.0848,0.1268,0.337
0.776000,-0.1993,0.1745,0.3082,0.406
0.778000,-0.1593,0.2092,0.4608,0.531
0.784000,-0.2129,0.1791,0.5600,0.625
0.789000,-0.3637,0.0668,0.5453,0.659
0.794000,-0.5304,-0.0791,0.3095,0.619
0.799000,-0.6397,-0.1954,-0.0464,0.670
0.815000,-0.6994,-0.2498,-0.4379,0.862
0.816000,-0.7074,-0.2509,-0.8360,1.123
0.817000,-0.6856,-0.2283,-1.3143,1.500
0.820000,-0.6665,-0.2218,-1.9245,2.049
0.825000,-0.7479,-0.2489,-2.5264,2.646
0.828000,-0.9001,-0.2822,-2.9036,3.053
0.834000,-1.0492,-0.2593,-2.8721,3.069
0.878000,-1.1556,-0.2046,-2.4954,2.758
0.880000,-1.1817,-0.1127,-1.9353,2.270
0.880000,-1.1642,-0.0181,-1.3437,1.778
0.881000,-1.1209,0.0753,-0.8271,1.395
0.881000,-1.0867,0.1330,-0.4576,1.187
0.881000,-1.0509,0.0776,0.3224,1.102
0.882000,-1.2732,0.0258,0.9135,1.567
0.882000,-1.8204,-0.1300,0.3098,1.851
0.882000,-2.4594,-0.4207,-0.8565,2.638
0.884000,-2.5701,-0.5643,-2.0377,3.328
0.889000,-1.9552,-0.3950,-2.6924,3.351
0.895000,-1.0908,-0.1058,-2.6415,2.860
0.900000,-0.6099,-0.0546,-2.1641,2.249
0.906000,-0.6507,-0.3158,-1.6124,1.767
0.909000,-0.9733,-0.6317,-1.1391,1.626
0.915000,-1.3086,-0.7539,-0.8106,1.714
0.919000,-1.4638,-0.7567,-0.7584,1.814
0.925000,-1.3875,-0.7691,-1.0009,1.876
0.930000,-1.1873,-0.8120,-1.3312,1.960
0.934000,-1.0035,-0.8653,-1.6222,2.095
0.956000,-0.9594,-0.9093,-1.8859,2.303
0.957000,-1.0745,-0.9460,-2.1775,2.606
0.958000,-1.3360,-1.0154,-2.4018,2.930
0.958000,-1.6326,-1.1074,-2.4666,3.158
0.959000,-1.8563,-1.1910,-2.3945,3.255
0.964000,-1.9694,-1.3002,-2.2867,3.286
0.970000,-1.9430,-1.4023,-2.2894,3.314
0.974000,-1.7945,-1.4617,-2.4337,3.358
0.980000,-1.6077,-1.4922,-2.6737,3.458
0.986000,-1.4857,-1.5804,-2.9162,3.634
0.990000,-1.3947,-1.7827,-3.1156,3.851
0.994000,-1.3208,-2.1441,-3.2000,4.072
0.999000,-1.1689,-2.6734,-3.1812,4.317
1.005000,-1.0857,-2.7414,-2.9229,4.152
1.009000,-1.2116,-2.7174,-2.5880,3.943
1.014000,-1.3758,-2.8255,-2.3208,3.907
1.021000,-1.5107,-3.1185,-2.1667,4.087
1.024000,-1.5559,-3.5019,-2.1020,4.371
1.030000,-1.5493,-3.8506,-2.1770,4.687
1.035000,-1.4042,-4.0687,-2.3508,4.904
1.046000,-1.3991,-4.1890,-2.6873,5.170
1.048000,-1.0897,-4.1812,-3.2789,5.424
1.049000,-1.0319,-4.4202,-3.4310,5.690
1.089000,-0.4384,-4.5262,-3.2631,5.597
1.090000,0.0705,-4.7460,-2.9287,5.577
1.091000,0.4050,-5.0310,-2.4663,5.618
1.091000,0.5413,-5.2033,-1.9350,5.578
1.091000,0.6302,-5.1916,-1.6152,5.474
1.092000,0.7696,-4.9918,-1.4422,5.253
1.092000,0.8705,-4.7492,-1.3323,5.009
1.092000,0.7770,-4.6376,-1.1666,4.845
1.094000,0.6757,-4.4980,-1.1196,4.684
1.099000,0.4779,-4.5430,-0.7525,4.630
1.104000,0.1296,-4.7669,-0.3533,4.782
1.110000,-0.2407,-5.0656,0.0681,5.072
1.114000,-0.5159,-5.3187,0.4491,5.363
1.120000,-0.6362,-5.5940,0.9324,5.707
1.124000,-0.7174,-5.9629,1.4578,6.180
1.130000,-0.7552,-6.3683,1.8879,6.685
1.135000,-0.5460,-6.5961,1.9316,6.895
1.140000,0.3825,-5.8204,0.8600,5.896
1.147000,1.3190,-5.6174,0.8242,5.829
1.150000,2.3312,-5.6304,0.8642,6.155
1.158000,3.4133,-5.7243,1.2285,6.777
1.160000,4.1945,-6.1383,2.0481,7.712
1.164000,4.5982,-6.7621,2.9386,8.689
1.169000,4.5853,-7.2534,3.5021,9.268
1.217000,4.2001,-7.6807,3.9802,9.616
1.219000,3.5850,-7.9107,4.1440,9.623
1.219000,2.9092,-8.0289,4.2784,9.551
1.220000,2.2920,-7.8717,4.1832,9.204
1.221000,1.8727,-7.2406,3.5916,8.297
1.221000,1.6892,-6.3200,2.8408,7.132
1.223000,1.6655,-5.4645,2.4320,6.209
1.223000,1.8364,-4.8582,2.5586,5.790
1.224000,2.2250,-4.4909,3.1325,5.910
1.224000,2.8014,-4.1121,3.6617,6.178
1.225000,3.4165,-3.6706,3.9732,6.398
1.230000,4.0496,-3.1531,4.1766,6.617
1.235000,4.6728,-2.6204,4.3958,6.930
1.241000,5.3047,-2.1327,4.5469,7.305
1.244000,5.9005,-1.7509,4.5597,7.660
1.249000,6.4302,-1.3438,4.6424,8.044
1.281000,6.6263,-0.9859,4.4690,8.053
1.282000,6.5639,-0.6918,4.3723,7.917
1.282000,6.2742,-0.4643,4.2897,7.615
1.282000,5.8412,-0.2727,4.2255,7.214
1.283000,5.3820,-0.0953,4.2228,6.842
1.283000,4.8381,0.1396,4.3938,6.537
1.286000,4.2605,0.4469,4.6230,6.303
1.292000,3.6453,0.8010,4.8697,6.135
1.295000,2.9960,1.1749,5.0241,5.966
1.301000,2.8840,1.7109,4.8288,5.879
1.308000,3.0814,2.2807,4.2834,5.748
1.311000,3.5552,2.7695,3.8853,5.950
1.315000,4.1309,3.1913,3.6491,6.369
1.320000,4.7703,3.5455,3.4579,6.876
1.326000,5.3534,3.8052,3.3187,7.359
1.330000,5.7891,4.0061,3.0688,7.680
1.334000,5.9237,4.2154,2.6511,7.739
1.340000,5.7541,4.4647,2.2190,7.614
1.346000,5.2289,4.6677,1.8343,7.245
1.350000,4.2164,4.6279,1.5333,6.446
1.367000,3.0199,4.3146,1.4729,5.469
1.371000,1.9274,3.8884,1.4376,4.572
1.372000,1.0454,3.5460,1.4751,3.980
1.373000,0.1714,3.3963,1.4267,3.688
1.422000,-0.4879,3.4150,1.2756,3.678
1.426000,-0.7412,3.6056,1.2954,3.902
1.427000,-0.6300,4.0115,1.4584,4.315
1.427000,-0.1490,4.5530,1.5254,4.804
1.428000,0.6631,5.1721,1.5834,5.450
1.429000,1.5054,5.7911,1.6277,6.201
1.430000,2.2262,6.2797,1.5527,6.841
1.430000,2.6903,6.5566,1.4123,7.226
1.430000,2.7830,6.6360,1.2374,7.302
1.431000,2.5124,6.5321,1.0749,7.081
1.431000,1.9823,6.3385,0.8860,6.700
1.432000,1.3368,6.1538,0.7953,6.347
1.436000,0.7125,5.9852,0.9433,6.101
1.439000,0.0842,5.8110,1.4047,5.979
1.447000,-0.6292,5.5301,1.9295,5.891
1.451000,-1.5054,5.1237,2.3632,5.840
1.456000,-2.4225,4.6601,2.4253,5.785
1.461000,-3.1533,4.1866,2.0054,5.612
1.466000,-3.5281,3.8626,1.3038,5.391
1.506000,-3.3673,3.8403,0.6114,5.144
1.507000,-2.8267,4.1433,0.0639,5.016
1.507000,-2.1801,4.6103,-0.2908,5.108
1.508000,-1.6668,5.0418,-0.4470,5.329
1.508000,-1.3261,5.3244,-0.3878,5.501
1.508000,-1.0631,5.4675,-0.2686,5.576
1.509000,-0.7014,5.4753,-0.2429,5.525
1.509000,-0.7156,5.4684,-1.1762,5.639
1.510000,0.2218,5.5120,-1.9808,5.861
1.515000,0.5945,5.4905,-2.9264,6.250
1.521000,0.6412,5.4755,-3.4638,6.511
1.526000,0.4667,5.4051,-3.6881,6.560
1.531000,0.0490,5.3210,-3.6121,6.431
1.537000,-0.4975,5.1132,-3.3479,6.132
1.540000,-0.7634,4.8586,-2.2217,5.397
1.547000,-0.5371,4.5743,0.2252,4.611
1.550000,-0.0272,4.1600,3.4853,5.427
1.556000,0.1743,3.6583,4.5514,5.842
1.560000,-0.1351,3.2220,3.3098,4.621
1.567000,-0.2858,2.9956,2.2791,3.775
1.585000,-0.1140,3.0192,1.4522,3.352
1.588000,0.1294,3.1529,0.5096,3.196
1.589000,0.0470,3.2865,-0.6512,3.351
1.590000,-0.1414,3.3859,-1.5896,3.743
1.592000,-0.1726,3.4710,-2.0469,4.033
1.595000,-0.1111,3.4271,-2.0864,4.014
1.600000,-0.0400,3.2826,-1.8103,3.749
1.641000,0.0123,3.1346,-1.2946,3.391
1.642000,0.0468,3.0134,-0.6394,3.081
1.643000,0.0544,2.9397,0.0289,2.940
1.643000,0.0551,2.8652,0.6111,2.930
1.643000,0.0419,2.7704,1.0493,2.963
1.643000,0.0412,2.6194,1.3508,2.947
1.644000,0.0292,2.4485,1.5228,2.884
1.644000,0.0205,2.2650,1.6252,2.788
1.646000,0.0611,2.0624,1.7132,2.682
1.650000,0.1750,1.8433,1.8273,2.601
1.661000,0.3386,1.6175,1.9412,2.549
1.662000,0.5801,1.3419,2.0120,2.487
1.666000,0.9320,1.0624,1.9006,2.368
1.672000,1.3897,0.7979,1.6930,2.331
1.676000,1.8463,0.5746,1.4632,2.425
1.682000,2.1432,0.4020,1.2620,2.519
1.685000,2.3048,0.2756,1.1563,2.593
1.711000,2.5182,0.1474,1.0714,2.741
1.711000,2.8518,0.0441,1.0276,3.032
1.712000,3.2519,-0.0299,1.0781,3.426
1.712000,3.5890,-0.0826,1.1940,3.783
1.712000,3.8157,-0.1693,1.3886,4.064
1.717000,3.8997,-0.2858,1.6746,4.254
1.722000,3.9356,-0.4465,1.9692,4.423
1.726000,3.9367,-0.6630,2.2448,4.580
1.730000,3.9635,-0.9615,2.4577,4.762
1.736000,4.0400,-1.3057,2.5867,4.972
1.740000,4.1661,-1.6784,2.6536,5.217
1.746000,4.3372,-2.0675,2.7255,5.524
1.751000,4.5727,-2.4771,2.8072,5.910
1.755000,4.8921,-2.9120,2.9413,6.408
1.761000,5.2906,-3.3556,3.0917,6.986
1.766000,5.7443,-3.7269,3.2102,7.563
1.770000,6.1909,-3.9662,3.2709,8.047
1.776000,6.6587,-4.0864,3.2759,8.472
1.780000,7.1180,-4.0928,3.2336,8.825
1.792000,7.4939,-4.0341,3.1395,9.071
1.793000,7.7427,-3.9132,3.0207,9.186
1.795000,7.8210,-3.7114,2.8824,9.124
1.800000,7.8171,-3.4459,2.7558,8.976
1.837000,7.7754,-3.1358,2.6564,8.795
1.838000,7.6906,-2.7916,2.5534,8.571
1.839000,7.5352,-2.4091,2.4331,8.277
1.840000,7.2770,-2.0343,2.3182,7.904
1.841000,6.9103,-1.6772,2.2595,7.461
1.841000,6.3660,-1.3481,2.2256,6.877
1.842000,5.6973,-1.0630,2.2308,6.210
1.842000,4.9342,-0.8412,2.2669,5.495
1.847000,4.1331,-0.7162,2.3233,4.795
1.850000,3.2979,-0.6490,2.3512,4.102
1.856000,2.4735,-0.6272,2.3014,3.436
1.861000,1.7259,-0.6362,2.1825,2.854
1.866000,1.1421,-0.7459,1.9973,2.419
1.871000,0.8052,-0.9473,1.7530,2.149
1.877000,0.6445,-1.2165,1.4508,2.000
1.881000,0.5920,-1.5078,1.0751,1.944
1.889000,0.5819,-1.8240,0.6222,2.013
1.892000,0.5628,-2.1082,0.1274,2.186
1.896000,0.5099,-2.3512,-0.3580,2.432
1.937000,0.4323,-2.5620,-0.7857,2.714
1.937000,0.3299,-2.7500,-1.1243,2.989
1.938000,0.1551,-2.9150,-1.3669,3.223
1.938000,-0.0558,-3.0481,-1.5475,3.419
1.938000,-0.3333,-3.1692,-1.6829,3.604
1.939000,-0.6962,-3.2740,-1.7999,3.800
1.939000,-1.1029,-3.3743,-1.9109,4.032
1.939000,-1.5407,-3.4576,-2.0095,4.286
1.940000,-1.9825,-3.5402,-2.1059,4.571
1.947000,-2.4181,-3.6200,-2.1838,4.870
1.951000,-2.9350,-3.6446,-2.2321,5.185
1.956000,-3.5058,-3.6051,-2.2041,5.491
1.961000,-3.6609,-3.7043,-2.2587,5.677
1.966000,-3.6480,-3.7833,-2.4092,5.782
1.972000,-3.7054,-3.8476,-2.5948,5.939
1.976000,-3.8524,-3.9117,-2.7337,6.133
1.981000,-3.9909,-3.9636,-2.7594,6.265
1.988000,-4.0559,-4.0078,-2.7680,6.338
1.993000,-3.9671,-4.0611,-2.8429,6.349
1.996000,-3.7836,-4.0948,-2.9633,6.314
2.001000,-3.5834,-4.0619,-3.0588,6.221
2.006000,-3.4171,-3.9643,-3.0933,6.080
2.011000,-3.2963,-3.8172,-3.0578,5.898
2.017000,-3.2318,-3.6473,-2.9605,5.702
2.026000,-3.2370,-3.5003,-2.8290,5.544
2.027000,-3.2606,-3.3963,-2.6714,5.413
2.031000,-3.2876,-3.3395,-2.4862,5.305
2.075000,-3.2960,-3.3116,-2.2834,5.200
2.075000,-3.2594,-3.3179,-2.0777,5.094
2.076000,-3.2087,-3.3589,-1.8764,5.010
2.076000,-3.1753,-3.4276,-1.6865,4.967
2.077000,-3.1737,-3.5245,-1.5005,4.975
2.077000,-3.2091,-3.6206,-1.3398,5.020
2.077000,-3.2407,-3.7189,-1.2016,5.077
2.078000,-3.1900,-3.8074,-1.0883,5.085
2.078000,-3.1165,-3.8894,-0.9544,5.075
2.082000,-3.2403,-4.0773,-0.8837,5.282
2.099000,-3.3723,-4.0380,-0.8139,5.324
2.100000,-3.5268,-4.0564,-0.7355,5.425
2.100000,-3.7536,-4.3575,-0.7684,5.802
2.101000,-3.9669,-4.6668,-0.9219,6.194
2.111000,-4.1339,-4.8563,-1.1523,6.481
2.112000,-4.2745,-4.9688,-1.4421,6.711
2.117000,-4.4321,-5.0826,-1.7648,6.971
2.128000,-4.6070,-5.2109,-2.0844,7.261
2.129000,-4.7520,-5.3672,-2.3575,7.546
2.131000,-4.8606,-5.5390,-2.5716,7.805
2.137000,-4.9380,-5.7044,-2.7170,8.019
2.143000,-5.0110,-5.8610,-2.7765,8.196
2.146000,-5.1269,-6.0109,-2.7916,8.379
2.151000,-5.2711,-6.1630,-2.8631,8.600
2.182000,-5.3717,-6.2902,-3.0440,8.814
2.184000,-5.4168,-6.3889,-3.3196,9.010
2.184000,-5.4196,-6.4540,-3.5908,9.161
2.185000,-5.3807,-6.5194,-3.6915,9.224
2.186000,-5.3437,-6.5665,-3.6046,9.201
2.186000,-5.3032,-6.6011,-3.3305,9.099
2.187000,-5.2601,-6.5838,-2.9039,8.913
2.192000,-5.2080,-6.5304,-2.3863,8.687
2.196000,-5.0906,-6.4012,-1.9106,8.399
2.202000,-4.8801,-6.2337,-1.5499,8.067
2.207000,-4.5043,-6.0405,-1.3333,7.652
2.213000,-4.0468,-5.8697,-1.2251,7.234
2.216000,-3.5843,-5.7694,-1.2299,6.903
2.222000,-3.1576,-5.7414,-1.3089,6.682
2.228000,-2.8200,-5.7443,-1.4543,6.562
2.231000,-2.5859,-5.7254,-1.6560,6.497
2.279000,-2.4056,-5.6650,-1.8057,6.414
2.280000,-2.2360,-5.5555,-1.8695,6.274
2.280000,-2.0630,-5.4309,-1.8019,6.083
2.280000,-1.8958,-5.3223,-1.6152,5.876
2.281000,-1.7339,-5.2680,-1.3220,5.701
2.281000,-1.6003,-5.2955,-0.9115,5.607
2.281000,-1.4914,-5.3948,-0.4088,5.612
2.282000,-1.3558,-5.5636,0.1101,5.727
2.282000,-1.1782,-5.7471,0.5801,5.895
2.282000,-0.9370,-5.9145,1.0057,6.072
2.292000,-0.6751,-6.0532,1.3655,6.242
2.293000,-0.4335,-6.2097,1.6576,6.442
2.298000,-0.1812,-6.3351,1.8803,6.611
2.303000,0.1600,-6.4433,2.0278,6.757
2.308000,0.5627,-6.4934,2.1207,6.854
2.313000,0.9973,-6.5084,2.0984,6.911
2.317000,1.4452,-6.4823,1.9941,6.934
2.322000,1.9820,-6.3806,1.8620,6.936
2.328000,2.5684,-6.1555,1.7536,6.897
2.332000,3.1060,-5.8359,1.7148,6.830
2.341000,3.5472,-5.4677,1.7575,6.750
2.343000,3.8760,-5.1009,1.9121,6.686
2.347000,4.1259,-4.7496,2.1590,6.652
2.352000,4.3625,-4.3923,2.4183,6.646
2.408000,4.6051,-4.0032,2.6084,6.636
2.409000,4.8923,-3.5831,2.7240,6.648
2.409000,5.2456,-3.1086,2.7723,6.698
2.410000,5.6364,-2.5891,2.7628,6.790
2.410000,6.0662,-2.0315,2.7527,6.964
2.412000,6.5043,-1.4168,2.7846,7.216
2.412000,6.9096,-0.7675,2.8223,7.503
2.412000,7.2675,-0.1252,2.8823,7.819
2.413000,7.5560,0.5077,2.9406,8.124
2.413000,7.7764,1.1407,2.9679,8.401
2.413000,7.9048,1.7594,2.9209,8.609
2.414000,7.9290,2.3565,2.8042,8.734
2.420000,7.8534,2.9438,2.6346,8.791
2.433000,7.6797,3.4995,2.4243,8.781
2.434000,7.4313,4.0053,2.2195,8.729
2.434000,7.1257,4.4699,2.0590,8.660
2.449000,6.7865,4.8510,1.9359,8.564
2.450000,6.3753,5.1634,1.7954,8.398
2.451000,5.8874,5.3980,1.6422,8.155
2.536000,5.3304,5.5816,1.4787,7.858
2.537000,4.7243,5.7201,1.3189,7.535
2.538000,4.1314,5.8325,1.1650,7.242
2.538000,3.5741,5.9125,1.0430,6.987
2.538000,3.0814,5.9438,0.9240,6.759
2.539000,2.6776,5.9482,0.8104,6.573
2.539000,2.3557,5.9194,0.7165,6.411
2.539000,2.1037,5.8712,0.6277,6.268
2.540000,1.9051,5.7947,0.5224,6.122
2.540000,1.7479,5.7045,0.4297,5.982
2.540000,1.6177,5.5842,0.3472,5.824
2.541000,1.5315,5.4723,0.2774,5.689
2.541000,1.4843,5.4050,0.2325,5.610
2.541000,1.4521,5.3627,0.2217,5.560
2.541000,1.3897,5.3647,0.2690,5.548
2.542000,1.3093,5.3796,0.3594,5.548
2.542000,1.2162,5.3859,0.4781,5.542
2.542000,1.1110,5.3885,0.5959,5.534
2.543000,0.9964,5.3679,0.6762,5.501
2.547000,0.8918,5.3577,0.7333,5.481
2.554000,0.8021,5.3341,0.7625,5.448
2.560000,0.7318,5.2924,0.7855,5.400
2.564000,0.7118,5.2424,0.8121,5.352
2.567000,0.7390,5.1769,0.8503,5.298
2.573000,0.8081,5.1101,0.8834,5.249
2.578000,0.8899,5.0733,0.8931,5.228
2.582000,0.9459,5.0642,0.8796,5.226
2.637000,0.9618,5.0733,0.8884,5.239
2.638000,0.9479,5.0982,0.9287,5.268
2.638000,0.9474,5.1535,1.0027,5.335
2.639000,0.9534,5.2075,1.1048,5.408
2.639000,0.9898,5.2527,1.2229,5.483
2.639000,1.0303,5.3056,1.3517,5.571
2.639000,0.9959,5.3301,1.5029,5.627
2.640000,0.9009,5.3163,1.6668,5.644
2.640000,0.7483,5.3074,1.7997,5.654
2.640000,0.5742,5.2841,1.8898,5.641
2.641000,0.4386,5.2636,1.9536,5.632
2.643000,0.3081,5.2480,1.9864,5.620
2.648000,0.1900,5.2091,1.9787,5.575
2.653000,0.1055,5.1445,1.9334,5.497
2.657000,0.0595,5.0377,1.8626,5.371
2.663000,0.0491,4.9106,1.7741,5.221
2.667000,0.0886,4.7872,1.6778,5.073
2.674000,0.1587,4.6796,1.6097,4.951
2.677000,0.2473,4.5710,1.5771,4.842
2.683000,0.3495,4.4586,1.6013,4.750
2.724000,0.4465,4.3212,1.6581,4.650
2.725000,0.5359,4.1512,1.7423,4.534
2.726000,0.6275,3.9463,1.8346,4.397
2.726000,0.6879,3.7088,1.8941,4.221
2.726000,0.7268,3.4506,1.9424,4.026
2.727000,0.7562,3.1723,1.9654,3.808
2.727000,0.7715,2.8859,2.0087,3.600
2.727000,0.7872,2.5820,2.0603,3.396
2.727000,0.8368,2.2942,2.1083,3.226
